Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-21,GSW,LAL,1,10,02.65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-10-24,GSW,POR,1,-20,10.95,2,1,2,1,0,0,1,1,1,1,0,2,2,3,-4
2025-10-27,GSW,MEM,0,13,06.33,1,1,1,1,0,0,0,1,0,1,0,0,1,3,-2
2025-10-28,GSW,LAC,0,19,04.62,2,0,2,0,0,0,0,0,0,0,0,1,2,0,-4
2025-10-30,GSW,MIL,1,-10,04.05,2,1,1,0,0,0,0,0,0,0,0,0,1,2,5
2025-11-01,GSW,IND,1,-5,11.23,2,2,1,1,0,0,3,4,1,0,0,1,3,5,6
2025-11-04,GSW,PHO,0,11,02.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
2025-11-05,GSW,SAC,1,-5,06.98,2,0,1,0,0,0,0,1,0,0,0,0,1,0,-2
2025-11-07,GSW,DEN,1,-25,06.45,1,0,1,0,1,2,2,4,0,1,0,0,1,1,0
2025-11-09,GSW,IND,0,31,03.87,3,1,3,1,0,0,0,2,0,0,0,0,1,3,4
2025-11-11,GSW,OKC,1,-24,12.0,3,2,1,0,0,0,2,3,0,1,0,0,1,4,11
2025-11-16,GSW,NOP,1,18,04.72,3,1,3,1,0,0,0,0,0,0,0,0,2,3,-4
2025-11-19,GSW,MIA,1,-14,18.43,7,1,6,1,1,2,3,6,0,0,1,2,2,4,-14
2025-11-24,GSW,UTA,0,17,08.95,4,3,1,1,2,2,0,0,2,0,0,2,0,9,-14
2025-11-26,GSW,HOU,0,-4,05.92,2,0,1,0,0,0,0,1,1,0,0,2,1,0,-11
2025-12-04,GSW,PHI,1,-1,11.65,4,2,2,0,0,0,0,1,1,0,0,0,3,4,15
2025-12-06,GSW,CLE,1,5,26.5,8,3,4,2,6,8,1,3,3,0,1,2,0,14,0
2025-12-07,GSW,CHI,1,32,19.57,8,3,3,0,0,0,3,7,2,1,0,2,2,6,1
2025-12-12,GSW,MIN,0,-7,06.47,1,1,0,0,0,0,1,1,0,0,0,1,1,2,-2
2025-12-14,GSW,POR,1,-5,06.27,0,0,0,0,1,2,0,2,2,0,0,0,1,1,3
2025-12-18,GSW,PHO,1,-1,13.65,2,2,2,2,0,0,1,5,2,0,0,1,3,6,2
2025-12-20,GSW,PHO,0,3,06.57,3,2,2,1,0,0,2,3,0,2,0,1,1,5,1
2025-12-22,GSW,ORL,0,23,10.12,0,0,0,0,0,0,1,1,0,2,0,0,0,0,14
2025-12-29,GSW,BRK,1,13,19.17,2,0,2,0,0,0,1,4,2,0,0,2,1,0,10
2025-12-31,GSW,CHO,1,7,16.83,6,5,4,3,0,0,2,5,2,0,1,0,0,13,15
2026-01-02,GSW,OKC,0,-37,26.2,4,2,3,1,4,6,0,8,0,0,1,3,1,9,-10
2026-01-03,GSW,UTA,0,9,08.4,2,0,1,0,0,0,0,1,2,1,0,0,2,0,4
2026-01-05,GSW,LAC,1,-1,11.68,3,2,2,1,1,2,1,2,1,0,0,0,1,6,13
2026-01-07,GSW,MIL,0,7,18.28,3,1,1,0,0,0,1,4,1,1,0,2,1,2,12
2026-01-09,GSW,SAC,0,34,18.15,4,2,2,0,0,0,0,1,1,0,0,0,1,4,7
2026-01-11,GSW,ATL,0,-13,15.98,3,2,2,1,0,0,0,2,3,0,1,0,4,5,-11
2026-01-13,GSW,POR,0,22,21.38,4,2,3,2,0,0,1,4,6,4,0,0,0,6,24
2026-01-15,GSW,NYK,0,13,04.57,1,1,1,1,0,0,0,1,0,0,1,0,1,3,-2
2026-01-20,GSW,TOR,0,-18,14.77,2,1,2,1,0,0,0,0,2,0,0,1,4,3,-14
2026-01-22,GSW,DAL,1,-8,16.65,5,2,4,1,0,0,0,4,0,0,1,0,1,5,-5
2026-01-25,GSW,MIN,1,26,20.52,6,3,3,1,0,0,2,6,2,2,0,0,2,7,10
2026-01-26,GSW,MIN,1,-25,26.18,13,5,6,1,0,0,1,10,2,1,1,4,1,11,-5
2026-01-28,GSW,UTA,1,16,21.55,7,6,3,2,2,3,1,3,4,1,2,1,3,16,6
2026-01-30,GSW,DET,0,-7,25.47,9,7,3,2,0,1,1,1,1,2,1,0,2,16,-2
2026-02-03,GSW,PHI,0,-19,26.47,7,5,5,3,0,0,0,2,3,2,2,1,1,13,-13
2026-02-05,GSW,PHO,1,4,35.93,9,6,6,3,3,5,0,4,7,1,1,4,2,18,2
2026-02-07,GSW,LAL,1,-6,26.32,12,6,4,1,2,4,2,8,3,1,0,0,5,15,-4
2026-02-09,GSW,MEM,0,1,29.82,10,7,3,1,1,1,1,8,2,1,0,4,3,16,11
2026-02-11,GSW,SAS,0,-13,29.77,11,4,3,0,1,2,3,5,6,4,0,2,5,9,-1
2026-02-19,GSW,BOS,0,-11,31.97,14,6,9,5,0,0,3,6,2,2,0,0,4,17,8
2026-02-22,GSW,DEN,0,11,27.78,7,6,3,2,3,4,1,5,7,1,0,2,5,17,5
2026-02-24,GSW,NOP,1,-4,39.33,13,6,4,1,2,2,4,12,4,2,3,6,5,15,-7
2026-02-25,GSW,MEM,1,21,25.55,7,6,2,1,4,4,0,3,4,1,1,1,0,17,21
2026-02-28,GSW,LAL,0,-28,27.28,12,6,7,2,0,0,2,4,2,0,0,1,3,14,-22
2026-03-02,GSW,LAC,0,-13,31.02,8,2,3,1,0,0,3,10,3,3,0,2,1,5,-5
2026-03-05,GSW,HOU,1,,41.62,12,6,4,0,2,4,1,6,6,1,1,7,1,14,20
2026-03-07,GSW,OKC,1,-7,37.1,19,8,9,2,4,6,3,11,3,2,0,1,2,22,-4
2026-03-09,GSW,UTA,1,-3,33.45,13,6,7,1,2,4,3,8,5,2,0,0,1,15,-6
2026-03-10,GSW,CHI,0,,36.67,19,7,9,3,0,0,0,5,1,0,1,3,3,17,-5
2026-03-13,GSW,MIN,0,-10,34.7,15,6,10,3,2,2,2,3,8,1,0,1,4,17,-3
2026-03-15,GSW,NYK,1,-3,31.75,12,7,4,2,4,4,3,7,7,2,0,5,4,20,2
2026-03-16,GSW,WAS,1,8,27.95,10,7,6,4,0,0,1,4,5,1,0,1,5,18,20
2026-03-18,GSW,BOS,1,-21,28.05,12,5,4,0,3,3,0,5,0,0,0,3,4,13,-4
2026-03-20,GSW,DET,1,-14,29.78,10,4,4,1,4,4,0,5,5,0,0,3,3,13,-3
2026-03-21,GSW,ATL,1,-16,23.72,2,0,0,0,2,4,0,2,6,2,0,4,2,2,-29
2026-03-23,GSW,DAL,1,,35.22,10,5,5,0,6,8,3,6,5,2,1,3,3,16,7
2026-03-25,GSW,BRK,0,3,34.9,16,11,6,4,5,8,0,3,1,2,1,5,1,31,-6
2026-03-27,GSW,WAS,0,5,33.35,12,8,5,3,8,9,2,4,4,0,0,1,2,27,5
