Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-23,IND,OKC,0,,08.48,2,0,0,0,0,0,1,1,0,0,0,2,4,0,2
2025-10-25,IND,MEM,1,-25,11.98,4,1,0,0,1,1,3,5,0,0,1,0,1,3,4
2025-10-26,IND,MIN,1,-4,14.63,4,2,0,0,2,2,2,3,2,0,0,2,5,6,-9
2025-10-29,IND,DAL,1,-2,11.4,5,3,0,0,0,0,1,2,0,0,0,3,4,6,-13
2025-10-31,IND,ATL,0,-20,27.05,7,4,0,0,1,2,5,11,2,0,0,0,3,9,8
2025-11-01,IND,GSW,0,5,20.95,5,2,0,0,6,6,2,8,1,0,1,0,3,10,18
2025-11-03,IND,MIL,0,-2,29.33,12,8,0,0,5,6,4,10,1,2,1,1,3,21,-7
2025-11-05,IND,BRK,0,-9,20.43,6,4,0,0,0,0,1,7,1,1,0,2,4,8,-9
2025-11-08,IND,DEN,1,-17,18.5,5,1,0,0,2,4,1,6,1,3,0,0,2,4,-5
2025-11-09,IND,GSW,1,-31,21.02,9,6,0,0,0,0,4,6,1,0,1,2,2,12,-13
2025-11-11,IND,UTA,1,-24,22.62,9,6,0,0,0,0,5,10,2,2,0,1,5,12,-12
2025-11-13,IND,PHO,1,-35,16.57,4,3,0,0,2,2,2,4,0,0,0,1,2,8,-27
2025-11-15,IND,TOR,0,-18,18.62,2,1,0,0,4,5,0,6,1,0,0,1,3,6,-15
2025-11-17,IND,DET,1,-15,26.58,7,6,0,0,4,6,8,10,3,2,1,1,5,16,-2
2025-11-19,IND,CHO,0,9,16.38,2,1,0,0,0,0,2,4,1,0,4,2,4,2,-3
2025-11-21,IND,CLE,1,-11,17.97,4,1,0,0,1,2,2,4,0,2,1,1,3,3,-6
2025-11-24,IND,DET,0,-5,23.67,4,2,0,0,5,5,0,4,0,0,0,0,2,9,7
2025-11-26,IND,TOR,1,-2,19.63,3,3,0,0,2,4,0,2,3,0,3,3,3,8,-2
2025-11-28,IND,WAS,0,33,18.43,7,5,0,0,0,0,1,2,0,2,0,0,3,10,23
2025-11-29,IND,CHI,0,2,22.73,5,5,0,0,4,4,4,11,1,1,2,1,4,14,0
2025-12-01,IND,CLE,0,-16,15.52,3,2,0,0,2,2,2,3,0,1,2,2,3,6,-13
2025-12-03,IND,DEN,0,-15,16.65,4,3,0,0,0,0,2,6,0,1,0,0,3,6,-3
2025-12-05,IND,CHI,1,15,18.32,4,3,0,0,1,3,2,3,0,1,0,2,1,7,2
2025-12-08,IND,SAC,0,11,16.57,2,0,0,0,0,0,2,7,0,3,2,2,3,0,4
2025-12-12,IND,PHI,1,-10,11.78,8,3,0,0,1,2,6,9,1,0,0,1,3,7,5
2025-12-14,IND,WAS,0,-19,23.15,8,5,0,0,1,2,4,12,0,0,2,1,2,11,2
2025-12-18,IND,NYK,0,-1,26.3,3,2,0,0,0,0,4,10,2,0,1,0,3,4,-5
2025-12-20,IND,NOP,1,-19,11.97,4,1,0,0,2,4,3,5,1,0,1,1,2,4,-14
2025-12-22,IND,BOS,1,-8,02.38,0,0,0,0,0,0,0,0,0,0,1,1,2,0,8
2026-01-17,IND,DET,1,-43,16.65,7,5,0,0,0,1,3,5,0,0,0,2,4,10,-13
2026-01-19,IND,PHI,1,-9,07.42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-3
2026-01-21,IND,BOS,1,-15,09.3,1,0,1,0,0,0,1,2,1,0,0,2,2,0,-4
2026-01-23,IND,OKC,1,3,06.22,0,0,0,0,0,2,1,6,0,0,0,2,1,0,5
2026-01-26,IND,ATL,1,-16,12.32,3,2,0,0,0,0,2,5,0,0,1,0,2,4,-12
2026-01-28,IND,CHI,0,3,02.55,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-3
2026-01-31,IND,ATL,0,5,06.02,0,0,0,0,0,0,2,5,1,0,1,1,3,0,3
2026-02-02,IND,HOU,0,-4,24.85,5,2,0,0,2,3,2,6,4,4,2,2,5,6,4
2026-02-03,IND,UTA,0,-9,23.18,6,4,0,0,3,6,2,10,1,1,1,1,2,11,5
2026-02-10,LAC,HOU,1,-7,05.47,2,2,0,0,1,3,0,1,0,0,0,0,0,5,8
2026-02-19,LAC,DEN,0,1,03.83,0,0,0,0,0,0,0,0,0,1,0,0,3,0,-1
2026-03-01,LAC,NOP,0,20,04.27,1,1,0,0,0,0,0,0,1,0,1,0,2,2,-3
2026-03-04,LAC,IND,0,23,18.4,6,4,0,0,2,3,1,4,2,0,3,0,1,10,4
2026-03-06,LAC,SAS,1,-4,13.98,2,2,0,0,1,2,1,5,1,1,0,1,1,5,-4
2026-03-07,LAC,MEM,1,3,24.92,10,6,0,0,0,2,5,12,0,2,1,2,4,12,-11
2026-03-09,LAC,NYK,0,8,16.62,3,2,0,0,0,0,3,3,0,0,1,1,5,4,-13
2026-03-11,LAC,MIN,0,25,17.88,3,2,0,0,5,6,0,6,3,1,2,1,3,9,14
