Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-27,HOU,BRK,0,28,07.23,3,1,3,1,0,0,0,0,1,1,0,0,0,3,-1
2025-11-01,HOU,BOS,1,27,07.52,2,2,1,1,0,2,0,0,1,0,1,0,0,5,-4
2025-11-05,HOU,MEM,1,15,01.98,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-3
2025-11-12,HOU,WAS,0,23,03.35,2,1,1,1,0,0,0,0,0,0,0,0,1,3,1
2025-11-14,HOU,POR,0,24,03.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2025-11-24,HOU,PHO,1,22,17.8,2,2,1,1,0,0,0,1,4,1,0,0,1,5,5
2025-11-26,HOU,GSW,1,4,10.23,2,2,0,0,0,0,0,0,2,1,0,0,0,4,0
2025-11-30,HOU,UTA,1,28,04.85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-7
2025-12-03,HOU,SAC,0,26,02.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2025-12-05,HOU,PHO,0,19,06.53,3,0,1,0,0,0,0,2,0,0,0,0,0,0,-6
2025-12-06,HOU,DAL,1,-13,08.67,1,0,1,0,0,0,1,1,2,0,0,0,0,0,-14
2025-12-23,HOU,LAC,1,-20,05.25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
2025-12-25,HOU,LAL,1,23,02.67,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1
2025-12-27,HOU,CLE,0,17,04.75,2,1,0,0,1,2,0,1,1,0,0,1,1,3,-9
2025-12-29,HOU,IND,0,7,02.43,0,0,0,0,2,2,0,0,1,1,0,1,1,2,-8
2026-01-01,HOU,BRK,1,24,01.47,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
2026-01-13,HOU,CHI,0,6,24.7,6,3,2,1,2,3,1,7,4,0,1,0,2,9,14
2026-01-15,HOU,OKC,0,-20,20.52,9,2,5,1,0,0,0,1,1,0,1,0,2,5,-2
2026-01-16,HOU,MIN,0,5,03.63,2,0,2,0,0,0,0,1,0,0,0,0,0,0,-5
2026-01-18,HOU,NOP,0,9,04.15,2,0,2,0,0,0,0,0,0,1,0,0,0,0,-3
2026-01-29,HOU,ATL,1,18,02.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2026-02-04,HOU,BOS,0,-21,06.95,3,1,1,0,0,0,0,1,2,0,0,0,0,2,6
2026-02-05,HOU,CHO,0,-10,07.73,4,2,1,0,0,0,0,1,3,0,0,1,2,4,12
2026-02-07,HOU,OKC,1,6,17.9,5,3,4,2,0,0,0,4,1,0,0,1,3,8,16
2026-02-25,HOU,SAC,0,31,05.42,3,1,1,0,0,0,0,2,2,0,0,0,0,2,1
2026-03-31,HOU,NYK,0,17,01.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-04-03,HOU,UTA,0,34,06.65,1,1,0,0,3,4,0,1,0,0,0,0,1,5,1
