Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MEM,NOP,0,6,28.68,20,13,6,2,7,8,0,3,3,1,0,2,2,35,0
2025-10-24,MEM,MIA,0,-32,21.6,16,4,4,0,4,4,1,2,6,0,0,3,2,12,-22
2025-10-25,MEM,IND,0,25,27.23,14,5,2,0,9,9,0,3,8,1,0,0,3,19,7
2025-10-27,MEM,GSW,1,-13,31.3,23,8,6,0,7,7,0,3,9,1,0,3,0,23,-16
2025-10-29,MEM,PHO,1,1,31.55,19,10,8,3,5,5,1,8,7,2,0,6,1,28,13
2025-10-31,MEM,LAL,0,-5,30.97,14,3,6,0,2,2,0,1,7,1,0,1,1,8,-4
2025-11-03,MEM,DET,0,-8,34.97,16,5,4,0,8,9,0,5,10,1,0,5,2,18,-5
2025-11-05,MEM,HOU,0,-15,33.68,19,6,7,1,4,4,2,5,8,1,1,6,3,17,-15
2025-11-07,MEM,DAL,0,14,32.2,20,7,4,0,7,7,1,5,13,3,0,7,5,21,28
2025-11-09,MEM,OKC,0,-14,33.62,18,3,7,2,3,4,0,3,8,1,0,3,5,11,-23
2025-11-11,MEM,NYK,1,-13,33.53,14,4,6,2,6,6,0,3,10,0,0,8,3,16,-17
2025-11-15,MEM,CLE,1,-8,05.98,2,2,0,0,3,4,1,1,2,0,0,1,0,7,4
2025-12-12,MEM,UTA,0,-4,25.23,20,7,5,2,5,7,0,4,10,0,1,4,1,21,1
2025-12-15,MEM,LAC,1,18,20.97,12,4,2,1,3,3,1,3,4,1,1,1,1,12,-8
2025-12-26,MEM,MIL,0,21,25.33,11,6,0,0,5,6,0,4,10,1,0,4,4,17,12
2025-12-28,MEM,WAS,1,-4,27.47,16,8,5,3,2,2,0,0,7,0,0,3,0,21,-22
2025-12-30,MEM,PHI,0,,34.48,22,16,2,0,8,10,0,2,3,2,0,4,0,40,11
2026-01-02,MEM,LAL,1,-7,31.37,18,7,3,0,2,3,0,3,11,2,0,3,1,16,-21
2026-01-18,MEM,ORL,0,17,28.4,13,7,4,3,7,9,0,5,13,1,0,2,2,24,26
2026-01-21,MEM,ATL,0,-2,29.93,15,7,4,1,8,8,1,2,12,1,3,5,4,23,1
