Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-11-20,MEM,SAC,0,41,06.38,4,2,4,2,0,0,0,2,0,0,0,0,0,6,1
2025-12-07,MEM,POR,0,23,03.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2025-12-15,MEM,LAC,1,18,01.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-3
2025-12-17,MEM,MIN,1,6,03.53,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-7
2025-12-22,MEM,OKC,1,-16,05.83,0,0,0,0,0,0,0,2,2,1,0,2,0,0,-9
2025-12-23,MEM,UTA,1,9,00.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-07,MEM,PHO,0,-19,03.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
2026-02-04,MEM,SAC,1,4,22.95,2,1,0,0,0,0,2,4,5,3,0,0,4,2,-5
2026-02-06,MEM,POR,1,-20,20.18,6,2,3,1,0,0,1,1,1,3,0,1,3,5,-8
2026-02-07,MEM,POR,1,-7,30.2,9,3,7,2,0,0,0,1,1,6,0,2,1,8,-1
2026-02-09,MEM,GSW,1,-1,22.03,10,8,2,1,0,0,0,2,1,2,0,3,2,17,0
2026-02-11,MEM,DEN,1,-6,21.83,11,4,5,1,0,0,1,3,2,2,1,0,3,9,2
2026-02-20,MEM,UTA,0,9,31.37,9,4,4,2,1,4,0,5,2,2,1,4,0,11,8
2026-02-21,MEM,MIA,1,-16,22.23,6,0,3,0,0,0,2,3,1,0,2,0,4,0,-7
2026-02-23,MEM,SAC,0,-9,22.05,6,2,1,0,0,0,1,1,1,1,0,1,4,4,5
2026-02-27,MEM,DAL,1,19,23.17,7,3,1,0,2,2,1,3,1,1,1,0,3,8,3
2026-03-01,MEM,IND,1,19,23.3,7,2,2,0,0,0,1,2,1,0,3,3,0,4,12
2026-03-04,MEM,POR,0,-8,21.3,8,5,4,3,0,0,1,1,1,1,0,2,6,13,-5
2026-03-07,MEM,LAC,0,-3,24.72,5,2,2,0,0,0,0,1,0,0,0,0,4,4,1
2026-03-09,MEM,BRK,1,-11,31.0,6,3,1,0,1,2,3,6,2,2,3,1,2,7,-7
2026-03-10,MEM,PHI,1,-10,27.12,4,2,1,0,3,5,0,1,1,0,0,0,5,7,-18
2026-03-12,MEM,DAL,0,-8,31.17,11,3,4,1,1,2,2,4,6,2,0,1,4,8,5
2026-03-13,MEM,DET,1,-16,23.43,5,1,2,0,1,2,1,3,2,2,0,0,0,3,1
2026-03-16,MEM,CHI,1,-25,26.1,6,1,2,1,0,0,2,6,2,1,1,2,2,3,-9
2026-03-28,MEM,CHI,0,1,29.88,12,8,1,0,1,1,1,2,2,1,0,2,2,17,1
