Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-25,DEN,PHO,0,22,02.98,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2025-10-27,DEN,MIN,1,13,01.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-10-29,DEN,NOP,0,34,12.0,6,3,4,1,1,1,1,2,3,0,0,1,1,8,0
2025-11-07,DEN,GSW,0,25,04.65,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3
2025-11-08,DEN,IND,0,17,17.53,4,1,1,0,0,0,0,1,0,0,0,1,2,2,-13
2025-11-12,DEN,LAC,1,14,03.48,1,1,1,1,0,0,0,1,1,0,0,2,1,3,-4
2025-11-17,DEN,CHI,0,-3,10.45,3,1,1,1,0,0,1,1,0,0,0,0,0,3,9
2025-11-29,DEN,PHO,1,18,01.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-12-03,DEN,IND,1,15,01.68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-07,DEN,CHO,1,9,16.05,3,2,2,1,0,0,1,4,3,1,0,0,2,5,-6
2025-12-11,DEN,SAC,1,31,24.97,6,2,5,2,0,0,0,5,4,2,0,2,0,6,11
2025-12-18,DEN,ORL,0,11,23.9,7,3,6,3,0,0,1,3,7,0,0,0,0,9,17
2025-12-20,DEN,HOU,0,-14,22.37,7,4,1,0,2,2,1,4,1,0,0,1,2,10,1
2025-12-22,DEN,UTA,0,23,21.7,5,1,4,1,0,0,0,3,5,0,2,2,1,3,9
2025-12-23,DEN,DAL,1,-1,05.77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-3
2025-12-27,DEN,ORL,1,-1,10.13,1,0,0,0,0,0,0,1,1,0,0,2,2,0,-8
2025-12-29,DEN,MIA,1,-24,06.42,1,1,0,0,0,0,0,2,1,0,1,0,0,2,-3
2025-12-31,DEN,TOR,1,3,28.28,11,4,7,2,0,0,1,1,1,0,0,0,2,10,-9
2026-01-02,DEN,CLE,1,-5,18.48,5,4,2,1,0,0,0,2,3,2,0,1,0,9,2
2026-01-04,DEN,BRK,1,-12,14.12,3,1,1,1,0,0,1,4,3,0,0,0,2,3,7
2026-01-05,DEN,PHI,1,,41.88,20,11,11,7,0,0,1,5,7,0,0,4,3,29,6
2026-01-07,DEN,BOS,1,4,20.52,6,3,3,1,0,0,1,4,2,0,0,0,0,7,7
2026-01-09,DEN,ATL,0,-23,33.3,6,3,4,1,0,0,0,6,6,1,0,1,1,7,-12
2026-01-11,DEN,MIL,0,4,36.83,13,5,5,2,1,1,1,8,4,0,0,1,1,13,-9
2026-01-13,DEN,NOP,1,6,29.25,9,6,6,4,0,0,0,0,3,0,0,0,1,16,-2
2026-01-14,DEN,DAL,1,9,27.57,9,3,4,2,1,1,2,6,3,2,0,2,3,9,1
2026-01-17,DEN,WAS,0,6,22.22,7,2,6,1,0,0,0,5,6,1,0,0,1,5,8
2026-01-18,DEN,CHO,0,-23,33.98,7,4,4,2,2,2,1,5,7,0,0,2,1,12,-8
2026-01-20,DEN,LAL,0,-8,26.23,9,3,2,1,0,0,1,6,4,1,0,0,2,7,-4
2026-01-22,DEN,WAS,1,10,32.57,4,0,1,0,2,2,1,5,5,1,0,3,2,2,16
2026-01-23,DEN,MIL,1,2,33.95,14,5,7,2,1,2,0,3,7,1,0,1,2,13,-1
2026-01-27,DEN,DET,0,-2,16.43,3,2,0,0,0,0,0,3,1,1,0,1,2,4,-5
2026-01-29,DEN,BRK,0,4,15.02,2,0,2,0,0,0,0,3,3,0,0,0,0,0,-9
2026-01-30,DEN,LAC,0,13,14.18,4,0,4,0,0,0,2,3,3,0,0,0,1,0,-8
2026-02-01,DEN,OKC,0,-10,18.12,3,3,1,1,0,0,1,2,1,0,0,1,0,7,-9
2026-02-03,DEN,DET,1,-3,10.35,5,0,4,0,0,0,0,1,1,0,1,0,1,0,-4
2026-02-07,DEN,CHI,1,16,07.92,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-6
2026-02-09,DEN,CLE,0,-2,11.57,4,1,3,1,0,0,0,0,0,0,0,0,1,3,1
2026-02-11,DEN,MEM,0,6,08.68,3,1,2,1,0,0,0,1,0,0,0,0,0,3,9
2026-03-01,DEN,MIN,0,-9,06.42,2,2,0,0,0,0,0,3,2,0,0,1,0,4,8
2026-03-02,DEN,UTA,1,3,18.58,3,2,3,2,2,2,0,1,1,0,0,0,0,8,0
2026-03-06,DEN,NYK,0,-39,09.05,2,0,1,0,0,0,0,0,1,0,0,0,0,0,-13
2026-03-11,DEN,HOU,0,36,05.85,2,1,2,1,0,0,0,0,0,0,0,0,1,3,2
2026-03-17,DEN,PHI,0,28,07.22,1,1,1,1,1,2,0,1,1,0,0,1,1,4,-2
2026-03-22,DEN,POR,0,16,01.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-29,DEN,GSW,0,23,01.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-04-01,DEN,UTA,1,13,01.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5
2026-04-08,DEN,MEM,0,17,05.93,3,2,2,1,0,0,0,0,1,0,0,0,1,5,-2
2026-04-10,DEN,OKC,0,20,29.6,11,5,6,3,0,0,0,4,4,0,0,2,0,13,17
2026-04-12,DEN,SAS,1,10,29.87,13,4,5,1,2,4,0,3,6,0,1,2,0,11,11
