Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,CHI,DET,0,4,13.63,7,0,5,0,2,2,1,5,1,0,0,0,1,2,-2
2025-10-25,CHI,ORL,1,12,16.75,8,6,2,2,2,4,0,3,1,1,0,2,1,16,16
2025-10-27,CHI,ATL,0,5,07.22,4,0,1,0,0,0,3,3,0,0,0,2,3,0,-8
2025-10-29,CHI,SAC,0,13,15.42,9,5,4,0,0,1,3,5,0,0,0,0,1,10,-3
2025-10-31,CHI,NYK,0,10,17.13,5,3,4,2,2,2,2,9,2,1,2,0,3,10,13
2025-11-02,CHI,NYK,1,-12,16.0,7,5,4,2,0,1,2,5,0,0,0,0,3,12,-1
2025-11-04,CHI,PHI,0,2,16.93,8,4,7,3,3,4,2,4,0,0,0,4,2,14,-6
2025-11-07,CHI,MIL,1,-16,16.8,6,3,2,0,1,2,2,5,3,0,0,1,3,7,-5
2025-11-08,CHI,CLE,1,-6,18.57,6,6,4,4,2,2,2,11,4,0,1,1,2,18,17
2025-11-10,CHI,SAS,0,-4,21.35,13,5,4,1,0,0,4,12,2,0,0,1,2,11,2
2025-11-12,CHI,DET,1,-11,13.9,8,3,5,3,0,0,1,4,0,0,0,0,2,9,-7
2025-11-16,CHI,UTA,1,,16.6,8,3,7,2,0,0,3,8,3,0,1,1,2,8,0
2025-11-17,CHI,DEN,1,3,17.95,11,6,6,3,1,1,1,8,2,2,0,1,2,16,15
2025-11-19,CHI,POR,1,1,11.82,6,2,4,1,0,0,1,1,0,1,2,0,2,5,4
2025-11-21,CHI,MIA,0,-36,24.05,8,5,5,2,2,2,0,2,2,0,5,1,2,14,-24
2025-11-22,CHI,WAS,0,1,19.17,13,4,6,1,0,0,4,9,1,0,1,0,2,9,-3
2025-11-24,CHI,NOP,1,-13,26.35,6,4,5,3,2,2,1,6,1,0,0,2,3,13,3
2025-11-28,CHI,CHO,1,-7,17.45,5,3,2,0,0,0,1,5,0,0,0,2,0,6,-19
2025-12-12,CHI,CHO,1,3,16.8,9,2,3,1,0,0,5,10,1,1,1,0,0,5,10
2025-12-14,CHI,NOP,0,-10,12.33,3,2,1,0,2,2,0,0,1,1,2,2,4,6,-10
2025-12-17,CHI,CLE,0,16,15.9,3,2,1,0,0,0,2,7,1,0,0,1,2,4,11
2025-12-19,CHI,CLE,1,11,15.13,4,2,2,0,0,0,1,4,0,0,0,1,1,4,9
2025-12-21,CHI,ATL,1,2,13.2,1,0,0,0,3,4,1,5,3,0,0,1,1,3,-4
2025-12-23,CHI,ATL,1,3,11.73,3,1,3,1,2,3,2,4,3,0,0,0,1,5,-4
2025-12-26,CHI,PHI,0,7,22.35,7,4,4,2,2,2,3,8,3,0,1,0,1,12,24
2025-12-27,CHI,MIL,0,-9,22.35,8,2,6,2,0,0,3,10,1,0,1,0,2,6,3
2025-12-29,CHI,MIN,0,-35,25.52,6,4,4,3,1,2,2,6,1,1,2,1,3,12,-14
2025-12-31,CHI,NOP,0,16,26.33,11,5,5,1,3,3,3,14,1,1,2,1,3,14,21
2026-01-02,CHI,ORL,0,7,26.95,10,4,6,1,2,2,3,10,1,2,1,1,4,11,5
2026-01-03,CHI,CHO,0,-13,15.02,5,4,2,1,0,0,2,5,1,0,3,1,0,9,6
2026-01-10,CHI,DAL,0,18,16.3,11,3,5,0,1,2,2,9,0,0,2,1,0,7,15
2026-01-13,CHI,HOU,1,-6,36.3,13,5,5,0,4,5,3,9,1,0,0,1,5,14,0
2026-01-14,CHI,UTA,0,2,17.08,7,3,5,2,4,6,2,10,1,0,0,1,1,12,2
2026-01-16,CHI,BRK,1,-3,35.08,11,4,10,4,2,2,1,13,4,1,4,1,0,14,-5
2026-01-18,CHI,BRK,0,22,30.62,8,5,4,2,0,2,1,10,3,2,0,1,1,12,16
2026-01-20,CHI,LAC,0,28,23.58,10,4,4,2,0,1,2,9,1,1,2,1,3,10,10
2026-01-22,CHI,MIN,1,5,26.88,9,6,4,3,2,2,0,4,0,1,0,1,5,17,5
2026-01-24,CHI,BOS,0,3,27.4,10,6,5,2,0,0,1,9,0,0,0,0,3,14,11
2026-01-26,CHI,LAL,0,-11,36.73,7,5,5,3,0,2,0,7,0,1,0,1,3,13,5
2026-01-28,CHI,IND,1,-3,27.67,9,5,4,3,0,1,1,11,3,1,0,2,3,13,-3
2026-01-29,CHI,MIA,0,-3,15.32,7,4,1,1,2,2,3,5,0,0,0,1,1,11,-11
2026-02-03,CHI,MIL,1,-16,20.1,7,5,5,3,3,3,2,5,1,0,0,2,1,16,8
2026-02-05,CHI,TOR,1,-16,24.28,11,6,3,0,1,2,3,9,1,1,0,0,1,13,-6
2026-02-19,CHI,TOR,0,-9,24.33,6,2,3,1,4,4,2,10,2,3,1,2,1,9,-8
2026-02-21,CHI,DET,0,-16,24.75,6,5,4,3,2,3,0,7,2,0,3,1,3,15,-3
2026-02-22,CHI,NYK,0,-6,18.22,11,5,6,2,0,0,1,5,1,1,0,2,3,12,-9
2026-03-08,CHI,SAC,1,-16,19.88,6,1,5,1,1,4,0,3,0,0,1,0,3,4,-6
2026-03-10,CHI,GSW,1,,33.88,13,3,10,2,4,4,6,12,3,0,1,1,3,12,1
2026-03-12,CHI,LAL,1,-12,30.35,11,5,5,2,2,2,3,4,0,0,0,0,3,14,-18
2026-03-16,CHI,MEM,0,25,26.77,10,5,4,0,3,3,3,5,0,0,0,1,2,13,30
2026-03-18,CHI,TOR,0,-30,17.3,4,3,3,2,2,2,1,4,1,1,0,3,4,10,-9
2026-03-23,CHI,HOU,0,8,25.78,8,6,5,3,0,0,1,6,2,0,2,3,4,15,17
2026-03-25,CHI,PHI,1,-20,06.05,1,0,1,0,0,0,0,1,0,0,1,0,0,0,-5
