Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-23,IND,OKC,0,,30.32,11,6,5,1,0,0,1,4,4,1,0,2,4,13,-7
2025-10-25,IND,MEM,1,-25,26.68,13,2,8,2,0,0,1,7,3,0,1,1,0,6,-14
2025-10-26,IND,MIN,1,-4,26.33,8,2,5,1,0,0,1,7,4,0,1,2,2,5,-11
2025-10-29,IND,DAL,1,-2,35.72,19,5,10,4,6,7,0,6,5,3,1,1,3,20,-3
2025-10-31,IND,ATL,0,-20,27.9,13,6,6,4,1,2,1,3,3,0,0,1,2,17,-8
2025-11-01,IND,GSW,0,5,29.95,9,2,5,0,2,2,2,9,5,0,0,4,2,6,13
2025-11-03,IND,MIL,0,-2,38.17,15,7,6,2,2,4,1,8,5,0,0,2,3,18,-10
2025-11-05,IND,BRK,0,-9,32.18,11,3,1,0,0,0,0,6,6,0,1,1,2,6,-9
2025-11-08,IND,DEN,1,-17,21.8,7,3,4,1,1,2,1,5,2,0,0,1,2,8,7
2025-11-09,IND,GSW,1,-31,31.55,14,4,6,3,1,1,0,2,0,0,1,6,3,12,-11
2025-11-11,IND,UTA,1,-24,22.12,8,1,5,0,9,9,0,1,0,1,1,3,1,11,-20
2025-11-13,IND,PHO,1,-35,26.38,10,0,4,0,2,2,1,4,2,0,1,1,1,2,-28
2025-11-15,IND,TOR,0,-18,29.52,9,2,5,0,4,5,0,8,2,2,0,4,2,8,-7
2025-11-17,IND,DET,1,-15,28.45,4,2,2,1,3,5,2,3,1,2,0,3,2,8,-9
2025-11-19,IND,CHO,0,9,25.57,6,3,4,3,0,0,0,4,0,0,0,2,2,9,-2
2025-11-21,IND,CLE,1,-11,17.12,6,2,2,0,2,2,0,4,0,0,0,0,2,6,-7
2025-11-24,IND,DET,0,-5,27.05,10,8,6,5,0,0,1,6,2,1,0,2,2,21,8
2025-11-26,IND,TOR,1,-2,26.67,9,4,7,3,2,2,1,9,2,2,1,3,2,13,-13
2025-11-28,IND,WAS,0,33,23.13,9,3,4,0,4,5,0,7,1,0,1,1,1,10,4
2025-11-29,IND,CHI,0,2,20.33,4,1,3,1,1,2,0,2,1,0,1,1,0,4,-5
2025-12-01,IND,CLE,0,-16,29.3,8,2,5,0,3,4,0,5,3,2,0,2,1,7,-2
2025-12-03,IND,DEN,0,-15,21.6,7,4,2,1,2,2,0,3,0,0,0,1,2,11,-24
2025-12-05,IND,CHI,1,15,09.03,3,1,3,1,0,0,0,1,0,0,0,1,0,3,2
2025-12-08,IND,SAC,0,11,18.43,5,3,4,2,4,4,1,3,1,0,0,2,1,12,3
2025-12-12,IND,PHI,1,-10,18.2,4,1,3,1,0,0,0,7,1,1,0,2,2,3,-4
2025-12-14,IND,WAS,0,-19,22.2,13,5,6,2,0,0,1,3,0,0,1,1,1,12,0
2025-12-18,IND,NYK,0,-1,16.28,4,2,1,1,1,2,0,3,1,0,0,2,2,6,-7
2025-12-20,IND,NOP,1,-19,20.08,11,2,8,1,2,3,0,5,3,1,1,0,1,7,-11
2025-12-22,IND,BOS,1,-8,15.37,5,1,4,0,0,0,0,4,0,1,0,1,2,2,-8
2025-12-23,IND,MIL,0,-17,16.82,8,1,5,1,1,2,0,2,0,0,0,1,2,4,-12
2025-12-26,IND,BOS,0,-18,18.13,9,4,7,4,0,0,0,3,2,0,0,0,1,12,-19
2025-12-27,IND,MIA,1,-26,20.62,1,0,1,0,3,4,0,3,1,0,0,3,1,3,5
2025-12-29,IND,HOU,1,-7,23.58,7,5,3,2,0,0,0,2,3,1,0,1,0,12,-3
2025-12-31,IND,ORL,0,-2,17.73,7,4,2,1,0,0,0,4,0,1,0,0,1,9,-3
2026-01-02,IND,SAS,0,-10,11.22,6,4,2,2,1,1,0,0,0,1,0,1,0,11,-10
