Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,DET,CHI,1,-4,09.52,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4
2025-10-24,DET,HOU,1,4,19.97,6,2,2,1,2,3,0,4,2,1,0,1,0,7,-7
2025-10-26,DET,BOS,0,6,16.83,9,3,5,1,0,0,3,3,1,0,0,0,1,7,0
2025-10-27,DET,CLE,0,-21,16.85,5,1,1,0,0,0,1,3,1,1,0,1,2,2,-21
2025-10-29,DET,ORL,0,19,17.48,5,3,4,3,0,0,0,2,1,1,0,0,2,9,10
2025-11-01,DET,DAL,0,12,13.85,6,3,2,1,0,0,0,2,1,2,1,0,0,7,12
2025-11-03,DET,MEM,1,8,21.4,4,1,3,1,0,0,0,3,1,2,1,0,3,3,-13
2025-11-05,DET,UTA,0,11,22.95,3,0,3,0,3,4,1,4,1,0,0,0,3,3,-1
2025-11-07,DET,BRK,1,18,19.65,5,2,3,1,3,4,1,3,1,1,0,0,2,8,2
2025-11-09,DET,PHI,1,3,28.22,5,2,3,1,1,2,1,2,2,1,0,2,2,6,4
2025-11-10,DET,WAS,0,,38.03,11,4,5,1,2,2,4,11,3,1,2,2,0,11,10
2025-11-12,DET,CHI,0,11,32.05,7,3,2,0,3,7,1,4,0,1,0,3,2,9,16
2025-11-14,DET,PHI,0,9,36.68,12,5,9,3,8,9,1,9,3,1,2,1,2,21,2
2025-11-17,DET,IND,0,15,27.13,11,7,4,1,5,5,1,4,0,2,0,0,5,20,4
2025-11-18,DET,ATL,1,8,28.62,5,3,3,1,2,2,0,3,1,2,0,2,0,9,14
2025-11-22,DET,MIL,1,13,12.52,3,3,1,1,0,0,0,1,0,0,0,1,3,7,4
2025-11-24,DET,IND,1,5,11.23,2,1,0,0,0,0,0,0,0,0,0,1,1,2,4
2025-11-26,DET,BOS,1,-3,09.72,2,0,1,0,0,0,0,1,0,0,1,0,0,0,-1
2025-11-28,DET,ORL,0,-3,10.38,2,0,1,0,0,0,1,2,0,1,2,1,2,0,-10
2025-11-29,DET,MIA,1,3,08.47,2,2,1,1,0,0,0,1,0,1,0,0,1,5,-4
2025-12-01,DET,ATL,0,1,05.57,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6
2025-12-03,DET,MIL,1,-4,15.95,6,3,4,2,1,1,0,1,2,2,0,1,1,9,-4
2025-12-05,DET,POR,0,6,04.3,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3
2025-12-06,DET,MIL,0,12,16.88,9,5,4,2,1,1,0,0,0,2,0,2,2,13,-11
2025-12-12,DET,ATL,0,27,20.1,7,3,5,1,2,2,0,1,0,3,0,0,2,9,18
2025-12-15,DET,BOS,1,7,14.17,4,3,3,2,0,0,0,1,1,3,0,0,0,8,13
2025-12-18,DET,DAL,1,,18.37,5,1,2,0,1,2,3,6,2,3,0,1,2,3,-6
2025-12-20,DET,CHO,0,26,14.27,4,1,1,0,0,0,0,3,1,3,0,0,0,2,3
2025-12-22,DET,POR,1,8,23.57,7,2,5,1,1,2,2,5,1,2,0,0,3,6,-8
2025-12-23,DET,SAC,1,9,18.42,6,3,2,1,2,2,2,2,0,1,0,1,3,9,6
2025-12-26,DET,UTA,1,-2,19.9,6,3,4,2,0,0,1,2,1,3,0,0,3,8,-7
2025-12-28,DET,LAC,1,-13,13.02,4,3,2,1,0,0,0,3,0,0,0,0,0,7,-2
2025-12-30,DET,LAL,1,22,31.33,7,3,4,1,1,2,1,4,2,0,2,0,2,8,21
2026-01-01,DET,MIA,0,-6,26.18,7,4,2,1,2,2,0,2,1,1,0,1,2,11,-2
2026-01-04,DET,CLE,1,4,24.02,9,3,6,3,2,2,2,4,1,1,0,1,1,11,2
2026-01-05,DET,NYK,0,31,29.4,9,6,6,4,1,2,1,2,1,3,0,0,1,17,12
2026-01-07,DET,CHI,0,15,25.43,9,4,5,1,2,2,0,2,1,4,0,1,1,11,16
2026-01-10,DET,LAC,0,-6,32.7,6,2,5,1,2,2,1,7,0,4,2,3,5,7,-5
2026-01-15,DET,PHO,0,3,16.03,5,1,5,1,2,3,0,0,0,1,0,0,1,5,-10
2026-01-17,DET,IND,0,43,19.62,9,6,6,4,0,0,0,3,0,1,0,0,0,16,6
2026-01-19,DET,BOS,0,1,07.28,2,1,2,1,0,0,0,1,0,0,1,0,0,3,4
2026-01-21,DET,NOP,1,8,14.2,4,3,3,2,0,0,1,2,0,3,1,1,1,8,-2
2026-01-23,DET,HOU,0,-7,16.8,3,1,1,0,0,2,1,3,1,0,0,0,2,2,12
2026-01-25,DET,SAC,0,23,14.9,4,1,3,0,9,9,2,4,0,4,0,1,1,11,8
2026-01-27,DET,DEN,1,2,19.47,6,3,3,1,3,3,3,6,1,0,0,1,3,10,-3
2026-01-29,DET,PHO,1,-18,11.33,3,0,2,0,0,0,1,2,0,1,0,0,3,0,-13
2026-01-30,DET,GSW,1,7,08.23,1,1,1,1,0,0,0,3,0,0,0,0,0,3,5
2026-02-01,DET,BRK,0,53,18.98,3,3,2,2,0,0,0,3,1,0,0,1,1,8,17
2026-02-03,DET,DEN,0,3,13.7,4,2,2,1,2,2,0,0,2,1,0,0,0,7,0
2026-02-05,DET,WAS,0,-9,18.37,6,3,4,1,1,2,1,3,0,3,0,3,0,8,-2
2026-02-06,DET,NYK,0,38,13.53,3,3,2,2,0,0,1,3,0,2,0,0,0,8,12
2026-02-09,DET,CHO,1,6,14.73,5,1,4,0,2,2,0,0,0,0,0,0,1,4,-6
2026-02-11,DET,TOR,1,18,16.28,4,0,2,0,3,3,3,4,2,0,0,1,0,3,4
2026-02-19,DET,NYK,1,15,20.17,4,2,3,1,4,5,2,5,0,2,0,2,1,9,4
2026-02-21,DET,CHI,1,16,16.57,1,1,0,0,0,0,1,3,1,0,0,0,0,2,5
2026-02-23,DET,SAS,0,-11,13.03,5,0,3,0,0,0,0,0,0,0,1,0,0,0,-9
2026-02-25,DET,OKC,0,8,17.42,4,2,3,2,0,0,1,4,0,1,1,0,1,6,9
2026-02-27,DET,CLE,0,,06.65,4,1,3,0,0,0,1,2,0,1,0,0,0,2,6
2026-03-01,DET,ORL,1,14,18.38,3,1,3,1,0,0,2,8,1,0,0,1,2,3,3
2026-03-03,DET,CLE,1,-4,13.1,7,5,5,3,0,0,0,1,0,1,0,0,3,13,-2
2026-03-05,DET,SAS,1,-15,18.88,7,2,3,1,5,5,1,3,0,0,2,0,3,10,12
2026-03-07,DET,BRK,0,-2,17.68,7,2,3,1,0,0,1,3,0,2,0,0,3,5,-21
2026-03-08,DET,MIA,1,-11,15.17,5,2,3,0,2,2,0,2,1,0,0,2,2,6,-3
