Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MIN,POR,1,4,16.47,5,1,2,0,0,0,2,4,3,2,0,1,2,2,-2
2025-10-24,MIN,LAL,1,-18,13.45,5,3,1,1,2,2,2,3,1,0,0,0,4,9,-8
2025-10-26,MIN,IND,0,4,15.35,4,2,1,0,2,2,1,2,0,1,0,0,4,6,5
2025-11-01,MIN,CHO,1,17,19.03,6,3,3,0,0,0,0,1,0,1,0,0,1,6,19
2025-11-03,MIN,BRK,1,16,20.32,3,1,1,0,0,4,4,5,2,0,0,1,2,2,-1
2025-11-05,MIN,NYK,1,-23,12.78,2,1,1,1,0,0,0,1,0,1,0,0,1,3,-12
2025-11-07,MIN,UTA,0,40,19.8,4,2,1,1,1,2,0,1,2,2,1,0,4,6,12
2025-11-09,MIN,SAC,1,27,15.45,4,3,4,3,2,2,0,2,1,0,0,1,1,11,7
2025-11-10,MIN,UTA,1,7,12.58,2,1,1,0,0,0,1,1,0,1,0,1,4,2,-5
2025-11-14,MIN,SAC,0,14,21.73,5,1,2,0,3,4,1,1,0,1,0,0,1,5,9
2025-11-15,MIN,DEN,0,-11,11.1,1,1,1,1,0,0,0,2,0,0,0,1,1,3,5
2025-11-17,MIN,DAL,0,24,18.78,5,2,4,1,0,0,4,6,0,1,0,0,3,5,15
2025-11-19,MIN,WAS,0,11,25.82,7,3,3,1,0,2,3,5,0,3,1,0,1,7,5
2025-11-21,MIN,PHO,1,-1,07.98,1,0,0,0,1,2,1,3,0,1,0,0,1,1,-12
2025-11-24,MIN,SAC,1,,06.42,3,0,0,0,0,0,2,3,0,0,0,0,2,0,1
2025-11-26,MIN,OKC,1,-8,07.3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,-14
2025-11-29,MIN,BOS,0,4,11.82,3,0,3,0,0,0,0,1,0,0,0,0,0,0,-10
2025-11-30,MIN,SAS,0,13,10.67,2,2,2,2,2,2,0,0,0,1,0,0,1,8,7
2025-12-02,MIN,NOP,1,,15.23,4,2,4,2,0,0,0,2,0,0,0,0,0,6,11
2025-12-04,MIN,NOP,1,9,14.47,9,4,6,2,2,2,1,2,0,1,0,0,0,12,3
2025-12-06,MIN,LAC,0,3,16.25,5,3,2,0,2,2,1,3,0,1,0,0,3,8,4
2025-12-08,MIN,PHO,0,-3,11.52,2,1,0,0,1,2,1,2,1,0,0,0,0,3,1
2025-12-12,MIN,GSW,1,7,18.68,3,1,1,0,0,2,1,1,2,2,0,0,3,2,-10
2025-12-14,MIN,SAC,0,14,16.5,3,1,1,0,0,0,1,1,0,0,0,2,1,2,5
2025-12-17,MIN,MEM,0,-6,08.97,4,1,2,0,0,0,0,1,0,1,1,1,1,2,-9
2025-12-21,MIN,MIL,0,3,06.13,1,0,1,0,0,0,0,0,0,1,0,0,2,0,-1
2025-12-23,MIN,NYK,0,11,13.77,2,2,1,1,0,2,1,1,3,0,0,2,1,5,11
2025-12-25,MIN,DEN,1,,05.35,2,1,0,0,0,0,0,0,0,0,0,0,0,2,-9
2025-12-27,MIN,BRK,0,-16,14.78,4,1,1,0,4,5,2,2,0,0,0,0,3,6,-2
2025-12-29,MIN,CHI,1,35,18.83,7,4,0,0,3,3,1,4,0,3,1,0,0,11,11
2025-12-31,MIN,ATL,1,-24,15.6,4,1,3,0,1,2,0,0,0,1,1,1,1,3,-13
2026-01-03,MIN,MIA,1,10,05.27,2,1,0,0,0,0,0,0,0,0,0,0,0,2,-6
2026-01-04,MIN,WAS,1,26,27.65,6,4,1,0,4,5,2,2,3,3,1,0,0,12,19
2026-01-06,MIN,MIA,0,28,11.92,1,0,0,0,2,2,0,4,0,0,0,0,1,2,8
2026-01-08,MIN,CLE,0,9,10.73,4,2,1,1,0,0,0,0,0,1,0,1,3,5,-6
2026-01-10,MIN,CLE,1,-12,15.25,1,0,1,0,1,2,0,3,1,0,0,0,3,1,5
2026-01-11,MIN,SAS,0,1,08.72,2,1,1,0,0,0,0,0,1,0,0,1,1,2,0
2026-01-13,MIN,MIL,1,33,18.33,6,2,0,0,0,0,3,6,2,2,0,0,0,4,26
2026-01-16,MIN,HOU,1,-5,10.72,0,0,0,0,0,0,1,2,0,0,0,0,2,0,-7
2026-01-17,MIN,SAS,1,-3,09.58,1,0,0,0,0,0,1,3,2,0,1,0,1,0,-10
2026-01-20,MIN,UTA,1,-5,16.57,2,2,0,0,0,0,2,2,0,1,0,0,0,4,-2
2026-01-22,MIN,CHI,0,-5,12.32,3,1,2,0,0,0,0,1,1,0,0,0,2,2,-7
2026-01-25,MIN,GSW,0,-26,09.48,3,0,2,0,0,0,0,0,1,0,0,1,1,0,-8
2026-01-26,MIN,GSW,0,25,24.72,3,1,0,0,2,2,1,3,2,2,0,0,0,4,15
2026-01-28,MIN,DAL,1,13,11.05,2,0,1,0,0,0,0,1,1,0,0,0,1,0,9
2026-01-29,MIN,OKC,0,12,14.72,4,3,2,1,0,0,1,3,1,0,1,0,2,7,0
2026-01-31,MIN,MEM,1,17,16.53,3,2,1,0,1,1,1,2,0,1,0,1,2,5,18
2026-02-02,MIN,MEM,1,-9,07.7,2,0,1,0,0,0,0,0,0,0,0,0,3,0,-6
2026-02-04,MIN,TOR,1,2,06.0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,-1
2026-02-06,MIN,NOP,0,-4,14.07,2,0,1,0,0,0,4,5,0,0,0,0,2,0,2
2026-02-08,MIN,LAC,0,-19,04.22,4,3,1,1,1,3,1,1,0,1,0,1,0,8,6
2026-02-09,MIN,ATL,0,22,04.92,1,1,1,1,0,0,0,0,0,0,0,0,0,3,6
2026-02-11,MIN,POR,0,24,07.58,4,2,2,1,0,0,0,2,1,2,0,1,1,5,2
