Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MEM,NOP,0,6,27.53,8,4,8,4,2,5,0,3,4,1,0,2,3,14,11
2025-10-24,MEM,MIA,0,-32,22.48,9,3,7,3,0,0,1,4,1,0,0,1,2,9,-26
2025-10-25,MEM,IND,0,25,27.23,10,2,7,0,1,2,0,3,0,0,0,1,2,5,7
2025-10-27,MEM,GSW,1,-13,27.75,8,3,3,0,4,4,0,1,2,1,0,1,2,10,-19
2025-10-29,MEM,PHO,1,1,29.15,9,3,5,1,2,2,1,3,1,2,0,0,2,9,-2
2025-10-31,MEM,LAL,0,-5,26.83,16,7,9,2,0,1,4,7,0,0,0,0,2,16,-3
2025-11-02,MEM,TOR,1,-13,26.22,11,3,4,1,0,0,2,5,2,0,0,0,4,7,4
2025-11-03,MEM,DET,0,-8,21.28,14,2,7,0,0,0,4,6,3,0,0,0,1,4,-8
2025-11-05,MEM,HOU,0,-15,19.6,3,3,1,1,1,2,1,3,1,0,0,1,0,8,-8
2025-11-07,MEM,DAL,0,14,25.2,7,2,3,1,3,4,1,5,1,0,0,1,2,8,9
2025-11-09,MEM,OKC,0,-14,22.88,10,5,4,2,0,0,0,1,2,0,0,2,2,12,-14
2025-11-11,MEM,NYK,1,-13,29.15,11,7,7,4,0,0,0,3,4,2,0,1,1,18,-6
2025-11-12,MEM,BOS,1,-36,24.38,10,2,5,1,0,0,3,4,0,2,0,0,2,5,-27
2025-11-15,MEM,CLE,1,-8,23.85,8,3,4,1,1,1,0,2,0,0,0,2,4,8,3
2025-11-18,MEM,SAS,1,-10,26.63,9,4,4,1,0,0,0,1,2,2,0,0,1,9,-1
2025-11-20,MEM,SAC,0,41,18.82,9,4,5,2,3,4,0,1,2,1,0,0,3,13,13
2025-11-22,MEM,DAL,1,6,31.32,10,3,2,0,3,4,3,5,4,0,0,0,2,9,18
