Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-11-05,SAS,LAL,1,-2,22.58,7,6,2,1,3,4,1,2,0,1,0,0,6,16,-6
2025-11-07,SAS,HOU,0,11,15.27,5,0,2,0,2,2,1,2,2,0,0,3,3,2,-2
2025-11-08,SAS,NOP,0,7,20.0,5,4,0,0,0,0,1,3,4,1,2,1,2,8,-7
2025-11-10,SAS,CHI,1,4,10.15,1,0,1,0,1,2,0,1,0,1,0,0,0,1,-10
2025-11-12,SAS,GSW,0,-5,06.28,1,1,1,1,0,0,0,3,1,0,0,0,2,3,0
2025-11-14,SAS,GSW,0,-1,13.0,3,2,1,1,0,0,0,3,2,0,0,2,3,5,6
2025-11-16,SAS,SAC,0,13,22.22,5,4,3,2,1,1,1,5,2,0,0,2,4,11,-4
2025-11-18,SAS,MEM,0,10,22.2,6,3,3,2,0,0,0,6,2,0,0,2,3,8,10
2025-11-20,SAS,ATL,0,9,21.83,10,3,5,0,2,2,0,5,5,1,1,0,1,8,0
2025-11-23,SAS,PHO,1,-9,20.98,5,3,1,0,1,2,3,5,1,0,0,1,3,7,-17
2025-11-26,SAS,POR,1,13,07.58,7,1,2,0,0,0,2,3,0,0,0,1,2,2,-7
2025-11-28,SAS,DEN,1,3,15.6,4,2,1,0,0,0,1,1,2,1,0,0,5,4,6
2025-11-30,SAS,MIN,1,-13,12.33,2,1,0,0,0,0,1,1,0,0,0,0,0,2,-4
2025-12-02,SAS,MEM,0,7,18.37,6,5,1,0,1,1,2,6,1,2,0,0,1,11,-2
2025-12-03,SAS,ORL,1,2,19.62,7,2,0,0,0,2,4,7,1,1,0,1,2,4,-15
2025-12-05,SAS,CLE,1,-13,24.87,9,5,2,0,0,0,5,5,1,1,0,1,3,10,-8
2025-12-08,SAS,NOP,1,3,03.73,2,1,0,0,0,0,0,3,0,0,0,1,0,2,1
2025-12-18,SAS,WAS,0,25,15.63,1,0,0,0,0,0,1,2,1,1,1,0,1,0,3
2025-12-19,SAS,ATL,1,28,10.03,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-10
2025-12-25,SAS,OKC,1,15,01.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2025-12-27,SAS,UTA,0,-13,05.68,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-7
2026-01-06,SAS,MEM,1,-1,14.28,4,1,3,0,0,0,3,6,1,0,0,1,2,2,6
2026-01-07,SAS,LAL,0,16,11.47,2,2,2,2,0,0,0,0,1,0,0,0,3,6,-1
2026-01-10,SAS,BOS,1,5,03.6,2,0,2,0,0,0,0,0,0,0,0,0,1,0,-4
2026-01-13,SAS,OKC,1,-21,01.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-3
2026-01-15,SAS,MIL,0,18,10.27,3,1,2,0,0,0,0,1,0,0,0,0,2,2,-15
2026-01-22,SAS,UTA,1,17,03.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-02-07,SAS,DAL,0,13,03.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-6
2026-02-19,NYK,DET,0,-15,09.93,1,1,0,0,0,0,0,0,1,1,1,0,1,2,-2
2026-02-21,NYK,HOU,0,2,04.13,2,0,1,0,0,0,0,0,0,0,0,0,1,0,-2
2026-02-22,NYK,CHI,1,6,11.38,2,1,0,0,0,0,0,3,2,0,0,0,1,2,-10
2026-02-24,NYK,CLE,1,-15,04.72,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1
2026-02-27,NYK,MIL,1,29,05.92,3,1,2,0,0,0,0,2,0,0,0,0,0,2,-3
2026-03-01,NYK,SAS,0,25,02.42,0,0,0,0,1,2,1,1,0,0,0,0,0,1,2
2026-03-03,NYK,TOR,1,16,00.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-03-04,NYK,OKC,0,-3,01.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
