Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-24,MIN,LAL,1,-18,04.78,1,1,0,0,0,0,1,4,0,0,0,0,0,2,5
2025-10-27,MIN,DEN,0,-13,02.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-11-01,MIN,CHO,1,17,01.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-03,MIN,BRK,1,16,02.98,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-4
2025-11-05,MIN,NYK,1,-23,03.3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-1
2025-11-07,MIN,UTA,0,40,08.73,3,3,0,0,0,1,0,3,0,0,1,2,2,6,4
2025-11-09,MIN,SAC,1,27,05.6,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2
2025-11-14,MIN,SAC,0,14,00.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-11-17,MIN,DAL,0,24,07.77,4,2,0,0,2,2,1,4,0,0,1,0,2,6,-5
2025-12-27,MIN,BRK,0,-16,01.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-12-29,MIN,CHI,1,35,05.75,2,0,0,0,0,0,1,3,0,0,2,1,0,0,2
2025-12-31,MIN,ATL,1,-24,07.87,0,0,0,0,0,0,1,2,0,0,1,0,0,0,5
2026-01-06,MIN,MIA,0,28,04.67,4,3,0,0,0,0,2,2,0,0,0,0,0,6,0
2026-01-10,MIN,CLE,1,-12,02.83,3,3,0,0,0,0,1,2,0,1,0,0,0,6,4
2026-01-13,MIN,MIL,1,33,29.67,7,6,0,0,1,1,4,5,2,1,0,1,4,13,30
2026-01-16,MIN,HOU,1,-5,06.55,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2026-01-17,MIN,SAS,1,-3,23.03,6,5,0,0,0,0,5,8,3,0,2,1,5,10,9
2026-01-20,MIN,UTA,1,-5,05.05,3,2,0,0,0,0,1,3,0,0,0,0,0,4,-2
2026-01-22,MIN,CHI,0,-5,03.1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-5
2026-01-25,MIN,GSW,0,-26,05.17,0,0,0,0,0,2,1,2,0,0,2,0,2,0,-4
2026-01-26,MIN,GSW,0,25,09.52,8,3,0,0,0,0,2,4,0,0,0,0,2,6,-2
2026-01-28,MIN,DAL,1,13,15.92,4,3,0,0,3,4,4,4,1,0,1,0,2,9,11
2026-01-29,MIN,OKC,0,12,03.47,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-10
2026-01-31,MIN,MEM,1,17,05.23,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6
2026-02-06,MIN,NOP,0,-4,05.17,1,1,0,0,0,1,1,2,0,0,0,1,1,2,-4
2026-02-08,MIN,LAC,0,-19,04.22,3,2,0,0,0,0,1,1,1,0,1,1,1,4,6
2026-02-11,MIN,POR,0,24,04.08,1,0,0,0,2,2,1,1,0,0,0,0,0,2,1
2026-02-20,MIN,DAL,0,11,04.22,1,1,0,0,0,0,0,0,0,0,2,0,1,2,-4
2026-02-22,MIN,PHI,0,-27,16.85,2,2,0,0,3,4,1,3,0,0,0,0,6,7,-6
