Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-23,IND,OKC,0,,00.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-11-01,IND,GSW,0,5,22.85,4,2,2,1,0,0,0,3,0,2,0,2,2,5,-8
2025-11-03,IND,MIL,0,-2,12.83,2,1,1,1,0,0,1,3,0,0,0,1,2,3,12
2025-12-03,IND,DEN,0,-15,16.38,0,0,0,0,0,0,0,2,0,0,0,1,1,0,-6
2025-12-05,IND,CHI,1,15,16.23,4,1,2,0,0,0,0,1,1,0,0,0,3,2,-7
2025-12-08,IND,SAC,0,11,10.45,2,1,2,1,0,0,1,2,0,2,0,1,1,3,-2
2025-12-12,IND,PHI,1,-10,01.68,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-2
2025-12-14,IND,WAS,0,-19,13.48,3,2,1,1,0,2,1,4,0,0,0,0,1,5,-5
2025-12-18,IND,NYK,0,-1,05.75,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-8
2025-12-20,IND,NOP,1,-19,23.2,10,7,3,1,3,3,2,2,0,0,0,1,3,18,12
2025-12-22,IND,BOS,1,-8,23.07,4,1,4,1,0,0,2,5,2,1,0,0,1,3,6
2025-12-23,IND,MIL,0,-17,18.92,7,3,2,0,0,1,1,3,0,1,0,0,1,6,-7
2025-12-26,IND,BOS,0,-18,18.37,5,3,4,2,1,2,1,2,0,0,0,1,3,9,-5
2025-12-27,IND,MIA,1,-26,20.78,6,4,1,0,1,1,1,7,1,1,0,1,2,9,-13
2025-12-29,IND,HOU,1,-7,20.45,5,4,2,1,0,1,0,4,1,1,0,0,3,9,-12
2025-12-31,IND,ORL,0,-2,05.25,0,0,0,0,0,0,0,2,0,0,0,0,2,0,-7
2026-01-02,IND,SAS,0,-10,14.43,6,3,4,1,0,0,0,2,1,0,0,1,3,7,-12
2026-01-04,IND,ORL,1,-8,12.83,4,1,2,0,0,2,2,5,1,1,0,1,0,2,0
2026-01-06,IND,CLE,0,-4,30.5,6,4,3,1,0,0,3,11,2,1,0,0,2,9,3
2026-01-08,IND,CHO,1,2,26.28,3,1,2,1,4,4,2,6,2,1,1,1,3,7,5
2026-01-10,IND,MIA,0,24,20.45,6,4,2,2,0,0,1,7,2,0,0,1,3,10,2
2026-01-12,IND,BOS,0,2,15.77,1,1,0,0,2,2,0,5,1,1,0,2,0,4,12
2026-01-14,IND,TOR,0,-14,26.23,6,3,4,2,2,8,1,10,2,0,2,0,2,10,6
2026-01-16,IND,NOP,0,8,28.63,8,3,4,1,0,0,1,4,2,1,1,1,2,7,6
2026-01-17,IND,DET,1,-43,24.45,6,2,2,1,0,2,0,5,0,2,1,5,0,5,-34
2026-01-19,IND,PHI,1,-9,13.57,1,1,1,1,0,0,1,3,1,0,0,1,1,3,-5
2026-01-21,IND,BOS,1,-15,23.18,7,4,4,2,0,0,2,8,2,0,0,2,4,10,8
2026-01-23,IND,OKC,1,3,33.25,9,2,3,0,0,0,4,10,3,1,1,0,3,4,0
2026-01-26,IND,ATL,1,-16,18.45,5,2,2,0,2,2,1,5,1,2,0,0,2,6,15
2026-01-28,IND,CHI,0,3,21.85,4,0,1,0,2,2,1,7,2,1,1,0,1,2,2
2026-01-31,IND,ATL,0,5,12.92,3,0,2,0,0,0,0,2,1,0,0,3,2,0,-9
2026-02-02,IND,HOU,0,-4,13.85,1,1,0,0,0,1,0,4,1,0,0,0,3,2,-4
2026-02-03,IND,UTA,0,-9,28.88,11,6,7,2,0,2,1,7,6,0,0,2,3,14,3
2026-02-06,IND,MIL,1,-6,31.38,4,1,2,0,0,0,2,8,3,1,0,0,2,2,1
2026-02-08,IND,TOR,1,-18,15.43,3,2,0,0,0,0,0,2,3,0,0,1,3,4,-3
