Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-23,DEN,GSW,1,,12.17,5,4,0,0,0,0,0,3,2,0,1,0,1,8,4
2025-10-25,DEN,PHO,0,22,12.75,10,4,0,0,4,5,2,7,1,0,0,1,2,12,-5
2025-10-27,DEN,MIN,1,13,10.3,3,1,0,0,2,4,1,4,0,0,1,1,3,4,0
2025-10-29,DEN,NOP,0,34,14.33,7,5,0,0,0,0,1,6,3,0,0,2,1,10,14
2025-10-31,DEN,POR,1,-2,10.88,8,4,0,0,2,2,2,3,1,0,1,2,4,10,-11
2025-11-03,DEN,SAC,0,6,11.98,5,4,1,0,0,0,0,3,0,1,2,0,4,8,-12
2025-11-05,DEN,MIA,0,10,10.88,5,1,1,0,4,4,3,6,0,0,0,2,1,6,-8
2025-11-07,DEN,GSW,0,25,15.7,8,6,3,2,2,2,3,6,1,0,0,0,0,16,6
2025-11-08,DEN,IND,0,17,13.92,6,3,0,0,0,0,1,5,3,0,1,1,2,6,13
2025-11-11,DEN,SAC,1,14,15.22,8,3,0,0,4,6,3,7,1,0,1,2,3,10,3
2025-11-12,DEN,LAC,1,14,10.95,4,3,1,0,2,4,1,3,1,0,1,1,1,8,-10
2025-11-15,DEN,MIN,1,11,11.5,3,2,0,0,2,4,3,6,2,0,1,0,2,6,4
2025-11-17,DEN,CHI,0,-3,04.55,1,0,0,0,2,2,0,2,0,0,0,2,1,2,-15
2025-11-19,DEN,NOP,1,7,16.0,5,4,0,0,6,6,1,7,0,0,0,0,3,14,2
2025-11-21,DEN,HOU,1,3,16.23,8,4,1,0,0,0,0,1,0,0,1,1,1,8,1
2025-11-22,DEN,SAC,0,-5,11.22,8,4,2,0,0,0,0,2,1,0,1,1,1,8,-5
2025-11-24,DEN,MEM,1,10,14.28,6,3,0,0,0,0,3,6,1,1,0,1,1,6,9
2025-11-28,DEN,SAS,0,-3,11.98,3,2,0,0,0,0,2,8,1,0,0,1,1,4,3
2025-11-29,DEN,PHO,1,18,15.23,6,4,0,0,1,1,1,3,3,0,1,1,3,9,-1
2025-12-01,DEN,DAL,0,-10,11.0,7,4,0,0,0,0,2,7,2,0,0,0,0,8,-9
2025-12-03,DEN,IND,1,15,11.03,5,3,0,0,3,4,0,3,0,1,0,1,3,9,-11
2025-12-05,DEN,ATL,1,1,12.02,4,4,0,0,0,0,1,4,2,0,0,1,1,8,16
2025-12-07,DEN,CHO,1,9,13.17,9,4,0,0,0,0,1,4,3,1,1,1,2,8,3
2025-12-11,DEN,SAC,1,31,18.95,7,7,1,1,0,2,1,6,2,0,0,2,3,15,5
2025-12-15,DEN,HOU,0,,13.72,5,4,0,0,0,0,0,3,1,0,0,2,6,8,6
2025-12-18,DEN,ORL,0,11,13.18,6,4,1,0,2,3,3,5,0,1,2,2,4,10,-6
2025-12-20,DEN,HOU,0,-14,15.72,10,5,0,0,0,0,1,1,1,1,1,1,0,10,-10
2025-12-22,DEN,UTA,0,23,16.22,11,5,1,0,2,2,5,11,1,0,0,0,1,12,0
2025-12-23,DEN,DAL,1,-1,14.13,4,3,0,0,2,2,0,1,1,0,0,1,1,8,0
2025-12-25,DEN,MIN,0,,10.4,5,1,0,0,0,0,0,4,1,0,0,1,2,2,-9
2025-12-27,DEN,ORL,1,-1,09.98,3,2,0,0,0,0,1,4,1,0,0,3,4,4,-17
2025-12-29,DEN,MIA,1,-24,15.68,3,3,0,0,0,0,1,4,1,0,1,2,3,6,-9
2025-12-31,DEN,TOR,1,3,23.13,6,5,0,0,7,8,1,9,4,1,3,1,2,17,2
2026-01-22,DEN,WAS,1,10,21.95,13,6,1,0,4,4,4,9,2,0,0,0,5,16,-3
2026-01-27,DEN,DET,0,-2,30.88,10,6,1,1,3,4,7,16,1,0,1,4,2,16,0
2026-01-29,DEN,BRK,0,4,24.58,11,4,1,0,4,4,2,9,3,1,0,0,3,12,11
2026-01-30,DEN,LAC,0,13,21.47,11,5,0,0,1,1,0,6,2,0,2,2,2,11,5
2026-02-01,DEN,OKC,0,-10,13.32,11,6,2,1,0,0,2,3,2,0,1,2,3,13,-8
2026-02-03,DEN,DET,1,-3,21.6,4,4,0,0,3,5,4,11,1,1,3,1,4,11,16
2026-02-04,DEN,NYK,1,,12.78,1,1,0,0,0,0,0,3,2,0,0,2,5,2,-12
2026-02-07,DEN,CHI,1,16,12.7,8,5,0,0,0,3,2,4,1,0,1,1,3,10,-15
2026-02-09,DEN,CLE,0,-2,15.02,4,2,1,0,8,10,2,4,0,0,0,2,1,12,0
2026-02-11,DEN,MEM,0,6,14.18,5,3,0,0,3,4,3,6,0,0,0,1,2,9,0
2026-02-19,DEN,LAC,1,-1,11.9,3,2,0,0,2,2,1,4,0,2,0,2,2,6,5
2026-02-20,DEN,POR,1,54,11.72,8,3,0,0,0,0,2,7,1,0,0,1,3,6,-1
2026-02-22,DEN,GSW,1,-11,12.1,7,3,0,0,0,0,1,3,2,1,0,0,1,6,-5
2026-02-25,DEN,BOS,0,19,12.3,7,5,1,1,0,0,2,6,2,0,1,0,1,11,7
2026-02-27,DEN,OKC,1,,08.43,5,3,0,0,0,0,0,2,0,1,0,2,1,6,-21
2026-03-01,DEN,MIN,0,-9,09.6,1,0,0,0,2,2,1,5,0,0,1,1,1,2,-15
2026-03-02,DEN,UTA,1,3,17.17,6,4,0,0,5,5,3,6,1,1,0,0,3,13,10
2026-03-05,DEN,LAL,0,7,10.17,0,0,0,0,4,4,1,4,1,0,0,2,1,4,1
2026-03-06,DEN,NYK,0,-39,01.97,1,1,0,0,0,0,0,0,0,0,0,2,2,2,-4
2026-03-09,DEN,OKC,1,-3,06.0,2,1,0,0,0,0,0,2,1,0,0,0,1,2,-8
2026-03-11,DEN,HOU,0,36,11.72,6,6,0,0,0,0,2,5,3,0,0,0,4,12,7
2026-03-12,DEN,SAS,1,5,05.27,3,1,0,0,2,2,0,2,1,0,0,0,1,4,-8
2026-03-14,DEN,LAL,1,,03.25,1,1,0,0,0,0,0,1,0,0,0,2,0,2,-8
2026-03-17,DEN,PHI,0,28,19.22,10,3,1,0,2,6,3,9,1,0,0,1,1,8,15
2026-03-18,DEN,MEM,1,-7,05.78,3,2,0,0,0,0,0,3,0,0,1,0,1,4,-1
2026-03-29,DEN,GSW,0,23,05.12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2026-04-01,DEN,UTA,1,13,13.23,6,3,0,0,7,8,3,6,0,0,1,1,2,13,8
2026-04-04,DEN,SAS,0,,05.55,6,3,0,0,1,2,2,3,0,0,0,0,2,7,-3
2026-04-06,DEN,POR,0,,09.8,7,6,2,1,1,2,2,3,1,0,0,0,1,14,0
