Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,NOP,MEM,1,-6,17.02,2,2,2,2,2,2,0,4,1,0,0,1,1,8,-7
2025-10-24,NOP,SAS,0,,17.8,7,3,4,1,0,0,1,1,1,0,0,0,0,7,16
2025-10-27,NOP,BOS,0,-32,15.08,5,0,2,0,0,0,1,2,1,0,0,0,0,0,-11
2025-10-29,NOP,DEN,1,-34,07.8,5,0,4,0,2,2,1,3,1,0,0,0,0,2,4
2025-11-02,NOP,OKC,1,-31,06.85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-11-04,NOP,CHO,0,4,17.03,4,1,2,0,0,0,0,1,0,0,0,0,1,2,1
2025-11-05,NOP,DAL,1,2,19.87,13,4,4,1,0,0,1,2,1,2,0,0,1,9,0
2025-11-08,NOP,SAS,1,-7,18.03,6,2,3,1,0,0,0,0,0,0,0,1,0,5,-22
2025-11-10,NOP,PHO,1,-23,16.0,3,0,2,0,1,3,0,1,0,0,0,1,1,1,-18
2025-11-12,NOP,POR,0,-8,08.88,5,2,4,2,0,0,0,2,0,0,0,0,0,6,2
2025-11-14,NOP,LAL,0,-14,09.15,2,1,2,1,0,0,0,3,1,0,0,1,1,3,11
2025-11-16,NOP,GSW,0,-18,14.75,6,2,5,1,0,0,2,4,2,0,0,0,2,5,-6
2025-11-17,NOP,OKC,0,-17,25.4,11,5,5,1,0,0,0,2,6,0,0,0,1,11,5
2025-11-19,NOP,DEN,0,-7,17.62,7,3,2,0,0,0,0,1,1,0,0,1,1,6,-9
2025-11-21,NOP,DAL,1,-3,12.22,5,1,2,1,0,0,0,2,1,0,0,1,0,3,11
2025-11-22,NOP,ATL,0,-17,19.35,7,2,2,1,0,0,0,2,0,0,0,0,1,5,-12
2025-11-26,NOP,MEM,0,,15.32,9,5,8,4,0,0,0,1,1,1,1,1,0,14,7
2025-12-02,NOP,MIN,0,,22.17,7,3,3,2,2,3,0,0,0,0,0,1,1,10,2
2025-12-04,NOP,MIN,0,-9,16.17,6,2,4,2,1,2,1,3,1,0,1,1,2,7,-10
2025-12-06,NOP,BRK,1,-18,14.07,5,2,4,2,0,0,1,2,1,0,0,0,0,6,-4
2025-12-08,NOP,SAS,0,-3,03.65,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-11
2025-12-11,NOP,POR,0,23,01.45,3,1,3,1,0,0,0,0,0,0,0,0,0,3,2
2025-12-20,NOP,IND,0,19,02.92,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
2025-12-23,NOP,CLE,1,-23,21.57,5,2,2,1,2,2,2,3,1,0,0,2,2,7,-7
2025-12-29,NOP,NYK,0,-5,11.75,3,1,1,0,0,0,0,2,1,0,1,1,2,2,-7
2025-12-31,NOP,CHI,1,-16,14.42,7,2,4,1,0,0,0,1,0,0,0,0,0,5,1
2026-01-02,NOP,POR,0,-13,16.53,4,0,2,0,0,0,0,1,0,0,0,3,2,0,-7
2026-01-04,NOP,MIA,1,-19,02.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-3
2026-01-07,NOP,ATL,1,-17,15.63,2,0,1,0,0,0,0,0,0,0,3,2,1,0,-7
2026-01-09,NOP,WAS,1,21,20.37,5,2,1,0,3,3,1,4,0,2,0,1,0,7,-2
2026-01-11,NOP,ORL,1,-10,10.73,2,1,0,0,0,0,0,2,1,0,0,0,0,2,1
2026-01-13,NOP,DEN,0,-6,22.15,5,2,4,2,0,0,2,5,2,0,1,1,1,6,4
2026-01-14,NOP,BRK,0,3,15.32,5,1,4,0,0,0,0,2,0,0,0,0,0,2,-9
2026-01-16,NOP,IND,1,-8,10.38,2,0,2,0,0,0,0,2,0,0,0,0,0,0,-9
2026-01-18,NOP,HOU,1,-9,12.85,6,2,2,1,1,1,1,3,2,3,0,2,1,6,7
2026-02-09,NOP,SAC,0,26,04.85,3,2,3,2,0,0,0,0,1,0,0,0,0,6,-1
2026-02-20,NOP,MIL,0,-21,04.97,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-5
2026-02-21,NOP,PHI,0,15,01.38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2026-02-28,NOP,UTA,1,10,01.07,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-3
2026-03-01,NOP,LAC,1,-20,04.27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
