Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-24,BOS,NYK,1,-10,02.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2025-10-27,BOS,NOP,1,32,01.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2025-10-29,BOS,CLE,0,20,01.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-11-01,BOS,HOU,0,-27,18.7,10,4,5,2,0,0,3,4,1,0,0,0,3,10,-7
2025-11-05,BOS,WAS,0,29,23.85,4,3,2,1,0,0,2,7,1,2,0,0,4,7,27
2025-11-07,BOS,ORL,1,-13,18.8,3,1,1,0,0,0,2,6,0,1,1,2,1,2,7
2025-11-09,BOS,ORL,1,4,25.55,3,2,2,2,0,0,1,6,4,2,0,0,3,6,13
2025-11-11,BOS,PHI,1,-2,29.3,7,3,3,1,1,2,2,7,1,2,2,0,2,8,4
2025-11-12,BOS,MEM,0,36,17.83,7,3,3,1,0,0,1,6,0,0,2,0,4,7,19
2025-11-16,BOS,LAC,0,3,33.22,5,2,1,0,2,2,2,8,3,3,1,0,5,6,4
2025-11-18,BOS,BRK,1,14,11.22,2,2,0,0,0,0,0,1,0,0,0,0,4,4,-12
2025-11-21,BOS,BRK,0,-8,24.13,7,4,2,1,0,0,2,6,0,1,0,1,1,9,8
2025-11-23,BOS,ORL,0,9,24.3,3,1,1,0,3,4,1,3,2,0,1,2,2,5,-6
2025-11-26,BOS,DET,0,3,28.52,6,3,2,1,0,0,1,6,4,2,0,1,4,7,-5
2025-11-29,BOS,MIN,1,-4,19.83,2,0,2,0,0,0,1,2,0,1,0,0,4,0,1
2025-11-30,BOS,CLE,1,2,38.07,7,4,3,1,5,6,6,11,1,2,1,4,5,14,-2
2025-12-02,BOS,NYK,0,6,18.92,4,4,0,0,0,0,4,6,1,1,1,0,2,8,-9
2025-12-04,BOS,WAS,1,45,29.7,8,8,1,1,5,6,2,7,3,2,1,0,4,22,20
2025-12-05,BOS,LAL,0,21,26.28,7,6,5,4,1,1,1,4,1,1,2,1,4,17,28
2025-12-07,BOS,TOR,1,8,25.97,8,4,2,1,0,0,2,6,0,3,0,0,6,9,10
2025-12-11,BOS,MIL,1,-15,32.03,10,8,4,3,1,1,4,8,0,3,0,1,3,20,-5
2025-12-15,BOS,DET,0,-7,17.68,3,2,2,1,3,3,0,6,0,2,0,2,4,8,-10
2025-12-19,BOS,MIA,0,13,21.55,6,2,4,0,2,2,1,7,1,0,2,1,0,6,-6
2025-12-20,BOS,TOR,1,16,12.73,1,0,0,0,0,0,0,4,0,0,1,1,0,0,-15
2025-12-26,BOS,IND,1,18,18.95,2,1,1,1,0,0,0,2,3,0,0,0,4,3,-5
2025-12-28,BOS,POR,1,-6,09.77,3,2,2,1,0,0,0,1,0,1,0,1,3,5,0
2025-12-30,BOS,UTA,1,10,13.27,4,2,3,1,1,2,1,3,0,0,0,0,2,6,-7
2026-01-01,BOS,SAC,1,14,05.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-5
2026-01-03,BOS,LAC,1,31,29.63,7,5,4,3,0,0,6,13,2,0,1,1,1,13,24
2026-01-05,BOS,CHI,0,14,18.4,4,2,2,1,0,0,1,5,0,0,0,0,1,5,7
2026-01-07,BOS,DEN,0,-4,13.75,2,0,1,0,1,2,0,1,1,1,0,0,2,1,4
2026-01-09,BOS,TOR,0,8,11.55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-9
2026-01-10,BOS,SAS,0,-5,12.67,3,0,0,0,0,0,1,3,0,0,0,0,0,0,-12
2026-01-12,BOS,IND,1,-2,25.97,5,3,2,0,0,0,0,9,1,3,0,1,1,6,4
2026-01-15,BOS,MIA,1,5,19.82,2,2,0,0,0,0,4,8,1,0,1,0,3,4,1
2026-01-17,BOS,ATL,1,26,10.57,1,0,1,0,0,0,0,2,1,0,0,0,2,0,7
2026-01-19,BOS,DET,1,-1,16.08,2,1,0,0,0,0,0,1,0,0,0,1,2,2,-7
2026-01-21,BOS,IND,0,15,16.75,3,1,3,1,0,0,1,5,0,1,1,0,2,3,0
2026-01-23,BOS,BRK,1,,14.92,3,2,2,1,0,0,0,0,2,0,0,0,2,5,-6
2026-01-24,BOS,CHI,1,-3,17.98,5,3,3,1,0,0,0,1,0,0,0,0,1,7,8
2026-01-26,BOS,POR,0,8,03.32,1,0,1,0,1,2,0,1,0,0,0,1,0,1,-2
2026-01-28,BOS,ATL,0,-11,20.9,4,1,0,0,2,2,5,7,1,1,1,1,4,4,7
