Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-21,HOU,OKC,1,,19.97,3,1,3,1,5,6,1,2,1,0,1,0,2,8,-8
2025-10-24,HOU,DET,0,-4,17.45,4,3,2,1,3,4,2,4,1,0,0,1,1,10,4
2025-10-27,HOU,BRK,0,28,30.68,5,3,2,2,2,2,0,0,1,2,0,0,4,10,11
2025-10-29,HOU,TOR,1,18,23.48,5,4,3,2,0,0,0,1,2,0,0,1,3,10,6
2025-11-01,HOU,BOS,1,27,21.03,5,3,5,3,3,4,0,0,2,1,0,0,1,12,7
2025-11-03,HOU,DAL,0,8,24.65,5,0,3,0,2,2,1,3,1,2,0,1,1,2,0
2025-11-05,HOU,MEM,1,15,23.53,9,5,5,3,0,0,1,3,3,2,0,0,3,13,13
2025-11-07,HOU,SAS,1,-11,24.83,7,4,3,2,2,2,2,3,0,5,0,3,5,12,-14
2025-11-09,HOU,MIL,1,7,17.08,3,0,2,0,0,0,0,1,1,0,1,0,1,0,6
2025-11-12,HOU,WAS,0,23,25.9,8,3,4,1,0,0,2,5,1,1,0,0,1,7,16
2025-11-14,HOU,POR,0,24,20.8,9,5,3,1,0,0,2,3,1,4,0,1,2,11,15
2025-11-16,HOU,ORL,0,,21.78,0,0,0,0,1,2,0,2,1,2,0,0,1,1,-18
2025-11-19,HOU,CLE,1,10,08.13,2,0,1,0,0,0,1,1,0,0,0,0,0,0,9
2025-11-21,HOU,DEN,0,-3,11.12,6,2,6,2,0,0,2,2,1,0,0,0,1,6,4
2025-11-24,HOU,PHO,1,22,29.52,11,4,2,0,1,3,3,6,1,3,0,0,3,9,18
2025-11-26,HOU,GSW,1,4,23.65,5,1,3,1,0,2,3,3,1,1,0,3,2,3,-13
2025-11-30,HOU,UTA,1,28,19.55,6,2,3,1,2,2,2,5,0,1,1,2,2,7,-1
2025-12-01,HOU,UTA,1,-8,08.97,1,0,1,0,0,0,0,1,0,0,0,0,2,0,-15
2025-12-03,HOU,SAC,0,26,26.6,3,1,2,1,0,0,1,6,1,2,0,2,1,3,23
2025-12-05,HOU,PHO,0,19,16.4,3,3,0,0,0,0,0,4,1,1,1,2,1,6,3
2025-12-06,HOU,DAL,1,-13,23.33,3,2,2,1,2,2,4,6,0,2,1,2,1,7,-8
2025-12-11,HOU,LAC,0,2,21.03,6,3,3,1,1,2,3,3,2,1,0,0,3,8,-4
2025-12-15,HOU,DEN,1,,27.67,9,7,3,2,0,1,2,4,0,2,0,3,3,16,9
2025-12-18,HOU,NOP,1,,30.17,7,3,2,1,3,3,3,4,3,0,0,0,1,10,2
2025-12-20,HOU,DEN,1,14,28.63,5,3,5,3,0,0,0,3,1,0,1,0,4,9,6
2025-12-21,HOU,SAC,1,,33.7,5,1,4,1,0,0,3,6,2,1,0,2,2,3,-3
2025-12-23,HOU,LAC,1,-20,11.7,1,0,1,0,0,0,0,1,1,0,0,0,2,0,3
2025-12-25,HOU,LAL,1,23,09.87,4,0,1,0,0,0,0,0,0,0,0,1,0,0,-4
2025-12-27,HOU,CLE,0,17,13.23,4,3,2,2,0,0,0,0,0,0,0,1,1,8,-8
2025-12-29,HOU,IND,0,7,12.85,2,1,1,1,0,0,0,3,0,0,0,0,1,3,-4
2026-01-01,HOU,BRK,1,24,20.67,5,2,2,1,0,0,0,5,2,0,0,2,2,5,4
2026-01-03,HOU,DAL,1,-6,05.52,3,1,2,0,0,0,0,0,0,0,0,0,0,2,-5
2026-01-05,HOU,PHO,0,3,08.57,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4
2026-01-07,HOU,POR,1,-1,12.87,2,0,1,0,0,0,1,4,2,0,0,0,0,0,-3
2026-01-09,HOU,POR,1,-6,12.17,3,1,2,0,2,4,2,5,2,1,0,1,0,4,2
2026-01-11,HOU,SAC,1,-13,09.38,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-1
2026-01-13,HOU,CHI,0,6,12.83,2,2,0,0,0,0,1,3,0,1,0,0,1,4,2
