Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-25,DEN,PHO,0,22,02.98,1,1,0,0,1,2,0,2,0,0,0,1,0,3,0
2025-10-27,DEN,MIN,1,13,01.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-10-29,DEN,NOP,0,34,10.72,7,2,5,1,1,2,0,2,2,0,0,0,1,6,4
2025-11-03,DEN,SAC,0,6,07.25,2,1,1,1,1,2,0,0,0,0,0,1,0,4,-4
2025-11-07,DEN,GSW,0,25,06.57,2,0,2,0,4,4,0,1,0,0,1,0,2,4,0
2025-11-08,DEN,IND,0,17,21.62,10,5,3,0,2,3,0,6,2,0,0,0,3,12,20
2025-11-11,DEN,SAC,1,14,03.07,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
2025-11-12,DEN,LAC,1,14,11.35,5,2,3,0,0,0,0,1,0,0,0,1,0,4,-16
2025-11-15,DEN,MIN,1,11,06.07,2,0,2,0,0,0,0,1,0,0,0,0,0,0,-12
2025-12-18,DEN,ORL,0,11,05.92,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-2
2025-12-20,DEN,HOU,0,-14,04.77,2,0,0,0,2,3,0,0,1,0,0,0,0,2,7
2025-12-22,DEN,UTA,0,23,11.48,6,0,2,0,0,0,0,0,1,1,0,2,2,0,-3
2025-12-23,DEN,DAL,1,-1,12.25,4,3,3,2,0,0,1,2,0,0,0,0,3,8,10
2025-12-25,DEN,MIN,0,,11.82,3,0,1,0,0,0,0,3,1,0,0,0,0,0,3
2025-12-27,DEN,ORL,1,-1,16.87,6,5,2,1,2,2,0,0,1,0,0,1,3,13,-13
2025-12-29,DEN,MIA,1,-24,14.18,3,0,1,0,4,4,0,1,1,0,0,1,0,4,-12
2026-01-02,DEN,CLE,1,-5,05.72,1,0,0,0,0,0,0,0,0,0,0,0,2,0,-6
2026-01-05,DEN,PHI,1,,15.37,5,2,2,0,2,4,1,4,5,0,0,1,2,6,-5
2026-01-09,DEN,ATL,0,-23,10.43,3,0,1,0,0,0,0,1,0,0,0,2,2,0,-12
2026-01-11,DEN,MIL,0,4,07.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-01-17,DEN,WAS,0,6,05.77,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2
2026-01-18,DEN,CHO,0,-23,19.93,7,5,3,2,3,3,0,2,2,2,0,0,2,15,-3
2026-01-23,DEN,MIL,1,2,26.67,13,6,6,1,7,8,0,5,3,1,0,0,1,20,12
2026-01-27,DEN,DET,0,-2,12.17,2,1,0,0,2,2,0,2,0,0,0,0,0,4,-3
2026-01-29,DEN,BRK,0,4,21.92,6,2,2,1,2,2,0,1,1,2,0,0,2,7,11
2026-01-30,DEN,LAC,0,13,16.57,2,1,1,1,0,0,0,3,3,1,1,0,1,3,-11
2026-02-01,DEN,OKC,0,-10,22.47,6,3,4,2,1,2,1,4,3,2,0,1,0,9,2
2026-02-03,DEN,DET,1,-3,23.43,9,6,4,1,2,2,2,8,2,0,0,1,0,15,-1
2026-02-04,DEN,NYK,1,,16.85,5,4,3,2,1,1,0,3,1,1,0,3,1,11,4
2026-02-07,DEN,CHI,1,16,33.43,14,7,8,4,1,2,0,5,0,2,0,3,3,19,14
2026-02-09,DEN,CLE,0,-2,28.9,16,8,6,2,2,3,0,6,0,0,0,1,4,20,3
2026-02-11,DEN,MEM,0,6,25.3,9,5,4,1,0,0,0,1,2,1,0,0,3,11,-9
2026-02-19,DEN,LAC,1,-1,25.0,11,6,10,6,0,0,0,1,2,1,0,1,1,18,6
2026-02-20,DEN,POR,1,54,29.32,16,9,4,1,0,0,3,6,4,1,0,1,2,19,48
2026-02-22,DEN,GSW,1,-11,18.48,7,2,3,0,2,2,1,3,2,1,1,0,1,6,-1
2026-02-25,DEN,BOS,0,19,26.0,9,5,5,2,0,0,0,1,1,1,1,3,4,12,2
2026-02-27,DEN,OKC,1,,15.18,3,0,2,0,0,0,0,3,2,1,0,1,1,0,4
2026-03-01,DEN,MIN,0,-9,16.93,4,1,1,0,0,0,0,0,0,0,0,0,2,2,8
2026-03-02,DEN,UTA,1,3,28.97,11,5,9,3,2,2,0,1,1,0,0,1,2,15,-4
2026-03-05,DEN,LAL,0,7,28.77,10,6,5,2,4,5,0,2,0,1,0,2,4,18,-1
2026-03-06,DEN,NYK,0,-39,16.93,3,1,1,0,0,0,1,2,1,0,0,0,1,2,-15
2026-03-09,DEN,OKC,1,-3,03.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2026-03-11,DEN,HOU,0,36,07.55,3,2,2,2,0,0,0,1,0,0,0,0,0,6,3
2026-03-12,DEN,SAS,1,5,15.25,6,4,4,2,0,0,0,2,1,1,0,0,1,10,-11
2026-03-17,DEN,PHI,0,28,12.98,7,2,2,1,0,0,0,3,1,0,0,0,0,5,-1
2026-03-18,DEN,MEM,1,-7,05.55,2,1,0,0,0,0,0,0,1,0,0,1,2,2,2
2026-03-22,DEN,POR,0,16,01.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
