Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-11-02,CHO,UTA,0,23,16.62,5,2,3,1,2,2,1,4,4,1,0,4,3,7,6
2025-11-04,CHO,NOP,1,-4,13.28,6,3,2,1,1,2,2,3,0,0,0,1,2,8,-13
2025-11-07,CHO,MIA,1,-18,12.62,3,0,0,0,0,0,0,1,3,1,0,0,0,0,-18
2025-11-10,CHO,LAL,0,-10,20.1,6,3,4,2,0,0,0,3,4,0,0,3,3,8,4
2025-11-12,CHO,MIL,0,11,09.02,4,1,2,0,0,0,0,2,2,0,0,0,0,2,-11
2025-11-15,CHO,OKC,0,-13,18.03,13,4,3,1,0,0,0,1,5,2,0,2,0,9,7
2025-11-19,CHO,IND,1,-9,03.3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-7
2025-11-23,CHO,ATL,1,-3,11.93,4,2,1,1,0,0,0,2,2,1,0,1,0,5,0
2025-12-03,CHO,NYK,1,-15,03.53,1,0,1,0,1,2,0,0,1,0,0,0,0,1,3
2025-12-05,CHO,TOR,1,25,28.03,6,2,2,1,3,4,0,3,4,5,0,7,3,8,14
2025-12-07,CHO,DEN,0,-9,29.3,14,6,8,2,2,4,1,5,1,1,0,0,0,16,-14
2025-12-12,CHO,CHI,0,-3,25.3,9,4,3,2,0,0,1,5,3,1,0,1,2,10,11
2025-12-14,CHO,CLE,1,,19.07,9,2,6,1,1,2,0,0,4,2,0,3,1,6,-9
2025-12-18,CHO,ATL,0,7,13.0,7,2,3,0,0,0,0,0,2,1,0,2,0,4,-5
2026-02-20,DEN,POR,1,54,07.37,2,1,0,0,1,2,1,1,4,0,0,0,1,3,14
2026-02-25,DEN,BOS,0,19,14.28,5,1,0,0,0,0,2,4,4,1,0,0,0,2,13
2026-03-01,DEN,MIN,0,-9,01.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
