Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-12-01,MIA,LAC,0,17,00.9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-2
2025-12-18,MIA,BRK,1,11,07.63,1,1,1,1,0,0,0,0,1,0,0,1,0,3,-4
2025-12-19,MIA,BOS,1,-13,35.6,13,5,8,5,2,2,5,6,4,0,0,1,3,17,3
2025-12-21,MIA,NYK,1,-7,12.4,3,0,2,0,2,2,0,2,0,0,0,0,2,2,-6
2025-12-23,MIA,TOR,0,-21,27.5,5,2,4,1,2,2,0,2,0,1,0,2,4,7,-7
2025-12-26,MIA,ATL,1,15,15.57,4,2,3,2,2,2,1,2,1,1,0,0,1,8,1
2025-12-27,MIA,IND,0,26,22.07,8,2,3,0,0,0,0,3,2,3,0,1,3,4,11
2025-12-29,MIA,DEN,0,24,03.45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-3
2026-01-01,MIA,DET,1,6,05.62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
2026-01-03,MIA,MIN,0,-10,17.48,3,1,1,1,0,0,1,4,3,0,0,1,2,3,5
2026-01-04,MIA,NOP,0,19,16.27,4,1,2,1,0,0,0,1,1,2,0,0,1,3,-10
2026-01-06,MIA,MIN,1,-28,04.67,2,1,2,1,2,2,1,2,0,0,0,1,0,5,0
2026-01-10,MIA,IND,1,-24,08.62,3,0,1,0,0,0,0,1,2,0,0,2,1,0,2
2026-01-11,MIA,OKC,1,-12,01.63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
2026-01-15,MIA,BOS,0,-5,27.35,4,3,4,3,3,4,1,5,8,0,0,3,5,12,-6
2026-01-17,MIA,OKC,0,2,26.68,7,1,4,1,0,0,0,5,7,0,0,0,6,3,4
2026-01-19,MIA,GSW,1,-23,13.78,3,1,3,1,0,0,1,2,1,0,0,3,0,3,-4
2026-01-20,MIA,SAC,1,13,16.85,3,0,2,0,1,2,2,2,0,1,0,0,1,1,0
2026-01-22,MIA,POR,1,-17,11.1,2,1,2,1,0,0,0,0,3,0,0,0,0,3,-18
2026-01-24,MIA,UTA,1,31,16.92,6,4,3,2,2,2,1,5,1,0,0,0,1,12,7
2026-01-25,MIA,PHO,1,9,22.78,5,2,3,1,2,2,3,6,3,2,1,0,3,7,6
2026-01-28,MIA,ORL,0,-9,19.93,4,1,1,0,0,0,1,2,1,2,0,2,3,2,-6
2026-01-29,MIA,CHI,1,3,12.85,1,0,1,0,0,0,1,3,4,1,0,1,4,0,1
2026-01-31,MIA,CHI,0,-7,27.07,7,2,6,2,0,0,0,3,5,1,0,3,4,6,2
2026-02-01,MIA,CHI,0,43,19.45,5,2,2,0,0,1,0,1,9,0,0,1,5,4,6
2026-02-03,MIA,ATL,0,-12,16.12,4,1,3,1,2,2,2,3,2,2,0,1,1,5,-16
2026-02-08,MIA,WAS,1,31,25.95,10,8,6,6,0,0,1,3,6,2,1,1,4,22,27
2026-02-09,MIA,UTA,0,-4,32.23,12,7,10,6,0,0,2,3,1,0,0,2,0,20,-10
2026-02-11,MIA,NOP,1,12,25.32,7,3,5,1,4,4,0,3,4,0,0,1,2,11,-3
2026-02-20,MIA,ATL,1,31,16.57,3,1,1,0,2,2,1,5,3,2,0,0,2,4,6
2026-02-21,MIA,MEM,0,16,22.88,6,4,3,2,2,2,0,3,5,0,0,2,4,12,12
2026-02-24,MIA,MIL,1,-11,10.22,3,1,1,0,0,0,2,3,1,0,0,1,2,2,-9
2026-02-26,MIA,PHI,1,-7,17.07,2,1,2,1,0,0,0,5,1,0,0,1,3,3,-7
2026-02-28,MIA,HOU,0,10,11.77,1,0,1,0,0,0,0,2,0,0,0,0,0,0,7
2026-03-03,MIA,BRK,0,26,22.22,4,2,3,1,4,4,1,1,5,1,0,2,0,9,17
2026-03-05,MIA,BRK,0,16,20.82,9,4,7,3,0,0,1,6,3,2,0,4,2,11,20
2026-03-06,MIA,CHO,1,8,12.97,4,1,4,1,3,4,1,2,2,0,0,1,0,6,-10
2026-03-08,MIA,DET,0,11,21.72,8,5,3,2,0,0,1,2,0,1,0,2,3,12,-9
2026-03-10,MIA,WAS,0,21,29.75,3,2,1,0,1,2,1,5,6,1,1,1,4,5,10
2026-03-12,MIA,MIL,0,7,35.15,12,6,11,5,1,1,1,7,2,1,1,2,1,18,18
2026-03-14,MIA,ORL,0,-4,18.25,4,1,4,1,0,0,0,0,1,1,0,0,2,3,-3
2026-03-17,MIA,CHO,1,-30,14.9,6,2,2,0,2,2,1,2,2,0,0,0,1,6,1
2026-03-19,MIA,LAL,0,-8,15.67,5,3,3,1,0,0,0,2,3,1,0,0,3,7,3
2026-03-21,MIA,HOU,1,-1,14.52,1,0,1,0,0,0,1,1,3,0,0,0,0,0,-5
2026-03-23,MIA,SAS,0,-25,22.28,6,3,3,2,0,0,3,6,5,2,1,0,1,8,-3
2026-03-25,MIA,CLE,1,17,13.63,2,0,2,0,2,2,0,1,2,0,0,0,2,2,12
2026-03-27,MIA,CLE,1,-21,19.47,6,3,5,2,6,6,2,3,1,0,0,0,3,14,7
2026-03-29,MIA,IND,1,-17,12.52,2,1,2,1,2,2,0,0,1,0,0,1,0,5,-8
2026-04-04,MIA,WAS,0,16,27.8,9,4,5,2,4,6,0,3,9,0,2,3,3,14,-2
