Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-24,MIA,MEM,1,32,07.63,5,2,3,1,0,0,0,3,0,1,0,0,0,5,-10
2025-10-28,MIA,CHO,0,27,02.73,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2025-11-05,MIA,DEN,1,-10,09.35,4,0,3,0,0,0,0,2,0,1,0,1,2,0,-1
2025-11-14,MIA,NYK,1,-8,02.23,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-4
2025-11-17,MIA,NYK,0,2,02.33,2,0,1,0,0,0,0,2,0,0,1,0,0,0,-3
2025-11-21,MIA,CHI,1,36,29.47,10,3,5,2,6,6,4,11,1,1,2,1,3,14,24
2025-11-23,MIA,PHI,1,10,19.42,5,2,1,0,0,0,1,1,0,0,1,1,1,4,-3
2025-11-24,MIA,DAL,0,4,17.82,4,3,2,1,0,1,2,3,0,0,0,0,2,7,-2
2025-12-06,MIA,SAC,0,-16,14.42,2,1,0,0,1,4,1,5,0,0,0,0,2,3,9
2025-12-15,MIA,TOR,0,-10,13.22,3,1,1,0,2,2,2,2,0,2,0,0,0,4,-3
2025-12-19,MIA,BOS,1,-13,00.9,1,1,1,1,0,0,0,0,0,0,0,0,0,3,6
2025-12-23,MIA,TOR,0,-21,00.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-12-27,MIA,IND,0,26,02.08,1,1,0,0,0,0,1,1,0,0,0,0,0,2,7
2025-12-29,MIA,DEN,0,24,03.45,5,1,1,0,0,0,1,1,0,0,0,0,1,2,-3
2026-01-06,MIA,MIN,1,-28,04.67,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0
2026-01-10,MIA,IND,1,-24,06.07,5,3,2,0,0,0,0,0,0,0,0,0,0,6,4
2026-01-11,MIA,OKC,1,-12,01.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-01-19,MIA,GSW,1,-23,03.9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2026-01-24,MIA,UTA,1,31,03.13,1,1,1,1,2,2,0,0,0,0,0,1,2,5,5
2026-02-01,MIA,CHI,0,43,12.0,5,3,2,1,2,2,2,4,1,0,0,2,1,9,4
2026-02-03,MIA,ATL,0,-12,01.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-02-20,MIA,ATL,1,31,02.72,3,2,1,1,0,0,0,1,0,0,0,0,1,5,4
2026-02-21,MIA,MEM,0,16,02.48,3,1,1,0,0,0,1,3,0,0,1,1,1,2,-8
2026-03-10,MIA,WAS,0,21,18.9,6,3,4,1,1,4,1,1,0,2,1,0,1,8,7
2026-03-17,MIA,CHO,1,-30,20.15,12,6,9,3,0,0,1,5,1,3,1,2,2,15,-13
2026-03-23,MIA,SAS,0,-25,02.87,1,1,0,0,2,2,1,1,1,0,0,0,0,4,5
2026-03-27,MIA,CLE,1,-21,04.65,0,0,0,0,1,2,0,0,0,0,0,0,0,1,6
2026-04-04,MIA,WAS,0,16,00.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2026-04-07,MIA,TOR,1,-26,02.78,2,2,1,1,2,2,0,1,0,1,1,0,0,7,-1
