Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-21,HOU,OKC,1,,47.05,16,9,4,0,5,6,0,9,3,0,0,4,6,23,0
2025-10-24,HOU,DET,0,-4,36.8,18,9,3,3,16,18,1,3,1,3,1,0,3,37,-1
2025-10-27,HOU,BRK,0,28,24.8,14,6,4,0,7,7,0,6,3,1,0,3,4,19,10
2025-10-29,HOU,TOR,1,18,36.75,19,11,8,4,5,8,0,5,1,0,3,2,2,31,20
2025-11-01,HOU,BOS,1,27,29.55,11,8,3,2,8,9,0,4,1,2,1,2,2,26,21
2025-11-03,HOU,DAL,0,8,38.4,18,6,8,2,7,7,1,6,5,1,1,3,2,21,-1
2025-11-05,HOU,MEM,1,15,34.45,18,5,2,1,0,0,1,4,5,1,1,2,1,11,20
2025-11-07,HOU,SAS,1,-11,36.55,18,8,2,1,7,7,0,1,2,1,0,8,5,24,-8
2025-11-09,HOU,MIL,1,7,37.35,15,11,2,2,7,9,0,3,7,0,0,3,2,31,2
2025-11-12,HOU,WAS,0,23,30.87,16,7,5,2,7,8,1,5,4,2,0,1,2,23,15
2025-11-14,HOU,POR,0,24,35.72,19,12,6,3,3,3,0,5,3,1,0,3,2,30,37
2025-11-16,HOU,ORL,0,,45.08,24,13,8,2,7,7,0,5,6,0,1,5,2,35,4
2025-11-19,HOU,CLE,1,10,36.52,18,6,6,1,7,8,0,3,3,0,0,4,2,20,6
2025-11-21,HOU,DEN,0,-3,35.25,15,5,5,1,2,3,1,8,2,2,1,2,3,13,-7
2025-11-30,HOU,UTA,1,28,29.85,14,10,4,3,2,2,1,7,4,3,1,1,2,25,28
2025-12-01,HOU,UTA,1,-8,40.33,25,10,7,2,10,12,0,9,5,0,0,5,3,32,-8
2025-12-03,HOU,SAC,0,26,31.82,16,9,4,1,5,5,0,3,8,0,1,0,1,24,12
2025-12-05,HOU,PHO,0,19,32.37,17,11,2,2,4,4,0,4,8,2,1,5,2,28,29
2025-12-06,HOU,DAL,1,-13,31.27,20,11,3,1,4,4,0,1,3,0,0,1,1,27,-12
2025-12-11,HOU,LAC,0,2,36.72,14,5,5,3,3,3,0,1,3,0,0,5,1,16,-6
2025-12-15,HOU,DEN,1,,44.07,14,8,3,2,7,8,0,5,7,1,5,5,3,25,2
2025-12-18,HOU,NOP,1,,42.68,15,12,6,4,4,4,0,7,2,1,4,6,2,32,-7
2025-12-20,HOU,DEN,1,14,39.53,14,8,6,5,10,11,0,6,5,0,1,3,2,31,18
2025-12-21,HOU,SAC,1,,47.5,21,8,9,3,5,6,1,10,8,0,0,2,3,24,2
2025-12-23,HOU,LAC,1,-20,29.4,15,8,4,1,5,5,1,5,1,0,2,3,1,22,-15
2025-12-25,HOU,LAL,1,23,33.48,14,8,6,4,5,5,1,4,8,1,2,3,1,25,26
2025-12-27,HOU,CLE,0,17,28.67,17,11,4,2,6,7,0,4,7,0,0,3,1,30,24
2025-12-29,HOU,IND,0,7,33.68,20,13,6,2,2,3,0,6,5,0,1,3,0,30,14
2026-01-01,HOU,BRK,1,24,36.55,15,8,7,2,4,4,0,5,11,0,0,6,2,22,11
2026-01-03,HOU,DAL,1,-6,37.75,26,14,7,2,4,5,0,5,7,0,3,2,4,34,15
2026-01-05,HOU,PHO,0,3,38.5,21,9,12,2,6,6,1,10,4,0,1,1,2,26,4
2026-01-07,HOU,POR,1,-1,37.4,26,14,6,2,7,9,0,4,0,0,1,3,2,37,-3
2026-01-09,HOU,POR,1,-6,39.35,20,11,9,4,4,4,2,12,4,0,2,2,0,30,5
2026-01-11,HOU,SAC,1,-13,38.17,18,9,9,4,1,1,0,4,6,0,0,1,3,23,-9
2026-01-13,HOU,CHI,0,6,39.67,23,12,5,1,3,4,2,10,4,0,0,3,2,28,4
2026-01-15,HOU,OKC,0,-20,36.77,23,7,5,0,5,5,0,7,3,3,1,2,0,19,-20
2026-01-16,HOU,MIN,0,5,40.02,18,11,8,6,11,14,1,4,7,2,1,5,3,39,15
2026-01-18,HOU,NOP,0,9,36.07,18,5,8,1,7,8,3,6,8,1,0,3,1,18,3
