Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-01-13,LAL,ATL,0,25,03.75,1,1,1,1,0,0,0,1,1,0,0,0,0,3,0
2026-01-15,LAL,CHO,0,-18,16.87,2,0,1,0,0,0,1,3,0,1,1,1,1,0,-7
2026-01-17,LAL,POR,1,-16,22.27,8,3,5,1,2,2,0,1,1,0,2,0,2,9,0
2026-01-18,LAL,TOR,0,17,02.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2026-02-10,LAL,SAS,0,-28,24.33,10,2,5,1,2,2,0,2,1,1,0,3,1,7,-12
2026-02-12,LAL,DAL,0,20,01.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-22,LAL,BOS,0,-22,03.37,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
2026-02-28,LAL,GSW,1,28,05.95,5,2,2,0,4,4,0,1,1,0,0,0,0,8,-4
2026-03-01,LAL,SAC,0,24,03.92,5,1,2,0,0,0,0,1,0,0,0,0,0,2,-1
2026-03-06,LAL,IND,0,11,03.7,2,0,2,0,0,0,0,0,1,0,0,0,2,0,-7
2026-03-10,LAL,MIN,0,14,01.97,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-2
2026-03-30,LAL,WAS,0,19,02.65,2,1,1,0,0,0,0,0,0,0,0,0,1,2,-8
