Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,POR,MIN,0,-4,18.55,3,2,2,1,2,2,0,0,0,0,0,1,1,7,2
2025-10-24,POR,GSW,0,20,26.55,7,6,1,1,0,0,0,1,1,2,1,1,2,13,7
2025-10-26,POR,LAC,1,-7,17.68,2,0,2,0,0,0,1,3,1,1,0,0,0,0,0
2025-10-27,POR,LAL,1,14,23.97,5,1,1,0,0,0,3,5,0,2,0,0,2,2,7
2025-10-31,POR,DEN,0,2,29.47,8,4,3,1,1,2,3,6,1,3,0,2,4,10,5
2025-11-03,POR,LAL,0,-8,22.57,5,3,2,0,0,0,0,0,2,1,1,1,0,6,-5
2025-11-05,POR,OKC,0,2,17.53,2,0,1,0,0,0,0,3,2,0,0,1,5,0,0
2025-11-08,POR,MIA,1,-5,21.67,8,3,1,0,0,0,2,3,1,0,0,0,3,6,-23
2025-11-10,POR,ORL,1,-3,18.55,4,1,1,0,1,2,1,2,1,1,0,0,1,3,-3
2025-11-12,POR,NOP,1,8,22.4,4,3,1,0,0,0,2,7,1,0,0,0,2,6,-3
2025-11-14,POR,HOU,1,-24,22.12,6,2,2,1,0,0,1,3,1,0,0,1,0,5,2
2025-11-16,POR,DAL,1,,32.22,2,2,2,2,0,0,2,5,2,3,0,0,2,6,-1
2025-11-18,POR,PHO,0,-17,25.13,4,1,3,1,0,0,2,4,0,0,0,0,1,3,-29
2025-11-19,POR,CHI,0,-1,35.02,11,4,3,0,1,2,4,6,2,1,1,1,0,9,4
2025-11-21,POR,GSW,1,4,16.6,3,1,1,0,3,4,1,3,2,2,0,4,5,5,0
2025-11-23,POR,OKC,1,-27,27.08,9,3,3,0,3,4,5,7,0,1,0,1,2,9,-23
2025-11-24,POR,MIL,1,12,26.72,3,1,2,0,0,0,3,5,0,3,0,0,2,2,-3
2025-11-26,POR,SAS,0,-13,29.05,5,3,3,2,0,0,2,6,3,0,0,1,0,8,-5
2025-11-30,POR,OKC,0,-8,35.17,9,5,4,2,1,2,4,6,2,1,0,2,1,13,-12
2025-12-02,POR,TOR,1,-3,26.1,4,2,3,1,0,0,0,0,0,2,1,2,2,5,-1
2025-12-05,POR,DET,1,-6,27.65,2,0,2,0,0,0,3,6,1,1,0,2,6,0,0
2025-12-07,POR,MEM,1,-23,21.85,1,1,0,0,0,0,1,3,1,1,2,0,4,2,-11
2025-12-11,POR,NOP,1,-23,28.55,6,2,4,0,3,4,4,9,1,2,2,2,2,7,-11
2025-12-14,POR,GSW,0,5,27.18,5,2,2,1,0,0,1,3,2,0,0,0,1,5,3
2025-12-18,POR,SAC,0,,17.32,6,3,3,0,1,1,3,3,1,1,2,1,5,7,-18
2025-12-20,POR,SAC,1,5,35.62,7,3,3,1,2,4,0,3,0,2,0,1,2,9,13
2025-12-22,POR,DET,0,-8,27.92,4,2,3,1,0,0,0,3,0,0,0,0,2,5,-7
2025-12-23,POR,ORL,0,-4,28.1,6,5,2,1,2,2,2,6,1,0,1,1,2,13,0
2025-12-26,POR,LAC,0,-16,29.83,4,2,2,0,0,0,2,7,3,4,0,3,2,4,5
2025-12-28,POR,BOS,0,6,30.43,5,2,2,0,1,2,3,5,3,0,0,1,0,5,0
2025-12-31,POR,OKC,1,-29,25.75,5,3,3,2,2,2,1,3,1,0,0,1,3,10,-4
2026-01-02,POR,NOP,1,13,26.0,7,1,3,0,4,5,2,4,3,3,2,0,3,6,19
2026-01-03,POR,SAS,1,5,27.22,5,2,4,2,0,0,1,3,1,0,1,1,1,6,6
2026-01-05,POR,UTA,0,20,26.68,8,3,4,0,4,4,2,3,2,3,0,0,0,10,25
2026-02-20,POR,DEN,0,-54,09.32,0,0,0,0,1,2,0,1,0,0,0,0,0,1,-8
2026-02-22,POR,PHO,1,15,22.08,5,3,1,0,0,0,0,2,1,2,0,1,0,6,9
2026-02-24,POR,MIN,0,-3,28.67,10,7,3,2,0,1,2,5,1,0,2,0,0,16,1
2026-02-26,POR,CHI,1,9,28.15,13,5,5,0,0,0,4,5,3,1,1,0,1,10,-7
2026-02-28,POR,CHO,1,-16,16.72,5,1,2,0,0,0,2,4,0,0,0,1,1,2,-15
2026-03-01,POR,ATL,1,-34,04.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3
2026-03-08,POR,IND,0,20,16.5,2,1,1,1,0,0,3,4,0,0,0,1,2,3,0
2026-03-10,POR,CHO,0,-2,12.63,2,0,1,0,0,0,1,3,0,0,0,0,0,0,-6
2026-03-13,POR,UTA,0,10,13.73,2,0,1,0,0,0,1,3,2,1,1,1,0,0,-8
