Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-31,UTA,PHO,1,-22,25.3,6,3,0,0,2,3,1,3,3,0,0,1,2,8,-5
2025-11-02,UTA,CHO,1,-23,11.57,4,2,0,0,1,2,0,0,2,1,0,1,2,5,4
2025-11-07,UTA,MIN,1,-40,12.0,7,3,0,0,2,2,2,4,4,0,0,1,2,8,-3
2025-11-18,UTA,LAL,1,-14,20.03,5,2,0,0,1,2,1,3,5,2,0,0,2,5,3
2025-11-24,UTA,GSW,1,-17,23.6,7,6,0,0,0,0,1,6,6,1,1,2,4,12,-1
2025-11-30,UTA,HOU,0,-28,24.57,7,3,1,1,0,0,0,0,3,3,1,1,5,7,-16
2025-12-04,UTA,BRK,1,13,16.95,5,3,0,0,2,2,2,5,3,4,1,1,2,8,-8
2025-12-05,UTA,NYK,1,-34,12.0,4,2,0,0,3,4,0,1,0,1,0,0,0,7,4
2025-12-15,UTA,DAL,0,,15.45,4,0,0,0,0,0,0,1,2,1,0,2,4,0,-20
2026-01-01,UTA,LAC,1,-17,31.67,10,8,0,0,6,7,3,8,1,2,2,2,3,22,7
2026-01-08,UTA,DAL,0,2,26.1,5,1,0,0,0,0,1,7,2,2,0,0,1,2,-4
2026-01-10,UTA,CHO,0,-55,21.43,10,3,1,0,1,2,2,4,2,1,0,1,0,7,-20
2026-01-14,UTA,CHI,1,-2,17.2,4,3,0,0,1,1,1,5,3,0,0,0,3,7,6
2026-01-15,UTA,DAL,1,-22,26.13,7,5,1,1,1,6,1,6,6,1,1,1,1,12,-9
2026-01-17,UTA,DAL,1,-18,18.73,6,4,0,0,0,2,1,2,2,0,1,2,4,8,-1
2026-01-20,UTA,MIN,0,5,17.23,3,1,1,0,0,0,0,1,2,1,1,0,1,2,-3
2026-01-24,UTA,MIA,0,-31,15.07,2,1,0,0,0,0,0,1,0,1,1,1,2,2,1
2026-01-27,UTA,LAC,0,-12,24.83,6,4,1,1,3,3,0,3,5,1,0,0,1,12,7
2026-01-28,UTA,GSW,0,-16,21.88,5,2,0,0,2,2,3,5,6,0,1,1,3,6,3
2026-01-30,UTA,BRK,0,-10,19.52,2,1,0,0,0,0,0,1,4,1,0,0,4,2,-16
2026-02-07,MEM,POR,1,-7,26.7,6,5,0,0,1,3,1,6,2,2,2,1,3,11,-6
2026-02-09,MEM,GSW,1,-1,25.97,4,3,0,0,2,2,0,4,0,2,2,5,2,8,-3
2026-02-11,MEM,DEN,1,-6,18.48,5,4,0,0,0,0,2,3,1,1,0,0,6,8,3
2026-02-20,MEM,UTA,0,9,18.07,4,3,1,1,3,3,0,1,0,1,0,1,1,10,2
2026-03-03,MIN,MEM,0,7,13.75,0,0,0,0,2,2,0,1,0,0,0,0,2,2,-5
2026-03-05,MIN,TOR,0,8,15.15,4,2,0,0,0,0,0,3,4,0,0,0,3,4,-11
2026-03-10,MIN,LAL,1,-14,14.53,2,2,0,0,1,2,1,6,3,0,1,0,3,5,-6
2026-03-11,MIN,LAC,1,-25,17.53,1,1,0,0,3,4,0,1,3,1,0,1,5,5,-2
2026-03-13,MIN,GSW,1,10,14.68,2,0,0,0,0,0,0,5,2,0,1,2,2,0,-5
2026-03-15,MIN,OKC,1,-13,12.15,1,0,0,0,0,0,2,5,0,1,0,2,0,0,-2
2026-03-17,MIN,PHO,0,12,24.53,4,3,1,0,1,2,0,5,6,0,1,1,0,7,12
2026-03-18,MIN,UTA,0,36,22.27,6,3,1,0,2,2,0,3,6,1,0,2,3,8,19
2026-03-20,MIN,POR,0,-4,18.03,6,1,1,0,2,2,1,2,2,0,1,0,2,4,7
2026-03-22,MIN,BOS,1,10,15.98,5,3,0,0,0,0,4,4,3,1,0,1,2,6,12
2026-03-25,MIN,HOU,0,,30.02,6,1,0,0,1,1,3,5,3,1,1,1,1,3,4
2026-03-28,MIN,DET,0,-22,15.9,2,1,0,0,0,0,0,2,1,2,0,1,0,2,-9
2026-03-30,MIN,DAL,1,30,18.15,2,0,0,0,0,0,0,3,4,1,1,1,4,0,4
