Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-11-29,CHI,IND,1,-2,11.03,3,1,1,0,0,0,0,3,0,0,0,1,2,2,15
2025-12-01,CHI,ORL,1,-5,12.02,1,0,0,0,0,0,1,4,2,0,0,1,4,0,-17
2025-12-03,CHI,BRK,0,-10,06.8,1,0,1,0,0,0,1,1,1,0,0,0,2,0,0
2025-12-05,CHI,IND,0,-15,01.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-07,CHI,GSW,0,-32,04.83,1,0,1,0,0,0,1,3,0,0,0,0,0,0,-4
2026-01-05,CHI,BOS,1,-14,11.65,1,0,1,0,0,0,1,2,2,0,0,0,2,0,-4
2026-01-07,CHI,DET,1,-15,15.88,2,1,0,0,0,2,2,5,1,0,0,2,5,2,-5
2026-01-10,CHI,DAL,0,18,02.78,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-6
2026-01-18,CHI,BRK,0,22,02.77,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1
2026-01-20,CHI,LAC,0,28,03.72,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
2026-01-26,CHI,LAL,0,-11,00.88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-01-31,CHI,MIA,1,7,08.15,1,1,0,0,0,0,0,3,1,0,0,0,2,2,4
2026-02-01,CHI,MIA,1,-43,11.02,5,2,2,1,4,6,2,4,1,1,1,0,2,9,1
2026-02-03,CHI,MIL,1,-16,16.48,2,1,0,0,0,2,2,7,0,1,0,0,2,2,-10
2026-02-05,CHI,TOR,1,-16,04.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-02-07,CHI,DEN,0,-16,02.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-02-11,CHI,BOS,1,-19,05.48,4,3,1,1,0,0,1,2,0,0,0,0,0,7,7
2026-02-24,CHI,CHO,0,-32,02.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-03-01,CHI,MIL,0,23,00.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-03-03,CHI,OKC,0,-8,02.85,1,0,1,0,0,0,0,2,2,0,0,0,0,0,8
2026-03-05,CHI,PHO,1,2,17.05,6,2,0,0,0,0,4,6,2,2,0,1,3,4,0
2026-03-08,CHI,SAC,1,-16,01.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-03-12,CHI,LAL,1,-12,06.28,2,2,0,0,0,0,0,0,1,0,1,2,0,4,6
2026-03-13,CHI,LAC,1,-11,00.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-16,CHI,MEM,0,25,02.47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
2026-03-18,CHI,TOR,0,-30,08.15,1,1,0,0,0,2,0,2,0,2,0,0,1,2,6
2026-03-25,CHI,PHI,1,-20,06.12,2,1,1,0,0,0,0,2,0,0,0,0,0,2,13
2026-03-27,CHI,OKC,1,-18,02.77,1,1,0,0,1,2,1,1,0,0,0,0,0,3,4
2026-03-28,CHI,MEM,1,-1,22.45,2,2,0,0,4,8,3,7,2,0,1,1,3,8,-4
2026-03-30,CHI,SAS,1,-15,03.73,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2026-04-01,CHI,IND,0,-19,17.27,8,4,2,0,0,0,4,8,1,0,1,3,2,8,5
2026-04-03,CHI,NYK,1,-40,11.1,6,3,1,0,2,4,1,2,1,0,0,1,4,8,1
2026-04-05,CHI,PHO,0,-10,16.38,1,0,0,0,1,2,2,5,3,1,0,0,3,1,2
2026-04-07,CHI,WAS,1,31,21.13,6,3,1,0,1,4,3,7,2,1,3,0,2,7,17
