Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-11-18,LAL,UTA,0,14,29.62,7,4,3,2,1,4,1,3,12,1,0,1,0,11,1
2025-11-23,LAL,UTA,1,2,34.32,18,8,4,0,1,2,0,6,8,1,0,2,2,17,-14
2025-11-25,LAL,LAC,0,17,32.32,15,9,5,2,5,6,1,6,6,1,1,3,3,25,18
2025-11-28,LAL,DAL,0,10,33.95,13,5,6,2,1,4,1,5,7,1,0,2,1,13,13
2025-12-01,LAL,PHO,0,-17,31.23,10,3,4,1,3,4,0,0,3,0,0,3,2,10,-6
2025-12-04,LAL,TOR,1,3,35.97,17,4,5,0,0,0,1,6,11,0,0,0,1,8,-1
2025-12-07,LAL,PHI,1,4,34.2,17,12,6,4,1,2,1,7,6,1,1,2,1,29,1
2025-12-10,LAL,SAS,0,-13,36.43,14,7,3,0,5,6,1,15,8,0,3,3,2,19,-16
2025-12-14,LAL,PHO,1,2,36.23,17,8,5,1,9,14,1,3,4,2,2,8,3,26,8
2025-12-18,LAL,UTA,1,8,32.62,17,8,5,0,12,13,1,7,10,1,0,2,1,28,-6
2025-12-20,LAL,LAC,1,-15,37.62,28,15,7,3,3,5,1,4,3,2,1,3,1,36,-6
2025-12-23,LAL,PHO,1,-24,25.77,14,7,5,3,6,11,0,2,6,0,0,0,0,23,-18
2025-12-25,LAL,HOU,0,-23,32.43,13,7,3,1,3,4,0,2,5,2,1,3,3,18,-33
2025-12-28,LAL,SAC,0,24,28.63,13,11,2,1,1,1,1,3,5,2,0,2,0,24,20
2025-12-30,LAL,DET,0,-22,31.92,17,6,10,3,2,5,0,4,4,1,1,5,1,17,-16
2026-01-02,LAL,MEM,0,7,36.07,18,12,5,1,6,6,0,9,6,0,0,4,3,31,11
2026-01-04,LAL,MEM,0,6,37.28,14,8,7,2,8,10,0,7,10,1,0,1,2,26,6
2026-01-06,LAL,NOP,1,8,33.15,19,10,5,3,7,7,0,8,8,2,1,1,2,30,10
2026-01-09,LAL,MIL,0,-4,32.85,21,10,7,2,4,6,1,9,10,3,0,3,1,26,8
2026-01-12,LAL,SAC,1,-12,33.22,17,8,5,0,6,6,0,4,3,1,0,3,1,22,-9
2026-01-13,LAL,ATL,0,25,32.58,20,12,4,2,5,6,1,9,10,1,1,4,1,31,17
2026-01-15,LAL,CHO,0,-18,32.72,19,10,6,3,6,7,2,9,6,2,1,3,0,29,-7
2026-01-17,LAL,POR,1,-16,32.45,16,6,3,1,7,7,1,9,8,1,2,4,2,20,-16
2026-01-18,LAL,TOR,0,17,31.62,17,9,4,2,4,4,2,4,7,0,2,3,0,24,18
2026-01-20,LAL,DEN,1,8,34.42,15,8,1,1,2,6,1,9,8,0,0,6,2,19,13
2026-01-22,LAL,LAC,1,-8,35.87,19,9,4,1,4,5,0,5,6,2,0,4,1,23,-7
2026-01-24,LAL,DAL,1,6,36.57,16,8,3,1,0,0,2,8,5,1,1,1,2,17,-8
2026-01-26,LAL,CHI,1,11,32.85,19,9,4,1,5,6,0,5,3,1,0,2,3,24,-14
2026-01-28,LAL,CLE,1,-30,27.13,10,3,3,0,5,6,1,3,5,1,0,6,3,11,-23
2026-01-30,LAL,WAS,1,31,29.6,16,8,3,2,2,2,0,3,6,2,0,3,1,20,25
2026-02-01,LAL,NYK,1,-12,34.57,15,9,6,2,2,6,1,5,6,1,0,1,0,22,-17
2026-02-03,LAL,BRK,1,16,29.87,16,10,3,0,5,7,1,3,7,3,0,1,1,25,24
2026-02-05,LAL,PHI,0,4,37.43,17,7,3,0,3,3,0,4,10,0,1,8,1,17,-5
2026-02-07,LAL,GSW,0,6,35.08,17,6,7,2,6,7,0,7,10,1,1,7,1,20,7
2026-02-09,LAL,OKC,0,-9,35.98,17,9,4,0,4,6,1,6,10,1,0,3,1,22,-7
2026-02-12,LAL,DAL,0,20,35.35,20,10,7,2,6,7,0,10,12,0,1,4,0,28,6
2026-02-20,LAL,LAC,0,3,33.07,13,5,3,1,2,2,0,3,11,1,0,3,3,13,-7
2026-02-22,LAL,BOS,0,-22,34.48,21,9,5,1,1,1,1,4,5,2,1,1,0,20,-14
2026-02-24,LAL,ORL,0,-1,31.97,13,8,6,2,3,4,2,6,4,0,2,5,2,21,-1
2026-02-26,LAL,PHO,1,-3,34.68,16,7,3,0,1,2,2,6,5,0,0,1,0,15,5
2026-02-28,LAL,GSW,1,28,28.33,13,7,6,4,4,5,2,7,9,1,0,4,1,22,26
2026-03-01,LAL,SAC,0,24,26.77,15,8,4,3,5,6,0,1,5,2,1,3,0,24,13
2026-03-03,LAL,NOP,0,9,33.47,12,8,5,1,4,8,1,7,7,0,2,5,2,21,3
2026-03-05,LAL,DEN,1,-7,33.7,11,7,2,0,2,2,0,5,8,3,1,1,2,16,-10
2026-03-12,LAL,CHI,0,12,33.23,13,7,2,0,4,6,2,7,7,2,1,4,1,18,12
