Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-21,LAL,GSW,0,-10,22.77,6,3,3,0,3,4,0,0,0,1,0,3,4,9,2
2025-10-24,LAL,MIN,0,18,20.67,2,1,1,1,0,0,0,0,1,2,0,2,1,3,24
2025-10-26,LAL,SAC,1,7,30.8,8,3,3,0,5,6,1,3,5,0,0,1,1,11,7
2025-10-31,LAL,MEM,1,5,34.77,8,5,4,1,1,1,0,3,4,2,0,3,3,12,12
2025-11-02,LAL,MIA,0,10,26.7,9,4,7,3,0,0,0,3,4,2,1,0,4,11,11
2025-11-03,LAL,POR,1,8,31.85,11,3,5,1,2,2,0,2,5,4,0,5,5,9,10
2025-11-05,LAL,SAS,0,2,33.57,10,3,7,1,10,10,2,5,5,1,1,3,5,17,3
2025-11-08,LAL,ATL,1,-20,20.93,4,2,1,0,1,1,0,0,2,2,0,2,2,5,-23
2025-11-10,LAL,CHO,1,10,36.58,9,4,7,3,2,2,2,4,5,7,0,3,1,13,15
2025-11-12,LAL,OKC,1,-29,27.72,5,1,4,1,6,6,0,1,0,1,0,2,3,9,-21
2025-11-14,LAL,NOP,1,14,34.42,15,6,10,1,0,0,1,5,5,2,0,2,4,13,7
2025-11-18,LAL,UTA,0,14,17.15,5,2,4,1,0,0,1,3,1,0,0,0,3,5,11
2025-11-23,LAL,UTA,1,2,17.45,6,2,6,2,0,0,0,0,0,0,1,0,1,6,18
2025-11-25,LAL,LAC,0,17,20.07,5,3,1,1,0,0,2,3,3,1,1,1,3,7,2
2025-12-10,LAL,SAS,0,-13,28.22,16,9,14,8,0,0,0,3,1,0,1,1,3,26,2
2025-12-14,LAL,PHO,1,2,31.6,7,2,5,1,3,4,1,4,6,1,2,2,3,8,-10
2025-12-18,LAL,UTA,1,8,27.7,11,6,9,5,0,0,0,4,1,1,0,1,6,17,12
2025-12-20,LAL,LAC,1,-15,30.6,12,1,9,0,3,3,2,4,1,0,0,1,1,5,-10
2025-12-23,LAL,PHO,1,-24,29.85,11,5,8,4,0,0,2,3,6,0,0,1,3,14,-19
2025-12-25,LAL,HOU,0,-23,29.37,8,3,3,0,0,0,0,2,1,1,0,1,1,6,-2
2025-12-28,LAL,SAC,0,24,20.42,1,0,1,0,0,0,0,3,2,1,0,1,3,0,10
2025-12-30,LAL,DET,0,-22,24.88,4,1,3,0,4,4,0,2,5,3,0,1,4,6,-24
2026-01-02,LAL,MEM,0,7,34.28,9,5,6,3,0,0,1,8,7,1,1,4,3,13,18
2026-01-04,LAL,MEM,0,6,31.15,5,1,3,0,4,4,0,1,4,0,1,1,2,6,3
2026-01-06,LAL,NOP,1,8,36.65,10,5,7,3,0,0,1,6,4,1,1,4,3,13,14
2026-01-07,LAL,SAS,1,-16,34.48,6,1,3,0,0,0,0,7,1,3,0,4,3,2,-12
2026-01-09,LAL,MIL,0,-4,30.18,9,3,8,3,0,0,2,4,1,2,0,2,2,9,-1
