Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,SAC,PHO,1,-4,11.48,1,0,0,0,0,0,0,4,2,0,0,1,1,0,-3
2025-11-01,SAC,MIL,1,2,03.98,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2025-11-05,SAC,GSW,0,5,15.1,3,1,1,0,4,4,1,3,0,1,1,1,1,6,1
2025-11-07,SAC,OKC,0,-31,23.77,10,3,1,0,2,2,4,10,1,1,0,1,1,8,-10
2025-11-09,SAC,MIN,0,-27,04.78,2,2,0,0,1,2,0,0,0,0,0,0,0,5,-2
2025-11-12,SAC,ATL,0,-33,14.77,6,3,1,0,1,1,1,4,1,0,1,3,2,7,-3
2025-11-19,SAC,OKC,1,-14,18.6,5,3,1,1,0,0,0,4,0,0,0,0,2,7,3
2025-11-20,SAC,MEM,1,-41,20.85,8,6,0,0,0,0,0,3,1,0,1,0,2,12,-12
2025-11-22,SAC,DEN,1,5,08.45,5,3,1,0,0,0,0,3,1,1,0,0,3,6,-8
2025-11-24,SAC,MIN,0,,13.92,4,0,1,0,1,2,1,2,0,0,0,0,3,1,-5
2025-11-26,SAC,PHO,0,-12,08.88,2,0,0,0,0,0,1,2,0,1,0,0,2,0,-5
2025-11-28,SAC,UTA,1,-9,21.53,11,7,2,1,4,5,1,4,0,0,1,0,3,19,1
2025-11-30,SAC,MEM,0,-8,22.75,7,3,1,0,3,4,2,6,3,0,1,2,6,9,6
2025-12-03,SAC,HOU,1,-26,32.3,15,10,2,2,3,3,2,6,3,1,1,1,0,25,-18
2025-12-06,SAC,MIA,1,16,25.07,11,6,2,0,0,0,1,10,1,0,2,0,2,12,12
2025-12-08,SAC,IND,1,-11,23.23,8,5,0,0,3,4,3,8,3,0,0,3,3,13,2
2025-12-11,SAC,DEN,0,-31,36.6,13,7,1,1,0,2,3,9,1,1,0,1,3,15,-26
2025-12-14,SAC,MIN,1,-14,26.43,6,3,0,0,2,4,1,6,0,0,1,2,4,8,-19
2025-12-18,SAC,POR,1,,36.87,20,10,3,1,8,9,4,11,2,2,0,2,3,29,-1
2025-12-20,SAC,POR,0,-5,30.5,13,7,0,0,3,4,6,11,1,1,1,5,3,17,-23
2025-12-21,SAC,HOU,0,,37.1,12,6,1,0,0,0,4,14,0,1,0,2,6,12,3
2025-12-23,SAC,DET,0,-9,22.57,8,4,1,0,0,0,5,8,2,0,1,1,2,8,3
2025-12-27,SAC,DAL,0,6,27.0,15,9,1,1,0,0,1,6,2,1,2,0,3,19,0
2025-12-28,SAC,LAL,1,-24,34.63,10,8,0,0,0,1,2,10,2,0,0,2,4,16,-22
2025-12-30,SAC,LAC,1,-41,35.07,8,5,1,0,2,2,4,12,0,0,2,0,4,12,-21
2026-01-01,SAC,BOS,0,-14,34.72,8,5,0,0,2,2,2,8,1,0,0,0,2,12,-4
2026-01-02,SAC,PHO,1,-27,25.42,7,3,0,0,0,4,1,5,2,1,0,0,3,6,-19
2026-01-04,SAC,MIL,0,-17,24.13,5,3,1,0,0,0,2,8,1,0,0,1,2,6,-22
2026-01-06,SAC,DAL,0,-2,34.7,7,6,0,0,2,2,2,9,1,1,0,1,6,14,-6
2026-01-09,SAC,GSW,1,-34,26.3,6,4,1,0,0,0,2,7,2,0,2,2,3,8,-17
2026-01-11,SAC,HOU,0,13,20.22,10,6,0,0,0,0,3,9,1,0,0,1,4,12,8
2026-01-12,SAC,LAL,0,12,31.32,8,5,2,1,0,0,1,4,1,0,0,1,3,11,7
2026-01-14,SAC,NYK,0,11,26.62,6,4,1,0,2,2,0,4,0,0,0,1,1,10,13
2026-01-16,SAC,WAS,0,13,21.67,5,2,0,0,0,2,2,8,5,1,0,1,1,4,-7
2026-01-18,SAC,POR,0,-7,22.7,11,3,2,0,0,0,3,9,1,0,1,0,3,6,-4
2026-01-20,SAC,MIA,0,-13,17.83,6,3,1,1,0,0,0,8,0,2,0,0,0,7,-6
2026-01-21,SAC,TOR,0,-13,22.13,7,3,1,0,2,2,1,7,2,0,0,1,3,8,-13
2026-01-23,SAC,CLE,1,-5,09.18,2,0,0,0,0,0,0,1,0,0,0,0,1,0,-6
2026-01-25,SAC,DET,1,-23,21.98,6,1,3,0,0,0,0,4,0,0,1,2,0,2,-12
2026-01-27,SAC,NYK,1,-16,14.55,2,1,0,0,2,2,0,3,0,0,0,1,1,4,1
2026-01-29,SAC,PHI,1,-2,18.78,4,3,1,0,2,2,3,7,0,1,0,1,5,8,4
2026-01-30,SAC,BOS,1,-19,36.07,7,6,1,1,1,1,3,14,1,0,1,2,2,14,-15
2026-02-01,SAC,WAS,1,-4,27.4,9,6,1,1,1,2,3,6,1,1,2,2,4,14,-1
2026-02-04,SAC,MEM,0,-4,20.78,5,3,2,0,0,0,1,5,0,0,0,0,1,6,-1
2026-02-06,SAC,LAC,0,-3,26.1,8,6,1,0,0,0,0,5,2,2,0,0,3,12,-5
2026-02-07,SAC,CLE,0,-6,22.75,8,5,0,0,4,4,1,7,0,2,0,2,1,14,1
2026-02-09,SAC,NOP,1,-26,38.13,14,8,1,0,5,6,4,19,1,1,0,1,0,21,-16
2026-02-11,SAC,UTA,1,-28,27.63,7,3,1,0,1,1,1,4,1,1,1,0,2,7,-22
2026-02-19,SAC,ORL,0,-37,38.95,13,8,0,0,1,1,3,14,4,1,0,1,1,17,-14
2026-02-21,SAC,SAS,1,-17,26.32,14,6,2,0,4,4,7,12,3,0,1,1,4,16,-21
