Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,BRK,CHO,1,-19,25.3,15,5,7,2,0,2,1,4,5,0,0,0,2,12,-19
2025-10-24,BRK,CLE,0,-7,36.42,22,13,10,5,0,0,0,8,3,1,0,2,3,31,-1
2025-10-26,BRK,SAS,1,-11,37.6,15,5,9,3,2,3,0,6,4,2,0,0,2,15,-6
2025-10-27,BRK,HOU,1,-28,27.68,13,8,4,2,0,0,1,4,2,0,0,3,3,18,-13
2025-10-29,BRK,ATL,0,-5,32.97,20,12,9,4,4,4,2,9,2,0,1,4,1,32,-3
2025-11-02,BRK,PHI,0,-24,31.35,23,7,12,1,2,2,3,17,2,1,0,3,2,17,-6
2025-11-05,BRK,IND,1,9,35.4,20,10,11,4,8,11,2,11,3,1,0,5,4,32,2
2025-11-07,BRK,DET,0,-18,31.73,17,8,10,5,7,7,1,5,2,1,0,4,1,28,-11
2025-11-09,BRK,NYK,1,-36,25.87,18,9,9,4,3,4,1,4,0,1,0,2,3,25,-22
2025-11-11,BRK,TOR,0,-10,35.68,14,5,6,1,10,10,1,6,3,0,1,3,3,21,-2
2025-11-14,BRK,ORL,1,-7,36.05,23,10,11,3,1,1,1,11,7,1,0,0,2,24,-7
2025-11-16,BRK,WAS,1,23,33.93,18,11,8,3,9,10,0,9,7,0,0,2,2,34,17
2025-11-18,BRK,BOS,0,-14,33.7,16,8,8,4,5,5,2,6,2,3,0,1,1,25,-9
2025-11-21,BRK,BOS,1,8,36.98,21,13,6,4,3,5,0,8,2,0,0,2,1,33,13
2025-11-23,BRK,TOR,1,-10,32.73,18,9,9,4,3,3,1,6,4,1,1,1,3,25,-6
2025-11-24,BRK,NYK,0,-13,27.48,15,6,9,1,3,5,2,4,0,0,0,2,1,16,-21
2025-12-01,BRK,CHO,0,13,36.05,24,13,11,7,2,4,2,7,4,2,0,2,3,35,18
2025-12-03,BRK,CHI,1,10,33.58,20,10,12,5,8,10,1,10,5,2,1,3,4,33,3
2025-12-06,BRK,NOP,0,18,33.35,23,14,10,5,2,2,2,9,3,2,1,2,1,35,31
2025-12-12,BRK,DAL,1,-8,34.48,20,12,10,6,4,5,1,4,3,0,0,4,3,34,-7
2025-12-14,BRK,MIL,0,45,26.4,11,4,7,2,2,3,0,6,5,0,0,3,1,12,13
2025-12-18,BRK,MIA,0,-11,33.73,24,10,14,5,3,3,2,6,3,0,0,1,1,28,-7
2025-12-21,BRK,TOR,0,15,36.15,18,9,8,4,2,2,1,11,5,1,0,3,3,24,26
2025-12-23,BRK,PHI,1,8,33.68,20,9,12,5,5,7,1,5,1,2,0,3,4,28,7
2025-12-27,BRK,MIN,1,16,33.07,16,9,8,4,5,5,2,10,4,0,0,3,2,27,-1
2025-12-29,BRK,GSW,0,-13,36.12,18,10,9,5,2,4,3,9,5,3,0,2,0,27,3
2026-01-04,BRK,DEN,0,12,32.07,17,8,6,2,9,9,4,11,5,0,1,4,3,27,22
2026-01-07,BRK,ORL,0,,38.27,24,12,18,8,2,2,0,5,1,3,0,5,2,34,1
2026-01-09,BRK,LAC,0,-16,33.43,20,7,9,0,4,4,0,5,6,4,1,2,1,18,-9
2026-01-12,BRK,DAL,1,-8,33.1,17,9,10,6,4,4,1,9,3,1,0,6,1,28,-3
2026-01-14,BRK,NOP,1,-3,31.83,20,7,12,4,2,2,3,7,1,0,0,2,2,20,-2
2026-01-16,BRK,CHI,0,3,32.05,17,9,10,5,3,3,1,7,1,1,0,3,1,26,4
2026-01-19,BRK,PHO,0,-9,36.58,23,10,10,2,1,1,2,6,4,2,0,3,3,23,-5
2026-01-21,BRK,NYK,1,-54,25.52,14,4,9,3,1,1,1,6,1,0,0,2,0,12,-26
2026-01-23,BRK,BOS,0,,41.98,19,9,12,4,8,9,1,8,4,0,1,2,3,30,0
2026-01-25,BRK,LAC,1,-37,21.58,11,3,4,0,3,3,0,2,4,0,0,1,2,9,-25
2026-01-27,BRK,PHO,1,-4,36.98,24,15,10,6,0,1,2,5,3,3,0,3,3,36,0
2026-01-29,BRK,DEN,1,-4,37.1,28,13,15,7,5,5,2,10,3,2,2,1,3,38,12
2026-02-03,BRK,LAL,0,-16,32.22,18,7,9,0,7,9,1,10,3,1,0,3,3,21,-18
2026-02-05,BRK,ORL,1,-20,32.32,13,2,7,2,3,3,0,2,2,1,0,2,3,9,-23
2026-02-07,BRK,WAS,0,14,30.5,16,8,10,3,4,4,2,6,3,1,0,3,3,23,-8
2026-02-19,BRK,CLE,1,-28,20.63,13,5,6,1,3,3,0,5,2,0,1,0,2,14,-23
2026-02-20,BRK,OKC,1,-19,37.8,16,6,9,1,9,11,3,9,5,2,0,2,3,22,-3
2026-02-22,BRK,ATL,1,-11,34.63,19,8,8,1,1,1,2,7,6,0,0,0,3,18,-15
2026-02-24,BRK,DAL,0,-9,32.55,16,9,6,2,6,6,0,0,3,0,0,1,2,26,-4
2026-02-26,BRK,SAS,0,-16,30.13,22,9,9,3,4,4,3,14,1,0,0,6,1,25,-7
2026-02-27,BRK,BOS,1,-37,25.52,12,6,4,2,4,5,0,2,2,2,0,1,2,18,-23
2026-03-01,BRK,CLE,0,-4,30.42,17,10,8,5,1,2,1,5,1,3,0,2,3,26,-8
2026-03-03,BRK,MIA,1,-26,26.53,17,3,9,0,3,4,1,3,3,0,0,0,2,9,-18
