Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MIN,POR,1,4,12.72,5,1,2,1,0,0,1,2,0,1,0,1,2,3,-3
2025-10-24,MIN,LAL,1,-18,09.2,3,0,1,0,0,0,1,2,1,0,0,2,4,0,-11
2025-10-26,MIN,IND,0,4,24.5,4,1,4,1,3,3,0,1,4,0,0,2,4,6,0
2025-10-27,MIN,DEN,0,-13,25.65,8,3,3,1,3,3,1,3,4,1,1,0,0,10,-2
2025-10-29,MIN,LAL,0,-1,28.38,6,3,4,2,0,0,0,4,6,3,2,2,1,8,2
2025-11-01,MIN,CHO,1,17,28.92,6,3,3,2,2,2,0,3,6,1,0,1,4,10,18
2025-11-03,MIN,BRK,1,16,24.0,5,3,4,2,1,1,0,3,7,0,0,2,2,9,10
2025-11-05,MIN,NYK,1,-23,18.32,2,2,2,2,2,2,0,0,6,0,0,1,0,8,-4
2025-11-07,MIN,UTA,0,40,16.57,2,1,2,1,2,2,1,1,2,0,0,0,1,5,8
2025-11-09,MIN,SAC,1,27,17.55,3,2,3,2,0,0,0,3,3,1,0,0,0,6,17
2025-11-10,MIN,UTA,1,7,17.55,3,1,2,1,2,2,1,2,2,0,0,2,0,5,-13
2025-11-14,MIN,SAC,0,14,17.82,5,2,5,2,0,0,0,1,3,1,0,0,2,6,8
2025-11-15,MIN,DEN,0,-11,24.88,5,2,3,1,0,0,0,1,2,0,0,0,2,5,-4
2025-11-17,MIN,DAL,0,24,15.68,4,2,3,1,0,0,0,2,3,3,0,1,4,5,17
2025-11-19,MIN,WAS,0,11,27.42,4,1,3,1,7,9,1,1,6,1,0,0,1,10,-10
2025-11-21,MIN,PHO,1,-1,14.35,4,1,3,1,0,0,0,2,1,0,0,1,2,3,-6
2025-11-24,MIN,SAC,1,,24.97,4,1,4,1,0,0,0,2,5,0,0,0,3,3,-3
2025-11-26,MIN,OKC,1,-8,12.53,4,1,2,0,0,0,0,0,2,0,0,0,0,2,-17
2025-11-29,MIN,BOS,0,4,17.48,2,2,2,2,0,0,0,2,2,0,0,0,1,6,-5
2025-11-30,MIN,SAS,0,13,17.12,4,2,2,1,0,0,2,3,4,0,0,0,1,5,10
2025-12-02,MIN,NOP,1,,13.28,5,1,4,0,3,3,0,1,1,1,0,0,0,5,-5
2025-12-04,MIN,NOP,1,9,16.8,7,1,5,0,0,0,0,1,3,0,0,1,4,2,2
2025-12-06,MIN,LAC,0,3,18.0,2,1,2,1,2,2,1,2,0,1,0,0,2,5,14
2025-12-08,MIN,PHO,0,-3,15.3,5,0,3,0,0,0,0,2,4,0,0,1,2,0,-7
2025-12-21,MIN,MIL,0,3,23.9,6,2,5,2,0,0,1,5,6,1,2,0,0,6,16
2025-12-23,MIN,NYK,0,11,29.68,6,2,6,2,2,2,0,1,2,2,1,0,3,8,4
2025-12-25,MIN,DEN,1,,09.63,1,0,1,0,0,0,0,0,2,1,1,0,0,0,-15
2025-12-29,MIN,CHI,1,35,17.75,3,1,2,0,0,0,0,0,1,1,0,0,2,2,10
2025-12-31,MIN,ATL,1,-24,14.48,2,0,2,0,2,2,0,2,0,0,0,0,1,2,-19
2026-01-03,MIN,MIA,1,10,14.67,2,1,2,1,2,2,0,1,3,1,0,1,3,5,-3
2026-01-04,MIN,WAS,1,26,12.93,4,2,4,2,1,1,2,2,3,0,0,1,0,7,10
2026-01-06,MIN,MIA,0,28,15.32,4,1,3,0,1,2,0,2,3,0,0,0,1,3,9
2026-01-08,MIN,CLE,0,9,14.0,2,1,2,1,0,0,0,1,2,0,0,1,1,3,-6
2026-01-11,MIN,SAS,0,1,11.9,1,1,1,1,1,2,0,0,2,0,0,0,1,4,-6
2026-01-13,MIN,MIL,1,33,20.62,7,3,7,3,0,0,0,3,5,0,0,1,0,9,0
2026-01-16,MIN,HOU,1,-5,26.17,8,2,5,1,1,2,1,1,1,1,0,1,0,6,8
2026-01-17,MIN,SAS,1,-3,21.15,4,0,2,0,0,0,0,2,3,0,0,1,3,0,-1
2026-01-20,MIN,UTA,1,-5,15.6,3,0,2,0,0,0,0,1,2,1,0,0,2,0,-5
2026-01-22,MIN,CHI,0,-5,14.27,5,1,4,1,0,0,0,3,2,0,0,1,0,3,-8
