Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,CHO,BRK,0,19,30.85,11,6,6,3,3,4,2,11,4,1,0,1,1,18,7
2025-10-25,CHO,PHI,1,-4,34.82,18,6,9,3,3,3,2,9,7,0,0,1,2,18,-4
2025-10-26,CHO,WAS,1,26,32.07,16,6,7,1,9,10,0,4,3,1,0,0,0,22,4
2025-10-28,CHO,MIA,1,-27,31.0,16,6,7,2,3,4,0,4,1,1,1,2,2,17,-10
2025-10-30,CHO,ORL,0,-16,32.97,15,6,6,4,0,0,0,5,0,0,1,3,2,16,-17
2025-11-01,CHO,MIN,0,-17,36.68,16,10,11,6,4,4,0,8,4,1,0,1,3,30,-5
2025-11-02,CHO,UTA,0,23,33.22,18,7,10,3,12,12,0,4,6,0,0,0,2,29,10
2025-11-04,CHO,NOP,1,-4,37.03,19,7,11,3,5,7,2,8,3,1,0,1,2,22,0
2025-11-07,CHO,MIA,1,-18,41.0,16,4,5,0,6,6,3,12,7,0,1,4,2,14,-9
2025-11-10,CHO,LAL,0,-10,40.02,19,11,12,7,5,6,2,8,5,1,1,2,4,34,-15
2025-11-12,CHO,MIL,0,11,32.8,19,7,10,2,4,4,1,6,6,1,0,3,2,20,15
2025-11-14,CHO,MIL,1,,42.38,24,12,15,6,2,2,0,7,2,0,1,1,3,32,-11
2025-11-15,CHO,OKC,0,-13,30.12,16,6,9,3,0,0,0,4,4,0,0,0,0,15,-20
2025-11-17,CHO,TOR,1,-2,38.48,22,9,9,3,1,2,3,8,3,3,1,4,1,22,2
2025-11-19,CHO,IND,1,-9,35.38,20,9,8,3,4,4,3,5,2,1,2,0,5,25,-2
2025-11-22,CHO,LAC,0,-15,30.32,12,5,2,0,9,10,0,3,2,0,1,0,0,19,-15
2025-11-23,CHO,ATL,1,-3,35.32,21,8,9,1,4,4,0,5,5,1,1,2,3,21,-2
2025-11-26,CHO,NYK,0,-28,33.82,14,6,6,3,2,5,1,4,1,0,0,3,1,17,-25
2025-11-28,CHO,CHI,0,7,35.57,17,8,5,1,5,6,1,8,7,0,2,2,2,22,-2
2025-11-29,CHO,TOR,0,,41.43,23,13,8,2,7,9,1,3,0,1,0,0,3,35,7
2025-12-01,CHO,BRK,1,-13,30.38,15,4,3,0,0,0,0,2,1,0,1,2,2,8,-30
2025-12-03,CHO,NYK,1,-15,28.52,12,3,5,0,2,2,1,6,0,0,0,1,2,8,-28
2025-12-05,CHO,TOR,1,25,32.05,11,5,6,1,4,5,0,9,5,1,0,2,1,15,17
2025-12-07,CHO,DEN,0,-9,36.9,19,10,6,0,4,6,2,9,8,1,0,3,1,24,-11
2025-12-12,CHO,CHI,0,-3,33.93,20,13,7,4,2,3,0,2,7,0,0,0,1,32,8
2025-12-14,CHO,CLE,1,,39.43,19,7,8,3,3,4,2,10,6,1,0,2,1,20,10
2025-12-18,CHO,ATL,0,7,32.1,13,6,5,2,2,2,0,3,2,1,1,0,1,16,13
2025-12-20,CHO,DET,1,-26,30.38,15,6,6,3,4,4,0,2,2,0,0,4,3,19,-19
2025-12-22,CHO,CLE,1,-7,29.55,14,6,3,0,5,7,2,6,4,0,1,1,0,17,-11
2025-12-23,CHO,WAS,0,17,33.6,13,4,6,1,1,2,0,9,9,0,1,1,4,10,6
2025-12-26,CHO,ORL,1,15,34.8,13,6,6,2,2,2,3,11,5,1,3,0,2,16,18
2025-12-29,CHO,MIL,0,-10,07.1,2,1,2,1,0,0,0,3,0,0,0,0,1,3,-7
2026-01-02,CHO,MIL,1,-1,36.62,17,8,10,5,4,5,0,6,2,1,0,3,3,25,-22
2026-01-03,CHO,CHI,1,13,35.33,18,11,7,3,1,1,0,14,1,1,0,1,1,26,19
2026-01-05,CHO,OKC,1,27,33.68,12,6,6,0,5,5,0,11,4,0,1,2,0,17,18
2026-01-07,CHO,TOR,0,-1,29.98,9,4,5,2,2,2,1,3,5,0,1,2,4,12,9
2026-01-08,CHO,IND,0,-2,36.12,13,7,6,3,2,4,2,6,4,1,0,2,1,19,0
2026-01-10,CHO,UTA,1,55,21.77,6,5,4,3,2,2,0,7,5,0,0,0,1,15,23
2026-01-12,CHO,LAC,1,-8,34.47,10,3,4,1,4,4,2,6,1,0,0,1,3,11,-15
2026-01-15,CHO,LAL,1,18,33.08,13,9,7,5,2,2,3,8,4,0,0,1,1,25,6
2026-01-17,CHO,GSW,1,-20,29.95,12,4,6,1,0,0,3,4,2,0,0,2,2,9,-15
2026-01-18,CHO,DEN,1,23,22.87,6,3,2,0,1,1,1,4,1,0,0,1,0,7,19
2026-01-21,CHO,CLE,0,-7,26.0,13,5,5,1,0,1,0,1,1,0,0,0,1,11,-29
2026-01-22,CHO,ORL,1,27,30.45,12,4,5,1,1,2,2,8,2,1,0,2,3,10,28
2026-01-24,CHO,WAS,0,4,28.88,13,7,7,3,3,5,1,3,4,0,2,2,2,20,3
2026-01-26,CHO,PHI,0,37,18.95,7,4,3,1,1,1,1,3,3,0,1,0,4,10,22
2026-01-28,CHO,MEM,1,15,28.38,11,8,7,4,0,0,0,6,3,0,0,1,1,20,32
2026-01-29,CHO,DAL,1,2,38.2,17,7,5,1,2,2,0,8,8,1,2,3,0,17,11
2026-01-31,CHO,SAS,0,5,31.47,12,5,6,1,3,3,2,6,2,2,0,1,4,14,-11
2026-02-02,CHO,NOP,0,7,30.58,11,3,4,0,3,4,0,4,1,0,0,2,4,9,13
2026-02-05,CHO,HOU,1,10,32.08,17,7,8,3,1,1,2,6,4,1,0,0,0,18,14
2026-02-07,CHO,ATL,1,7,34.37,14,10,4,1,5,5,1,6,5,1,0,3,3,26,-1
2026-02-09,CHO,DET,0,-6,19.88,6,1,3,0,4,4,0,4,1,0,0,3,1,6,-21
2026-02-24,CHO,CHI,1,32,22.28,11,6,7,4,0,0,1,7,2,2,1,2,0,16,19
2026-02-26,CHO,IND,1,24,23.58,6,3,2,1,0,0,1,3,2,2,1,2,1,7,23
2026-02-28,CHO,POR,0,16,32.48,11,5,6,2,2,2,2,8,5,3,0,2,3,14,13
2026-03-03,CHO,DAL,0,27,30.62,13,3,5,1,4,7,0,3,5,0,1,0,1,11,0
2026-03-04,CHO,BOS,1,29,30.95,10,3,7,2,1,2,0,3,2,0,0,0,0,9,21
2026-03-06,CHO,MIA,0,-8,27.87,13,5,3,0,2,2,0,2,1,2,0,1,0,12,-4
2026-03-08,CHO,PHO,1,-12,28.95,16,7,6,1,1,2,3,7,1,0,0,2,1,16,-4
2026-03-10,CHO,POR,1,2,33.35,13,2,4,0,7,8,1,7,3,0,0,3,1,11,-3
2026-03-11,CHO,SAC,1,8,31.28,15,11,4,3,1,1,1,2,5,1,0,2,3,26,14
2026-03-14,CHO,SAS,1,-13,33.82,16,8,8,4,2,2,0,4,2,1,0,2,2,22,-21
2026-03-17,CHO,MIA,0,30,31.45,12,6,4,2,0,0,0,10,2,2,1,1,0,14,26
2026-03-19,CHO,ORL,0,19,22.95,8,4,3,1,2,3,0,3,0,0,0,1,3,11,18
2026-03-21,CHO,MEM,0,23,26.5,8,6,0,0,1,3,1,4,1,1,0,1,1,13,22
2026-03-24,CHO,SAC,0,44,24.03,8,4,3,0,1,2,1,8,4,0,0,2,2,9,28
2026-03-26,CHO,NYK,0,11,31.58,17,8,6,0,1,1,1,5,3,0,0,1,1,17,12
2026-03-28,CHO,PHI,0,-4,29.88,9,4,3,1,2,2,1,6,1,0,0,0,2,11,-16
