Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-01-11,ORL,NOP,0,10,09.82,7,3,2,0,2,2,0,2,2,0,0,0,2,8,-6
2026-01-15,ORL,MEM,0,7,14.43,3,2,2,1,2,2,0,4,0,0,0,1,1,7,-2
2026-01-22,ORL,CHO,0,-27,15.13,7,5,3,2,2,2,0,1,1,2,0,2,2,14,-5
2026-01-24,ORL,CLE,0,-14,12.9,11,4,5,1,4,4,1,6,0,1,0,1,3,13,-14
2026-01-26,ORL,CLE,1,-16,12.45,9,2,3,1,0,0,1,3,0,0,0,1,1,5,-5
2026-01-28,ORL,MIA,1,9,04.42,2,1,1,1,0,0,0,1,0,0,0,0,0,3,-3
2026-01-30,ORL,TOR,0,10,02.83,1,0,0,0,1,2,0,0,0,0,0,0,1,1,-9
2026-02-01,ORL,SAS,1,-9,07.83,6,3,4,2,0,0,0,0,0,0,0,0,1,8,-7
2026-02-03,ORL,OKC,1,-36,13.18,3,2,2,2,2,2,2,5,0,1,0,1,3,8,-24
2026-02-05,ORL,BRK,0,20,12.13,10,6,2,0,2,3,1,5,0,0,0,2,3,14,6
2026-02-07,ORL,UTA,0,3,17.03,8,4,5,3,2,2,1,8,0,0,0,0,2,13,1
2026-02-09,ORL,MIL,0,19,16.13,8,5,3,2,2,3,1,2,0,2,0,0,0,14,21
2026-02-11,ORL,MIL,0,-8,17.4,5,4,1,0,4,4,2,5,4,1,1,0,4,12,0
2026-02-19,ORL,SAC,1,37,18.35,7,2,5,1,6,8,0,2,3,2,0,1,1,11,17
2026-02-21,ORL,PHO,1,,12.18,4,2,2,1,2,3,1,2,1,0,0,0,0,7,-11
2026-02-22,ORL,LAC,1,2,10.92,7,4,0,0,1,1,1,2,1,2,0,1,1,9,9
2026-02-24,ORL,LAL,1,1,10.5,6,2,2,0,0,0,1,3,1,0,0,0,2,4,-5
2026-02-26,ORL,HOU,0,-5,15.13,4,3,1,0,0,0,2,3,2,2,0,0,2,6,4
2026-03-01,ORL,DET,0,-14,12.53,6,3,3,1,2,3,2,3,0,0,0,1,1,9,5
2026-03-03,ORL,WAS,0,17,15.55,6,2,1,0,6,6,1,3,0,0,0,0,2,10,4
2026-03-05,ORL,DAL,0,1,12.18,8,2,1,0,2,2,0,2,2,0,0,0,0,6,-10
2026-03-07,ORL,MIN,1,27,19.42,6,1,3,0,5,6,1,7,3,0,0,2,6,7,6
2026-03-08,ORL,MIL,1,39,17.95,3,0,1,0,3,4,2,9,0,0,0,0,3,3,11
2026-03-11,ORL,CLE,0,6,12.62,3,0,0,0,1,2,2,5,1,1,0,1,1,1,-1
2026-03-12,ORL,WAS,0,,11.15,8,3,1,1,0,1,2,5,0,0,0,0,2,7,4
2026-03-14,ORL,MIA,1,4,13.18,4,2,0,0,3,3,1,4,0,0,0,2,2,7,-3
2026-03-16,ORL,ATL,1,-12,14.35,9,3,5,1,0,0,0,6,1,0,0,0,4,7,-3
2026-03-17,ORL,OKC,0,-5,12.6,6,1,3,1,2,2,0,1,0,0,0,1,3,5,-28
2026-03-19,ORL,CHO,1,-19,18.73,5,1,3,0,3,4,0,1,1,0,0,0,2,5,-14
2026-03-24,ORL,CLE,1,-5,04.98,3,2,1,0,0,0,0,2,0,0,0,0,0,4,4
2026-03-26,ORL,SAC,0,4,04.83,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-5
2026-03-29,ORL,TOR,1,-52,12.0,6,3,2,1,0,0,0,4,1,0,0,0,0,7,-7
2026-03-31,ORL,PHO,0,4,04.05,2,2,0,0,0,0,0,1,1,1,0,1,1,4,-2
2026-04-01,ORL,ATL,0,-29,07.5,3,1,0,0,0,1,0,2,0,0,0,1,0,2,-8
