Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-24,GSW,POR,1,-20,21.27,6,1,3,1,4,6,0,2,0,1,0,2,1,7,-12
2025-10-27,GSW,MEM,0,13,22.13,10,6,7,5,3,3,0,2,1,1,2,2,2,20,-3
2025-10-28,GSW,LAC,0,19,21.87,9,3,7,3,0,0,0,3,2,1,0,2,2,9,18
2025-10-30,GSW,MIL,1,-10,09.87,3,0,3,0,0,0,0,3,0,0,1,0,1,0,-6
2025-11-01,GSW,IND,1,-5,16.1,3,1,2,1,0,0,0,2,3,0,1,0,2,3,15
2025-11-04,GSW,PHO,0,11,33.9,11,7,8,5,5,6,1,5,2,1,0,1,2,24,15
2025-11-05,GSW,SAC,1,-5,38.53,15,9,11,6,4,4,1,3,3,2,4,3,3,28,5
2025-11-07,GSW,DEN,1,-25,19.28,9,1,6,0,0,0,0,3,3,0,0,1,1,2,-9
2025-11-09,GSW,IND,0,31,22.98,11,4,9,3,2,3,1,3,1,2,1,0,4,13,22
2025-11-11,GSW,OKC,1,-24,20.1,6,3,4,2,2,2,0,0,0,1,1,1,0,10,-25
2025-11-12,GSW,SAS,1,5,26.17,13,6,10,5,2,2,1,3,3,0,0,0,2,19,4
2025-11-14,GSW,SAS,1,1,29.65,8,2,4,0,0,0,1,3,1,0,0,2,1,4,-2
2025-11-16,GSW,NOP,1,18,33.07,16,10,12,8,4,5,1,4,0,3,1,1,2,32,22
2025-11-18,GSW,ORL,1,-8,29.57,6,2,4,1,1,2,1,4,2,2,0,3,3,6,-3
2025-11-19,GSW,MIA,1,-14,35.7,12,3,6,1,2,2,1,6,4,1,1,3,3,9,-11
2025-11-21,GSW,POR,0,-4,28.45,6,3,5,2,2,2,1,2,1,0,1,2,5,10,-15
2025-11-24,GSW,UTA,0,17,29.18,17,6,12,3,0,0,1,6,0,2,0,0,2,15,20
2025-11-26,GSW,HOU,0,-4,30.08,8,2,5,1,4,4,3,7,1,0,0,0,4,9,7
2025-11-29,GSW,NOP,0,8,27.1,12,4,7,2,1,1,1,3,0,2,2,1,1,11,8
2025-12-02,GSW,OKC,0,-12,14.6,5,1,5,1,0,0,2,2,1,0,0,2,0,3,2
2025-12-04,GSW,PHI,1,-1,23.18,10,5,5,2,2,2,1,2,2,1,0,1,2,14,-1
2025-12-06,GSW,CLE,1,5,19.72,5,2,3,1,4,5,0,2,2,1,1,1,1,9,9
2025-12-07,GSW,CHI,1,32,19.23,6,3,5,3,2,3,2,4,1,0,0,0,0,11,1
2025-12-12,GSW,MIN,0,-7,22.62,10,5,4,1,0,1,2,4,2,3,0,0,5,11,1
2025-12-14,GSW,POR,1,-5,23.43,9,5,6,2,0,0,1,2,2,1,1,0,3,12,-4
2025-12-18,GSW,PHO,1,-1,30.45,10,2,6,1,0,0,2,8,3,1,1,1,3,5,-1
2025-12-20,GSW,PHO,0,3,17.55,4,1,3,1,0,0,1,2,3,0,0,0,3,3,4
2025-12-22,GSW,ORL,0,23,32.42,11,8,6,3,1,1,1,3,3,0,2,0,4,20,23
2025-12-25,GSW,DAL,0,10,30.47,9,4,5,2,2,2,0,2,2,1,1,1,2,12,5
