Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-28,MIA,CHO,0,27,02.73,1,1,1,1,0,0,0,1,1,0,0,0,2,3,0
2025-11-21,MIA,CHI,1,36,04.88,1,1,1,1,0,0,0,1,0,0,0,0,2,3,-1
2025-11-23,MIA,PHI,1,10,00.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-12-01,MIA,LAC,0,17,00.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-12-19,MIA,BOS,1,-13,16.52,4,2,3,1,0,0,1,2,1,1,0,0,4,5,3
2025-12-23,MIA,TOR,0,-21,00.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-12-27,MIA,IND,0,26,01.68,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2
2025-12-29,MIA,DEN,0,24,03.45,3,0,0,0,0,0,2,3,0,0,0,0,1,0,-3
2026-01-03,MIA,MIN,0,-10,04.52,3,3,1,1,0,0,1,1,2,0,0,0,0,7,8
2026-01-04,MIA,NOP,0,19,12.8,5,1,2,0,2,2,2,3,0,2,0,1,2,4,-8
2026-01-06,MIA,MIN,1,-28,04.67,2,1,1,0,2,2,0,0,1,1,0,0,0,4,0
2026-01-10,MIA,IND,1,-24,12.0,6,1,4,0,0,0,3,7,0,1,1,0,4,2,3
2026-01-11,MIA,OKC,1,-12,01.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-01-17,MIA,OKC,0,2,14.63,4,4,3,3,0,0,1,5,1,0,1,0,2,11,6
2026-01-19,MIA,GSW,1,-23,03.9,3,2,2,1,0,0,0,1,0,0,0,0,1,5,1
2026-01-20,MIA,SAC,1,13,14.8,4,2,2,0,1,1,0,1,3,0,0,0,0,5,-1
2026-01-22,MIA,POR,1,-17,15.9,5,2,5,2,1,2,0,3,1,2,0,1,4,7,6
2026-01-24,MIA,UTA,1,31,10.12,4,1,1,0,0,2,3,6,4,0,2,0,4,2,12
2026-01-25,MIA,PHO,1,9,03.47,0,0,0,0,2,2,1,1,1,0,0,0,2,2,6
2026-01-31,MIA,CHI,0,-7,22.52,5,4,2,1,3,5,2,11,0,2,0,1,3,12,-4
2026-02-01,MIA,CHI,0,43,22.53,7,2,3,1,0,0,1,7,2,0,0,0,4,5,13
2026-02-03,MIA,ATL,0,-12,21.97,8,5,3,2,2,2,0,6,0,2,0,0,1,14,8
2026-02-06,MIA,BOS,1,-2,06.0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,-7
2026-02-08,MIA,WAS,1,31,21.0,9,4,3,2,0,0,3,7,6,2,0,2,3,10,0
2026-02-09,MIA,UTA,0,-4,06.33,1,0,1,0,0,0,0,0,1,0,0,1,1,0,-10
2026-02-11,MIA,NOP,1,12,22.93,7,3,5,2,0,0,4,10,3,1,1,0,2,8,11
2026-02-20,MIA,ATL,1,31,07.1,1,1,0,0,1,1,1,2,1,0,0,0,4,3,2
2026-02-21,MIA,MEM,0,16,06.28,3,2,2,1,0,0,1,3,2,0,0,1,0,5,6
2026-02-24,MIA,MIL,1,-11,02.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2026-03-03,MIA,BRK,0,26,04.28,1,1,1,1,0,0,0,0,0,0,0,0,0,3,6
2026-03-05,MIA,BRK,0,16,00.43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
