Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MIN,POR,1,4,19.85,4,2,1,0,2,2,1,3,1,1,2,1,2,6,1
2025-10-24,MIN,LAL,1,-18,22.77,9,2,4,1,0,0,1,5,2,1,1,1,3,5,-15
2025-10-26,MIN,IND,0,4,23.13,12,6,4,1,3,4,4,10,2,2,0,3,3,16,5
2025-10-27,MIN,DEN,0,-13,27.35,12,7,6,2,2,4,2,7,2,1,1,2,4,18,0
2025-10-29,MIN,LAL,0,-1,22.27,10,2,5,1,0,2,1,5,1,0,1,2,1,5,-8
2025-11-01,MIN,CHO,1,17,21.92,13,7,5,3,1,2,0,3,1,0,0,1,4,18,0
2025-11-03,MIN,BRK,1,16,24.13,10,7,6,4,3,3,1,3,2,1,1,1,2,21,14
2025-11-05,MIN,NYK,1,-23,21.18,7,2,5,1,0,0,1,6,1,0,1,2,2,5,-19
2025-11-07,MIN,UTA,0,40,23.57,6,2,4,1,0,0,0,4,3,1,1,0,1,5,5
2025-11-09,MIN,SAC,1,27,25.23,14,5,9,3,0,0,0,4,2,2,1,1,3,13,10
2025-11-10,MIN,UTA,1,7,28.03,10,3,7,1,0,0,1,5,3,1,1,0,1,7,-14
2025-11-14,MIN,SAC,0,14,24.98,12,5,6,2,0,0,3,12,4,2,2,3,5,12,0
2025-11-15,MIN,DEN,0,-11,31.12,11,7,7,4,1,2,1,6,3,1,0,1,6,19,7
2025-11-17,MIN,DAL,0,24,22.57,14,9,6,3,1,1,1,12,2,0,0,3,2,22,18
2025-11-19,MIN,WAS,0,11,27.32,21,11,10,5,1,1,3,5,1,2,1,1,2,28,16
2025-11-21,MIN,PHO,1,-1,26.98,10,4,3,1,0,0,1,2,2,2,2,1,2,9,-9
2025-11-24,MIN,SAC,1,,23.45,15,6,6,1,2,2,3,7,0,0,1,1,4,15,0
2025-11-26,MIN,OKC,1,-8,24.08,11,4,5,2,2,2,1,2,3,0,1,1,3,12,-16
