Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,PHO,SAC,0,4,04.7,3,3,0,0,2,2,2,3,0,0,0,0,1,8,-6
2025-10-24,PHO,LAC,1,-27,08.95,3,1,0,0,0,0,1,1,0,1,0,1,0,2,-7
2025-10-25,PHO,DEN,1,-22,09.57,1,1,0,0,2,2,1,4,0,0,0,2,4,4,-10
2025-10-27,PHO,UTA,1,,15.32,6,2,0,0,2,2,5,10,0,0,3,1,2,6,5
2025-10-29,PHO,MEM,0,-1,11.65,1,0,0,0,0,0,0,2,0,1,0,2,2,0,3
2025-10-31,PHO,UTA,0,22,06.65,2,1,0,0,2,2,0,0,0,0,0,0,1,4,-3
2025-11-02,PHO,SAS,0,12,10.7,6,4,0,0,2,2,0,3,2,0,0,1,2,10,1
2025-11-04,PHO,GSW,1,-11,03.75,3,1,0,0,0,0,0,0,1,0,0,0,0,2,-4
2025-11-06,PHO,LAC,0,13,11.37,1,1,0,0,1,2,1,3,0,0,0,2,0,3,3
2025-11-08,PHO,LAC,1,11,15.27,3,2,0,0,0,0,2,5,0,0,2,1,2,4,-8
2025-11-10,PHO,NOP,0,23,08.38,0,0,0,0,2,3,1,5,1,0,0,0,1,2,7
2025-11-12,PHO,DAL,1,9,09.5,5,3,0,0,0,2,3,7,1,0,0,1,1,6,5
2025-11-13,PHO,IND,0,35,15.22,0,0,0,0,4,6,0,1,0,0,1,0,3,4,-13
2025-11-16,PHO,ATL,0,-2,13.88,2,1,0,0,1,2,2,5,0,0,1,2,2,3,16
2025-11-18,PHO,POR,1,17,10.65,7,4,0,0,0,0,2,2,0,0,1,0,2,8,-5
2025-11-21,PHO,MIN,0,1,07.85,3,1,0,0,0,0,3,4,0,0,0,3,1,2,3
2025-11-23,PHO,SAS,0,9,05.07,4,1,0,0,0,0,0,2,0,0,0,0,1,2,-4
2025-11-24,PHO,HOU,0,-22,21.65,4,2,0,0,0,2,4,11,0,0,1,3,1,4,-17
2025-11-26,PHO,SAC,1,12,05.53,1,1,0,0,1,1,0,0,0,0,2,0,1,3,0
2025-11-28,PHO,OKC,1,-4,03.9,1,1,0,0,0,0,0,1,1,0,0,0,0,2,-1
2025-11-29,PHO,DEN,0,-18,07.23,2,0,0,0,0,0,2,3,0,0,0,1,3,0,-11
2025-12-05,PHO,HOU,1,-19,08.2,2,1,0,0,0,0,0,0,1,0,0,0,0,2,11
2025-12-10,PHO,OKC,1,-49,07.22,0,0,0,0,0,0,0,5,1,0,0,2,2,0,-11
2025-12-14,PHO,LAL,0,-2,02.53,0,0,0,0,0,0,0,1,0,0,0,1,2,0,-9
2025-12-27,PHO,NOP,1,9,07.72,1,1,0,0,0,0,0,3,0,1,0,1,3,2,4
2025-12-29,PHO,WAS,1,14,17.13,8,1,0,0,0,0,6,9,0,0,3,0,1,2,-10
2026-01-07,PHO,MEM,1,19,03.95,2,2,0,0,0,0,0,1,0,1,0,1,1,4,1
2026-01-13,PHO,MIA,1,-6,00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-07,CHI,DEN,0,-16,19.37,8,5,1,1,4,5,3,7,0,1,1,1,3,15,-13
2026-02-09,CHI,BRK,1,-8,25.53,7,4,1,0,4,6,2,6,1,2,2,3,4,12,9
2026-02-11,CHI,BOS,1,-19,20.83,5,1,1,1,2,2,2,4,0,0,2,2,3,5,-15
2026-02-19,CHI,TOR,0,-9,12.37,2,2,0,0,2,2,2,5,0,0,1,1,2,6,2
2026-02-21,CHI,DET,0,-16,19.07,6,2,2,0,1,2,1,5,0,0,1,5,4,5,-12
2026-02-22,CHI,NYK,0,-6,23.02,6,3,1,0,3,5,5,13,0,0,1,3,3,9,0
2026-02-24,CHI,CHO,0,-32,21.9,5,2,0,0,2,2,3,5,0,0,0,1,1,6,-22
2026-02-26,CHI,POR,0,-9,26.7,7,4,0,0,6,6,1,10,1,0,0,0,0,14,-12
2026-03-01,CHI,MIL,0,23,27.15,9,5,1,0,1,4,1,7,0,1,1,1,3,11,8
2026-03-03,CHI,OKC,0,-8,23.28,9,6,1,0,0,2,3,13,0,1,0,3,2,12,5
