Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-27,LAL,POR,0,-14,20.07,5,1,2,0,0,0,0,3,3,0,1,2,2,2,-13
2025-10-29,LAL,MIN,1,1,10.13,6,2,4,1,2,3,0,1,1,0,0,1,1,7,1
2025-11-03,LAL,POR,1,8,26.87,15,10,6,5,0,0,0,1,6,1,0,3,0,25,9
2025-11-05,LAL,SAS,0,2,06.52,1,1,0,0,0,0,0,0,0,0,0,2,0,2,9
2025-11-08,LAL,ATL,1,-20,23.45,8,1,4,1,0,0,0,1,2,1,0,2,1,3,8
2025-11-15,LAL,MIL,1,24,02.88,2,1,2,1,0,0,0,0,1,1,0,0,0,3,2
2025-12-01,LAL,PHO,0,-17,05.73,2,1,2,1,0,0,0,0,1,0,0,0,0,3,5
2025-12-04,LAL,TOR,1,3,14.28,7,4,3,2,2,3,1,2,0,2,0,0,0,12,6
2025-12-05,LAL,BOS,1,-21,23.5,10,5,6,3,0,0,0,2,0,2,1,1,1,13,-16
2025-12-18,LAL,UTA,1,8,05.32,2,0,2,0,0,0,0,0,0,0,0,0,1,0,-2
2025-12-20,LAL,LAC,1,-15,21.78,11,4,5,1,0,0,0,3,1,1,0,0,2,9,0
2025-12-23,LAL,PHO,1,-24,28.2,11,5,3,1,1,2,0,1,1,0,0,2,5,12,-9
2025-12-28,LAL,SAC,0,24,23.97,14,8,10,5,0,0,1,3,1,0,0,0,3,21,10
2025-12-30,LAL,DET,0,-22,17.15,6,1,3,0,1,2,0,0,1,0,0,1,1,3,-2
2026-01-02,LAL,MEM,0,7,16.03,4,3,3,2,0,0,0,0,2,0,0,0,1,8,-6
2026-01-04,LAL,MEM,0,6,15.28,4,0,3,0,0,0,0,0,0,0,0,0,2,0,-6
2026-01-06,LAL,NOP,1,8,09.65,3,0,2,0,0,0,0,1,1,0,0,1,2,0,-2
2026-01-07,LAL,SAS,1,-16,10.43,4,1,2,1,0,0,0,0,1,0,0,0,0,3,-4
2026-01-12,LAL,SAC,1,-12,01.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-01-13,LAL,ATL,0,25,03.75,2,2,2,2,0,0,0,0,2,0,0,1,0,6,0
2026-01-15,LAL,CHO,0,-18,01.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2026-01-17,LAL,POR,1,-16,09.7,3,2,1,0,1,1,0,0,3,0,0,2,2,5,-5
2026-01-18,LAL,TOR,0,17,02.28,3,1,2,1,0,0,0,0,0,0,0,0,0,3,-1
2026-02-01,LAL,NYK,1,-12,00.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-02-10,LAL,SAS,0,-28,17.07,8,3,1,0,0,0,0,2,1,1,0,1,0,6,-5
2026-04-05,LAL,DAL,1,-6,02.35,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-1
