Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-02-12,OKC,MIL,0,-17,12.37,3,1,2,0,0,0,0,1,1,0,0,3,0,2,-5
2026-02-20,OKC,BRK,0,19,11.42,6,4,2,1,0,0,0,3,2,0,0,3,1,9,12
2026-02-22,OKC,CLE,0,8,07.8,2,1,0,0,0,0,1,2,3,0,0,3,2,2,-3
2026-02-24,OKC,TOR,1,9,05.5,2,1,1,1,0,0,0,0,0,0,0,1,0,3,6
2026-02-25,OKC,DET,1,-8,15.5,3,0,0,0,0,0,1,2,4,0,0,1,1,0,-11
2026-04-02,OKC,LAL,0,43,12.0,2,1,1,0,0,0,0,2,2,0,0,0,1,2,-2
2026-04-05,OKC,UTA,0,35,08.1,1,0,0,0,2,2,2,2,4,0,0,1,1,2,-4
2026-04-07,OKC,LAL,1,36,09.52,4,0,1,0,0,0,0,1,3,1,0,0,1,0,0
2026-04-10,OKC,DEN,1,-20,38.53,12,6,3,2,0,0,2,2,11,4,0,8,3,14,-17
2026-04-12,OKC,PHO,0,-32,39.35,16,8,5,2,0,3,1,4,14,0,0,5,3,18,-18
