Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,SAC,PHO,1,-4,23.68,3,1,0,0,0,0,3,8,2,2,1,1,4,2,3
2025-11-01,SAC,MIL,1,2,15.88,1,0,0,0,0,0,1,3,0,0,1,0,2,0,8
2025-11-03,SAC,DEN,1,-6,18.62,9,4,2,0,0,0,1,1,3,0,1,0,5,8,3
2025-11-05,SAC,GSW,0,5,32.88,8,4,6,3,1,2,0,3,3,1,0,1,2,12,1
2025-11-07,SAC,OKC,0,-31,16.58,4,0,3,0,0,0,0,3,2,0,0,0,1,0,-8
2025-11-09,SAC,MIN,0,-27,22.65,7,4,2,1,1,2,1,5,5,1,0,3,0,10,-12
2025-11-11,SAC,DEN,0,-14,13.95,4,1,2,1,2,2,0,3,2,0,0,1,2,5,8
2025-11-12,SAC,ATL,0,-33,30.55,11,3,5,1,2,2,1,4,4,0,0,1,4,9,-5
2025-11-14,SAC,MIN,1,-14,06.73,1,0,1,0,0,0,0,0,1,0,0,0,2,0,6
2025-11-16,SAC,SAS,1,-13,10.95,3,0,2,0,1,2,0,0,0,0,1,0,1,1,-6
2025-11-19,SAC,OKC,1,-14,08.35,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-4
2025-11-20,SAC,MEM,1,-41,19.28,3,2,2,2,2,4,0,2,3,2,0,1,1,8,-14
2025-11-22,SAC,DEN,1,5,09.08,2,1,1,0,0,0,1,2,1,0,0,0,3,2,4
2025-11-24,SAC,MIN,0,,11.58,0,0,0,0,3,4,3,6,1,0,0,0,2,3,-4
2025-11-26,SAC,PHO,0,-12,09.02,2,0,1,0,0,0,0,1,1,0,0,1,0,0,-5
2025-11-28,SAC,UTA,1,-9,05.68,0,0,0,0,0,0,0,2,0,0,0,0,1,0,-12
2025-11-30,SAC,MEM,0,-8,12.72,2,2,1,1,0,0,0,1,0,0,0,1,4,5,19
2025-12-03,SAC,HOU,1,-26,22.78,7,1,3,0,0,0,0,0,2,1,1,0,3,2,-16
2025-12-06,SAC,MIA,1,16,18.02,8,7,1,1,0,0,1,6,0,1,0,2,3,15,-8
2025-12-08,SAC,IND,1,-11,14.13,6,3,1,1,0,0,0,2,0,0,1,2,1,7,-2
2025-12-11,SAC,DEN,0,-31,28.4,8,1,6,0,0,0,1,4,0,0,0,4,2,2,-29
2025-12-14,SAC,MIN,1,-14,13.32,1,0,1,0,0,0,0,0,0,1,0,1,1,0,-14
2025-12-18,SAC,POR,1,,19.95,6,3,1,0,2,2,0,2,0,0,0,1,3,8,-1
2025-12-20,SAC,POR,0,-5,29.33,11,5,6,2,0,0,0,5,1,2,0,0,2,12,11
2025-12-21,SAC,HOU,0,,26.9,8,2,4,0,2,2,2,6,4,1,1,1,2,6,4
2025-12-23,SAC,DET,0,-9,25.07,10,5,5,2,2,2,1,2,0,2,0,2,4,14,3
2025-12-27,SAC,DAL,0,6,20.08,10,3,3,1,1,2,3,9,1,2,0,1,1,8,-2
2025-12-28,SAC,LAL,1,-24,28.92,6,4,4,2,1,2,1,6,3,1,0,4,2,11,-4
2025-12-30,SAC,LAC,1,-41,28.88,12,7,5,3,1,1,1,1,2,0,1,2,4,18,-20
2026-01-01,SAC,BOS,0,-14,16.48,2,0,1,0,0,0,2,2,1,3,0,1,2,0,-8
2026-01-02,SAC,PHO,1,-27,18.55,4,1,2,1,0,0,0,2,1,0,0,3,1,3,-6
2026-01-04,SAC,MIL,0,-17,19.28,5,3,1,0,1,2,0,2,1,1,0,0,1,7,5
2026-01-06,SAC,DAL,0,-2,14.22,2,1,2,1,0,0,0,1,0,0,1,2,2,3,-9
2026-01-09,SAC,GSW,1,-34,24.87,6,2,3,2,0,0,0,0,1,1,0,2,0,6,-13
2026-01-11,SAC,HOU,0,13,21.98,9,4,3,0,0,1,0,2,0,0,0,0,1,8,6
2026-01-12,SAC,LAL,0,12,15.37,2,0,1,0,0,0,0,2,0,1,0,1,2,0,2
2026-01-14,SAC,NYK,0,11,13.17,1,0,1,0,0,0,0,4,0,0,0,2,2,0,2
2026-01-16,SAC,WAS,0,13,18.88,6,3,4,2,1,2,2,7,3,0,0,1,1,9,19
2026-01-18,SAC,POR,0,-7,13.13,2,0,1,0,0,0,1,2,2,0,1,1,1,0,7
2026-01-20,SAC,MIA,0,-13,24.35,10,4,4,1,0,0,1,3,1,0,1,0,0,9,-1
2026-01-21,SAC,TOR,0,-13,21.22,6,2,4,0,0,0,1,7,3,0,1,1,1,4,7
2026-01-23,SAC,CLE,1,-5,13.77,4,2,1,0,0,0,0,1,0,0,0,0,3,4,3
2026-01-25,SAC,DET,1,-23,33.33,13,6,4,2,1,4,2,3,1,0,1,0,3,15,-12
2026-01-27,SAC,NYK,1,-16,29.83,8,3,3,1,0,0,1,3,1,3,0,1,0,7,-2
2026-01-29,SAC,PHI,1,-2,26.95,7,1,1,0,0,0,2,6,2,0,1,2,1,2,2
2026-01-30,SAC,BOS,1,-19,33.97,12,5,7,3,2,2,1,3,1,0,0,1,2,15,-11
2026-02-01,SAC,WAS,1,-4,28.95,3,1,0,0,4,4,2,3,4,2,0,1,2,6,-5
2026-02-04,SAC,MEM,0,-4,25.82,9,5,3,2,2,2,0,3,5,0,0,4,0,14,9
2026-02-06,SAC,LAC,0,-3,33.27,12,5,5,2,4,4,0,2,2,2,1,1,5,16,2
2026-02-07,SAC,CLE,0,-6,39.83,19,12,9,5,1,2,1,4,4,2,2,2,3,30,5
2026-02-09,SAC,NOP,1,-26,37.32,16,4,6,1,1,2,2,5,6,1,0,3,2,10,-17
2026-02-11,SAC,UTA,1,-28,38.22,15,1,5,0,4,5,3,8,6,2,0,2,1,6,-26
2026-02-19,SAC,ORL,0,-37,29.98,5,1,1,1,2,2,1,2,1,0,0,5,3,5,-32
2026-02-21,SAC,SAS,1,-17,29.8,9,4,3,0,0,0,1,5,4,2,0,1,2,8,-2
2026-02-23,SAC,MEM,1,9,28.22,8,5,1,1,1,1,1,6,5,6,0,2,2,12,2
2026-02-25,SAC,HOU,1,-31,29.38,11,6,7,3,0,0,1,2,1,4,0,4,1,15,-13
2026-02-26,SAC,DAL,1,9,39.15,19,6,6,1,0,0,1,8,7,2,1,1,3,13,9
2026-03-01,SAC,LAL,1,-24,41.65,18,11,2,1,3,4,2,7,4,1,1,3,3,26,-17
2026-03-03,SAC,PHO,0,-11,39.32,13,5,5,0,0,0,2,8,4,3,0,2,3,10,5
