Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,BRK,CHO,1,-19,20.25,6,1,3,1,2,2,2,4,2,0,0,1,2,5,-7
2025-10-24,BRK,CLE,0,-7,20.07,4,2,3,1,0,0,2,5,3,1,0,4,0,5,4
2025-10-26,BRK,SAS,1,-11,23.8,8,2,7,2,1,1,0,3,2,0,0,0,3,7,-5
2025-10-27,BRK,HOU,1,-28,15.82,6,1,4,0,0,0,1,2,1,0,0,0,0,2,-21
2025-10-29,BRK,ATL,0,-5,24.62,4,1,3,0,5,6,0,4,0,0,0,1,0,7,-10
2025-11-02,BRK,PHI,0,-24,15.07,2,0,2,0,0,0,2,5,2,0,0,2,1,0,-6
2025-11-03,BRK,MIN,0,-16,31.68,14,5,12,4,1,2,2,6,1,2,0,2,2,15,-1
2025-11-05,BRK,IND,1,9,29.63,9,6,5,2,3,4,0,4,1,0,0,3,3,17,8
2025-11-07,BRK,DET,0,-18,30.7,13,5,8,4,5,6,1,1,2,1,0,1,2,19,-4
2025-11-09,BRK,NYK,1,-36,22.45,9,1,7,0,2,4,0,1,2,0,2,0,2,4,-22
2025-11-11,BRK,TOR,0,-10,34.7,9,4,7,2,8,9,0,8,3,2,2,4,3,18,-8
2025-11-14,BRK,ORL,1,-7,27.25,8,2,7,2,6,6,0,4,3,1,0,2,6,12,-4
2025-11-16,BRK,WAS,1,23,29.73,6,4,6,4,0,4,0,4,1,1,1,1,2,12,16
2025-11-18,BRK,BOS,0,-14,22.68,8,4,4,3,2,4,0,1,0,1,1,0,3,13,-14
2025-11-21,BRK,BOS,1,8,37.03,15,7,11,3,2,2,0,3,0,1,3,0,3,19,9
2025-11-23,BRK,TOR,1,-10,37.13,15,7,7,1,7,7,0,1,1,2,2,5,5,22,-4
2025-11-24,BRK,NYK,0,-13,39.1,17,9,13,7,6,6,0,4,3,0,0,2,1,31,1
2025-11-28,BRK,PHI,0,-12,35.15,14,4,9,2,6,7,2,7,3,1,2,3,4,16,-4
2025-11-29,BRK,MIL,1,-17,21.37,3,2,3,2,0,0,0,1,1,0,0,3,4,6,-13
2025-12-01,BRK,CHO,0,13,30.13,9,6,4,2,4,4,0,2,4,1,0,0,4,18,15
2025-12-03,BRK,CHI,1,10,33.98,13,6,11,6,2,2,3,7,2,0,0,0,3,20,7
2025-12-04,BRK,UTA,0,-13,34.22,15,8,6,3,10,12,1,4,3,0,3,3,4,29,-12
2025-12-06,BRK,NOP,0,18,29.68,11,4,5,2,0,0,2,6,0,0,1,2,3,10,10
2025-12-12,BRK,DAL,1,-8,32.93,13,5,6,1,0,0,0,4,4,2,1,4,5,11,-1
2025-12-14,BRK,MIL,0,45,21.83,9,4,8,4,4,4,0,3,2,0,2,2,3,16,14
2025-12-18,BRK,MIA,0,-11,26.2,13,2,9,0,4,4,1,6,3,1,1,2,3,8,-7
2025-12-21,BRK,TOR,0,15,33.35,12,5,8,4,5,8,3,9,2,0,2,1,2,19,28
2025-12-23,BRK,PHI,1,8,28.32,12,4,8,2,3,4,0,1,1,2,1,2,5,13,10
2025-12-27,BRK,MIN,1,16,33.88,10,4,7,1,2,2,2,5,3,0,0,2,3,11,-5
2025-12-29,BRK,GSW,0,-13,24.85,8,3,5,2,3,4,2,5,2,2,0,3,5,11,1
2026-01-01,BRK,HOU,0,-24,25.8,9,4,2,0,3,7,1,1,0,0,2,3,2,11,-19
2026-01-02,BRK,WAS,1,-20,27.75,13,2,8,0,4,5,2,2,1,3,0,3,5,8,-12
2026-01-04,BRK,DEN,0,12,29.12,10,6,6,4,6,7,2,6,2,0,1,1,2,22,18
2026-01-07,BRK,ORL,0,,33.45,11,4,5,0,2,3,2,3,4,2,2,0,2,10,12
2026-01-09,BRK,LAC,0,-16,30.08,13,4,9,3,1,2,2,3,2,0,0,1,2,12,-13
2026-01-11,BRK,MEM,1,-5,30.32,17,4,15,4,5,7,1,6,1,3,1,2,2,17,-14
2026-01-12,BRK,DAL,1,-8,29.13,9,4,6,1,4,4,1,2,2,1,1,1,3,13,-7
2026-01-14,BRK,NOP,1,-3,31.15,7,3,3,0,0,0,1,7,6,0,1,1,3,6,-2
2026-01-16,BRK,CHI,0,3,28.25,17,7,7,4,5,6,0,11,1,1,0,3,3,23,8
2026-01-18,BRK,CHI,1,-22,30.07,11,3,6,1,0,0,1,8,3,1,2,3,2,7,-18
2026-01-19,BRK,PHO,0,-9,27.92,10,5,3,1,5,5,0,1,0,1,0,0,3,16,-14
2026-01-21,BRK,NYK,1,-54,23.32,7,3,4,2,0,0,1,4,0,0,0,0,0,8,-19
2026-01-23,BRK,BOS,0,,42.8,14,5,10,3,2,2,3,9,1,0,1,3,4,15,-4
2026-02-03,BRK,LAL,0,-16,20.97,7,3,4,0,0,0,0,4,2,0,0,2,1,6,-17
2026-02-05,BRK,ORL,1,-20,21.88,6,0,4,0,0,0,1,4,0,1,0,2,4,0,-14
2026-02-07,BRK,WAS,0,14,27.18,10,5,8,4,4,6,1,3,2,1,1,1,3,18,-14
2026-02-09,BRK,CHI,0,8,27.92,11,7,6,4,4,5,1,6,0,0,1,1,2,22,14
2026-02-19,BRK,CLE,1,-28,19.75,8,3,7,2,0,0,0,1,2,0,0,1,2,8,-23
2026-02-20,BRK,OKC,1,-19,26.53,9,3,6,1,1,1,2,5,1,1,0,2,5,8,-8
2026-02-22,BRK,ATL,1,-11,31.05,8,3,6,2,4,4,0,5,1,2,0,0,2,12,-7
2026-02-24,BRK,DAL,0,-9,32.75,9,6,5,4,6,10,0,5,0,1,1,0,3,22,3
2026-02-26,BRK,SAS,0,-16,30.1,7,4,4,3,0,0,0,1,1,1,0,1,3,11,-3
2026-02-27,BRK,BOS,1,-37,21.82,9,4,4,2,0,0,1,3,2,0,0,0,2,10,-17
2026-03-01,BRK,CLE,0,-4,22.62,5,2,4,1,0,0,0,1,1,0,0,0,1,5,-13
2026-03-03,BRK,MIA,1,-26,27.33,8,4,4,1,8,9,0,7,0,1,0,1,2,17,-14
2026-03-05,BRK,MIA,1,-16,33.82,13,6,9,5,0,0,1,7,4,2,1,1,0,17,0
2026-03-07,BRK,DET,1,2,30.77,12,4,5,1,7,7,0,3,2,0,1,2,2,16,-7
2026-03-09,BRK,MEM,0,11,20.3,9,3,3,1,3,4,0,3,3,1,1,3,1,10,-10
2026-03-10,BRK,DET,0,-38,17.77,7,2,4,1,4,4,1,3,1,1,0,1,4,9,-25
2026-03-12,BRK,ATL,1,-11,19.57,9,4,4,2,0,0,1,6,1,0,0,1,2,10,-4
