Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-23,IND,OKC,0,,39.97,18,8,8,0,4,4,0,5,3,2,0,1,3,20,-2
2025-10-25,IND,MEM,1,-25,25.65,12,5,6,2,1,1,1,9,2,0,0,3,4,13,-11
2025-10-26,IND,MIN,1,-4,16.55,6,2,3,1,4,4,2,6,0,1,0,2,0,9,5
2026-02-26,IND,CHO,0,-24,08.48,4,1,3,0,1,2,0,2,1,1,0,0,0,3,-1
2026-03-01,IND,MEM,0,-19,11.17,3,1,1,0,2,2,0,4,5,2,0,0,0,4,6
2026-03-04,IND,LAC,1,-23,09.62,1,0,1,0,0,0,0,3,1,0,0,1,2,0,-11
2026-03-06,IND,LAL,1,-11,10.98,4,1,1,0,0,0,1,4,1,0,0,0,2,2,-12
2026-03-08,IND,POR,1,-20,10.55,5,2,3,0,0,0,2,2,0,0,0,0,0,4,-17
2026-03-10,IND,SAC,1,-5,14.7,9,4,5,2,7,9,0,5,1,0,0,0,0,17,1
2026-03-13,IND,NYK,0,-9,15.9,6,3,6,3,0,0,0,4,1,0,0,1,3,9,-12
2026-03-15,IND,MIL,1,-11,16.37,7,3,7,3,2,3,0,4,3,0,0,2,0,11,2
