Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-01-01,UTA,LAC,1,-17,14.78,4,1,0,0,0,1,2,6,1,1,0,0,2,2,-3
2026-02-05,UTA,ATL,1,-2,09.93,2,2,0,0,0,0,2,2,1,0,0,1,1,4,-1
2026-02-12,UTA,POR,0,-16,04.98,0,0,0,0,0,0,1,1,3,0,0,0,0,0,8
2026-02-20,UTA,MEM,1,-9,14.33,2,1,0,0,0,0,1,6,0,0,0,0,5,2,6
2026-02-26,UTA,NOP,0,-11,09.62,4,4,0,0,0,0,2,2,0,0,0,0,0,8,8
2026-02-28,UTA,NOP,0,-10,09.05,1,0,0,0,0,0,1,3,0,0,0,0,1,0,6
2026-03-02,UTA,DEN,0,-3,18.4,5,4,0,0,0,0,2,8,1,0,1,0,1,8,-2
2026-03-04,UTA,PHI,1,-4,04.73,1,1,0,0,0,0,2,3,0,0,0,1,1,2,0
2026-03-07,UTA,MIL,1,-14,12.25,4,3,0,0,0,1,1,5,1,0,0,0,4,6,-9
2026-03-09,UTA,GSW,0,3,19.6,6,4,0,0,2,2,4,8,1,1,0,0,1,10,10
2026-03-11,UTA,NYK,0,-17,14.98,3,1,0,0,0,0,1,1,1,1,0,2,1,2,5
2026-03-13,UTA,POR,1,-10,19.97,8,4,0,0,0,0,2,5,1,1,0,0,0,8,-16
2026-03-15,UTA,SAC,1,-5,22.83,5,3,0,0,3,6,4,8,1,3,0,0,0,9,5
2026-03-18,UTA,MIN,1,-36,10.33,4,2,0,0,1,2,2,4,0,0,0,0,0,5,-11
2026-03-19,UTA,MIL,0,32,15.47,3,3,0,0,1,1,3,6,1,0,0,0,0,7,18
2026-03-21,UTA,PHI,0,-10,10.62,6,4,0,0,0,0,5,6,0,0,0,0,1,8,-6
2026-03-23,UTA,TOR,0,-16,28.38,8,6,0,0,4,6,3,7,2,1,2,1,3,16,-4
2026-03-25,UTA,WAS,0,-23,16.88,4,2,0,0,3,4,5,8,4,0,0,4,0,7,-17
2026-03-27,UTA,DEN,1,-6,12.42,4,3,0,0,3,3,4,9,3,0,0,1,2,9,1
2026-03-28,UTA,PHO,1,-25,16.28,6,3,0,0,1,4,2,7,1,2,0,0,1,7,-9
2026-03-30,UTA,CLE,0,-9,19.15,4,3,0,0,1,2,2,7,1,0,0,0,1,7,-7
2026-04-01,UTA,DEN,0,-13,20.53,8,4,0,0,0,0,2,7,0,1,0,1,2,8,-14
