Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MIA,ORL,1,-4,03.83,1,0,1,0,0,0,0,0,0,0,0,0,2,0,-1
2025-10-24,MIA,MEM,1,32,07.63,5,3,3,2,0,0,1,2,0,1,0,2,2,8,-10
2025-10-26,MIA,NYK,0,8,04.87,1,0,1,0,1,2,0,0,0,0,0,0,0,1,2
2025-10-28,MIA,CHO,0,27,30.73,10,6,6,3,2,2,1,5,3,1,0,0,0,17,7
2025-10-30,MIA,SAS,1,-6,26.35,5,2,3,1,0,0,0,3,3,0,0,1,2,5,-2
2025-11-02,MIA,LAL,1,-10,26.03,10,6,4,1,4,4,1,5,6,0,0,1,4,17,-12
2025-11-03,MIA,LAC,1,1,23.75,4,2,2,1,2,4,0,1,3,3,0,1,1,7,11
2025-11-05,MIA,DEN,1,-10,23.5,4,1,3,0,4,4,0,3,3,0,0,1,1,6,-8
2025-11-07,MIA,CHO,0,18,26.8,11,8,3,1,2,3,0,4,2,1,0,0,3,19,8
2025-11-08,MIA,POR,0,5,27.45,10,7,3,1,1,1,0,1,5,0,0,1,3,16,-10
2025-11-10,MIA,CLE,0,,26.48,8,4,2,0,2,3,1,5,4,0,0,3,3,10,-6
2025-11-12,MIA,CLE,0,-14,27.42,7,3,3,2,1,1,0,0,4,0,1,3,3,9,3
2025-11-14,MIA,NYK,1,-8,24.02,8,4,6,3,3,3,1,2,2,0,1,2,1,14,-1
2025-11-17,MIA,NYK,0,2,26.27,9,4,4,2,3,4,0,7,4,0,0,2,1,13,-4
2025-11-19,MIA,GSW,0,14,28.33,11,3,4,1,3,4,1,3,4,1,0,2,3,10,-4
2025-11-21,MIA,CHI,1,36,26.1,5,4,3,2,6,6,1,2,7,2,0,0,5,16,29
2025-11-23,MIA,PHI,1,10,31.93,13,2,6,0,2,5,1,7,8,1,0,2,3,6,9
2025-11-24,MIA,DAL,0,4,28.18,10,4,3,1,0,1,0,2,6,1,2,1,3,9,13
2025-11-26,MIA,MIL,0,3,21.02,10,3,7,2,0,0,1,3,3,1,1,2,0,8,13
2025-11-29,MIA,DET,0,-3,24.7,6,2,1,1,2,2,0,1,2,1,0,0,1,7,-8
2025-12-01,MIA,LAC,0,17,07.82,1,1,1,1,2,2,1,1,2,0,0,0,1,5,1
2025-12-03,MIA,DAL,1,-10,22.8,5,1,4,0,2,3,0,0,3,0,0,0,2,4,-11
2025-12-05,MIA,ORL,1,-1,18.82,4,0,1,0,0,0,0,1,1,0,0,0,2,0,1
2025-12-09,MIA,ORL,1,-9,10.52,2,1,0,0,0,0,1,2,1,0,0,1,0,2,-9
2025-12-26,MIA,ATL,1,15,29.67,13,9,4,3,0,0,2,6,5,1,0,0,2,21,2
2025-12-27,MIA,IND,0,26,27.45,7,5,1,1,5,6,2,4,7,0,1,0,2,16,18
2025-12-29,MIA,DEN,0,24,15.4,5,1,3,1,0,0,0,2,0,0,0,0,2,3,2
2026-01-04,MIA,NOP,0,19,25.58,15,7,5,1,1,3,1,3,6,3,0,2,0,16,23
2026-01-06,MIA,MIN,1,-28,19.82,9,3,4,1,0,0,2,2,1,0,0,2,3,7,-22
2026-01-10,MIA,IND,1,-24,16.33,1,0,1,0,4,6,0,3,0,0,1,1,2,4,-20
2026-01-11,MIA,OKC,1,-12,27.55,11,6,4,1,3,4,1,3,3,1,1,2,1,16,0
2026-01-13,MIA,PHO,0,6,27.37,1,1,0,0,0,0,0,3,2,0,0,0,2,2,-2
2026-01-15,MIA,BOS,0,-5,29.72,6,2,3,0,3,4,0,3,2,0,0,0,1,7,1
2026-01-17,MIA,OKC,0,2,29.5,15,7,3,0,2,4,1,3,2,1,0,1,3,16,4
2026-01-19,MIA,GSW,1,-23,27.68,7,3,1,0,3,4,3,5,3,0,0,0,1,9,-12
2026-01-20,MIA,SAC,1,13,26.23,9,7,1,0,2,3,3,6,9,1,0,0,4,16,10
2026-01-22,MIA,POR,1,-17,28.85,5,3,2,0,0,0,2,3,6,0,0,1,1,6,-6
2026-01-24,MIA,UTA,1,31,25.27,11,7,6,3,3,3,1,2,3,0,1,2,2,20,18
2026-01-25,MIA,PHO,1,9,35.15,9,4,0,0,2,3,1,7,2,0,0,3,2,10,-14
2026-01-28,MIA,ORL,0,-9,27.82,7,3,0,0,2,2,2,9,2,1,0,1,0,8,-9
2026-01-29,MIA,CHI,1,3,28.58,8,4,2,1,6,7,0,6,3,2,0,1,2,15,-5
2026-01-31,MIA,CHI,0,-7,32.85,11,7,5,2,6,7,1,7,4,5,0,2,2,22,-3
2026-02-01,MIA,CHI,0,43,23.65,11,8,4,3,1,2,2,4,4,1,1,2,2,20,33
2026-02-03,MIA,ATL,0,-12,35.75,12,7,3,0,4,4,1,4,5,0,0,3,1,18,-12
2026-02-06,MIA,BOS,1,-2,11.62,0,0,0,0,0,0,0,5,3,0,0,2,2,0,15
2026-02-20,MIA,ATL,1,31,31.92,9,6,0,0,0,0,2,6,1,2,0,1,2,12,16
2026-02-21,MIA,MEM,0,16,34.98,7,3,4,0,4,6,0,1,5,2,1,4,3,10,14
2026-02-24,MIA,MIL,1,-11,35.92,6,3,3,0,4,4,2,6,5,0,0,2,4,10,-9
2026-02-26,MIA,PHI,1,-7,33.25,6,3,2,2,1,2,2,4,6,2,1,2,2,9,-14
2026-02-28,MIA,HOU,0,10,34.55,12,6,5,1,7,8,1,4,4,0,0,3,4,20,4
2026-03-03,MIA,BRK,0,26,18.47,5,1,2,0,1,2,0,2,3,0,1,0,3,3,13
2026-03-05,MIA,BRK,0,16,30.48,13,6,2,2,2,2,0,1,4,0,0,1,4,16,14
2026-03-06,MIA,CHO,1,8,28.53,8,3,1,0,5,5,2,4,2,0,0,2,0,11,3
2026-03-08,MIA,DET,0,11,32.77,10,3,3,1,3,4,2,5,5,0,0,1,2,10,4
2026-03-10,MIA,WAS,0,21,24.43,7,3,3,0,4,5,0,2,1,2,1,1,1,10,13
2026-03-12,MIA,MIL,0,7,37.83,14,9,3,2,8,8,0,6,6,1,0,1,1,28,13
2026-03-14,MIA,ORL,0,-4,35.1,7,4,3,2,5,5,1,3,3,2,0,1,3,15,6
2026-03-17,MIA,CHO,1,-30,27.68,7,3,2,1,7,8,2,2,0,0,0,4,5,14,-25
2026-03-19,MIA,LAL,0,-8,33.32,8,3,2,0,5,6,2,2,5,0,0,4,3,11,-16
2026-03-21,MIA,HOU,1,-1,31.48,12,7,3,2,3,5,4,5,3,0,0,2,5,19,2
2026-03-23,MIA,SAS,0,-25,22.63,6,2,1,0,3,3,1,1,3,2,0,2,2,7,-23
2026-03-25,MIA,CLE,1,17,34.07,5,3,2,1,7,7,3,5,2,1,1,5,1,14,14
2026-03-27,MIA,CLE,1,-21,25.73,4,2,2,0,6,6,2,3,5,1,0,3,1,10,-10
2026-03-29,MIA,IND,1,-17,35.75,11,7,1,0,1,3,0,5,3,0,0,1,3,15,-6
2026-03-30,MIA,PHI,0,10,36.43,13,8,4,0,4,6,4,10,3,1,0,0,2,20,18
2026-04-01,MIA,BOS,0,-18,37.85,13,7,4,2,2,4,2,3,6,3,0,1,2,18,7
2026-04-04,MIA,WAS,0,16,23.75,10,6,2,0,4,6,1,7,4,0,1,3,1,16,27
2026-04-07,MIA,TOR,1,-26,26.18,9,2,4,1,2,2,0,3,1,0,0,3,4,7,-13
2026-04-09,MIA,TOR,1,-14,32.32,10,4,5,2,0,0,0,4,2,0,0,1,2,10,-21
