Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MIL,WAS,0,13,21.95,5,4,4,3,0,0,0,1,2,1,0,0,2,11,12
2025-10-24,MIL,TOR,1,6,21.15,4,1,3,1,0,0,0,3,3,1,0,1,1,3,0
2025-10-26,MIL,CLE,1,-5,31.22,6,3,3,2,0,0,0,3,1,3,1,1,5,8,5
2025-10-28,MIL,NYK,0,10,21.28,4,3,3,2,0,0,0,0,0,0,1,2,2,8,-7
2025-10-30,MIL,GSW,0,10,18.27,6,3,4,1,3,3,0,0,1,0,0,0,1,10,11
2025-11-01,MIL,SAC,0,-2,13.27,2,1,2,1,0,0,0,3,0,0,0,0,2,3,-5
2025-11-03,MIL,IND,1,2,20.95,6,2,4,2,0,0,0,3,0,1,0,0,3,6,6
2025-11-04,MIL,TOR,1,-28,20.85,5,0,5,0,0,0,0,0,1,0,0,1,4,0,-9
2026-03-10,MIL,PHO,0,-15,17.82,4,0,3,0,0,0,0,3,0,0,0,0,0,0,-6
2026-03-12,MIL,MIA,1,-7,14.8,6,3,3,2,0,0,0,1,0,1,0,0,3,8,10
