Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,MIL,WAS,0,13,01.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-11-12,MIL,CHO,1,-11,04.17,1,1,0,0,0,0,0,0,0,0,2,0,1,2,10
2025-11-14,MIL,CHO,0,,00.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-15,MIL,LAL,0,-24,03.08,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-2
2025-11-22,MIL,DET,0,-13,02.37,0,0,0,0,2,2,0,0,0,0,1,0,2,2,4
2025-11-24,MIL,POR,0,-12,03.3,1,1,0,0,1,1,1,1,0,1,0,0,0,3,6
2025-11-29,MIL,BRK,0,17,02.97,1,1,0,0,0,0,0,0,0,0,0,0,1,2,-7
2025-12-05,MIL,PHI,0,-15,00.83,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2
2025-12-06,MIL,DET,1,-12,04.77,3,2,0,0,3,6,1,2,0,1,0,1,3,7,13
2025-12-11,MIL,BOS,0,15,01.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2025-12-26,MIL,MEM,1,-21,03.43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2
2026-01-13,MIL,MIN,0,-33,07.8,3,1,0,0,0,0,1,1,0,2,0,1,0,2,5
2026-01-15,MIL,SAS,1,-18,03.83,1,1,0,0,0,0,0,0,1,1,0,1,0,2,9
2026-01-21,MIL,OKC,0,-20,02.47,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-5
2026-01-27,MIL,PHI,1,-17,02.38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-3
2026-02-01,MIL,BOS,1,-28,02.53,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2026-02-03,MIL,CHI,0,16,02.35,1,0,0,0,0,2,2,2,0,0,0,0,0,0,-4
2026-02-09,MIL,ORL,1,-19,03.63,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2
2026-02-12,MIL,OKC,1,17,03.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-5
2026-02-20,MIL,NOP,1,21,02.45,0,0,0,0,2,2,0,1,1,0,0,0,0,2,2
2026-02-22,MIL,TOR,0,-28,04.4,1,1,0,0,1,1,1,1,0,0,0,0,0,3,-6
2026-02-27,MIL,NYK,0,-29,04.53,1,0,1,0,1,2,0,0,0,1,0,0,0,1,1
2026-03-02,MIL,BOS,0,-27,01.87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
2026-03-04,MIL,ATL,0,-18,01.55,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2
2026-03-08,MIL,ORL,0,-39,09.37,1,1,0,0,2,4,1,3,1,1,0,1,0,4,-8
2026-03-14,MIL,ATL,1,-23,04.12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2026-03-15,MIL,IND,0,11,00.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-03-19,MIL,UTA,1,-32,07.72,2,1,0,0,2,2,1,3,1,0,0,1,0,4,-2
