Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,DET,CHI,1,-4,34.4,12,4,3,1,1,1,2,9,4,1,0,0,2,10,-8
2025-10-24,DET,HOU,1,4,40.08,12,4,4,1,0,0,1,8,4,1,1,1,3,9,-3
2025-10-26,DET,BOS,0,6,35.13,14,7,7,2,2,2,2,8,4,0,0,1,3,18,7
2025-10-27,DET,CLE,0,-21,17.82,8,2,5,2,4,4,0,3,1,1,0,2,5,10,-18
2025-10-29,DET,ORL,0,19,30.38,13,8,4,1,6,6,0,2,3,2,0,3,2,23,8
2025-11-01,DET,DAL,0,12,35.52,12,3,5,1,4,5,0,6,1,0,0,1,3,11,8
2025-11-22,DET,MIL,1,13,22.98,9,7,5,3,1,3,0,5,4,0,1,0,0,18,25
2025-11-24,DET,IND,1,5,25.82,8,4,2,1,3,3,0,1,2,1,0,1,4,12,2
2025-11-26,DET,BOS,1,-3,27.02,8,4,5,1,3,3,0,4,3,0,2,0,2,12,0
2025-11-28,DET,ORL,0,-3,29.92,15,8,4,1,1,1,2,5,1,0,0,0,4,18,15
2025-11-29,DET,MIA,1,3,30.6,12,10,6,4,2,4,1,4,2,0,0,3,3,26,-14
2025-12-01,DET,ATL,0,1,26.17,14,2,5,1,4,4,2,7,1,0,0,3,1,9,-16
2025-12-03,DET,MIL,1,-4,29.02,14,7,8,5,1,2,1,5,0,0,0,0,0,20,-5
2025-12-05,DET,POR,0,6,31.13,10,3,3,1,3,4,2,4,4,0,0,1,1,10,1
2025-12-12,DET,ATL,0,27,21.08,9,4,2,1,0,0,0,3,1,3,0,1,3,9,8
2025-12-15,DET,BOS,1,7,31.82,11,4,5,0,5,6,2,7,3,0,0,0,2,13,7
2025-12-18,DET,DAL,1,,18.18,5,0,2,0,0,0,0,4,3,0,0,0,2,0,-22
2025-12-20,DET,CHO,0,26,27.25,8,5,1,0,6,8,2,5,3,1,1,1,2,16,22
2025-12-22,DET,POR,1,8,33.02,14,5,3,0,2,2,4,4,4,0,1,1,1,12,17
2025-12-23,DET,SAC,1,9,29.17,16,10,6,3,1,1,1,4,4,0,0,1,0,24,0
2025-12-26,DET,UTA,1,-2,27.27,13,6,5,1,3,3,2,7,4,1,0,0,2,16,-5
2025-12-28,DET,LAC,1,-13,21.62,5,2,2,0,2,2,0,0,1,3,0,2,2,6,-15
2025-12-30,DET,LAL,1,22,05.8,2,2,1,1,2,2,0,0,0,0,0,1,0,7,1
2026-01-15,DET,PHO,0,3,28.52,11,6,2,0,4,4,2,7,2,5,0,0,0,16,22
2026-01-17,DET,IND,0,43,17.83,5,3,1,1,0,0,0,5,4,1,0,3,2,7,27
2026-01-19,DET,BOS,0,1,34.88,20,11,8,3,0,0,0,3,1,0,1,1,4,25,0
2026-01-21,DET,NOP,1,8,30.5,13,4,6,2,0,0,1,6,3,0,0,3,2,10,8
2026-01-23,DET,HOU,0,-7,25.53,6,1,3,0,2,3,0,1,1,2,0,1,2,4,-16
2026-01-25,DET,SAC,0,23,24.48,12,6,6,4,0,0,1,2,3,2,0,1,0,16,17
2026-01-27,DET,DEN,1,2,31.32,15,10,2,0,2,2,1,8,3,2,0,0,1,22,6
2026-01-29,DET,PHO,1,-18,29.55,9,5,4,3,0,0,1,5,1,1,0,2,1,13,-2
2026-01-30,DET,GSW,1,7,34.28,10,3,2,0,9,9,1,8,3,2,0,2,2,15,-2
2026-02-01,DET,BRK,0,53,19.75,4,2,2,1,6,6,0,2,3,1,0,0,0,11,33
2026-02-03,DET,DEN,0,3,33.53,13,4,4,2,1,1,1,6,3,0,0,2,3,11,3
2026-02-06,DET,NYK,0,38,25.87,11,5,6,3,2,2,1,6,1,0,0,1,1,15,21
2026-02-09,DET,CHO,1,6,34.92,11,4,4,1,2,2,0,5,1,1,1,1,0,11,15
2026-02-11,DET,TOR,1,18,31.25,9,4,4,1,3,4,2,12,0,0,1,0,1,12,13
2026-02-19,DET,NYK,1,15,31.58,16,4,5,1,2,4,1,10,5,1,1,2,2,11,17
2026-02-21,DET,CHI,1,16,30.27,14,8,5,2,0,0,0,6,1,4,0,1,1,18,3
2026-02-23,DET,SAS,0,-11,29.85,6,1,1,0,2,2,2,8,2,0,0,2,1,4,2
2026-02-25,DET,OKC,0,8,23.77,5,2,2,0,0,0,0,8,1,0,1,0,1,4,2
2026-02-27,DET,CLE,0,,36.95,13,5,4,1,0,0,0,5,5,6,0,0,1,11,-1
2026-03-01,DET,ORL,1,14,32.57,18,10,4,1,2,2,2,7,1,2,1,0,1,23,6
2026-03-03,DET,CLE,1,-4,30.85,12,6,3,1,6,7,0,5,0,0,0,0,0,19,9
2026-03-05,DET,SAS,1,-15,30.75,6,2,3,1,6,6,0,4,1,0,0,1,2,11,-12
2026-03-07,DET,BRK,0,-2,33.78,14,8,3,1,1,1,2,10,0,1,0,3,4,18,4
2026-03-08,DET,MIA,1,-11,24.27,6,3,2,0,3,3,0,1,0,0,3,0,2,9,-12
