Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-27,DET,CLE,0,-21,06.07,4,3,0,0,5,7,2,4,0,1,0,1,0,11,12
2025-11-12,DET,CHI,0,11,16.18,4,3,0,0,0,0,2,7,2,0,1,0,2,6,-14
2026-01-05,DET,NYK,0,31,05.02,0,0,0,0,0,0,0,2,1,0,0,1,1,0,5
2026-01-07,DET,CHI,0,15,01.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2026-01-10,DET,LAC,0,-6,26.12,7,1,0,0,7,8,6,14,1,1,4,2,3,9,0
2026-02-11,DET,TOR,1,18,15.32,3,1,0,0,1,3,2,3,2,0,0,1,2,3,-3
2026-02-19,DET,NYK,1,15,18.48,3,2,0,0,0,0,1,2,0,0,0,0,5,4,1
2026-03-19,DET,WAS,1,22,02.5,2,1,0,0,0,0,1,2,0,0,0,0,0,2,1
2026-03-20,DET,GSW,0,14,03.6,1,1,0,0,0,0,0,0,1,0,0,0,1,2,-6
2026-03-26,DET,NOP,0,21,02.23,1,1,0,0,0,0,1,1,1,0,0,1,0,2,0
2026-03-28,DET,MIN,1,22,02.02,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
2026-03-30,DET,OKC,1,,18.85,3,1,0,0,2,4,4,7,3,0,1,1,2,4,1
2026-04-06,DET,ORL,1,-16,13.03,5,3,0,0,2,4,1,3,1,0,0,0,3,8,8
2026-04-08,DET,MIL,0,26,00.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-04-12,DET,IND,1,12,05.87,2,1,0,0,3,4,2,3,1,0,0,0,1,5,-4
