Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,CHO,BRK,0,19,20.65,7,4,3,2,2,3,1,3,6,1,0,2,1,12,15
2025-10-25,CHO,PHI,1,-4,22.05,7,1,5,0,2,2,1,5,2,0,0,3,4,4,4
2025-10-26,CHO,WAS,1,26,12.12,4,0,2,0,0,0,0,2,0,1,0,0,2,0,-4
2025-10-28,CHO,MIA,1,-27,26.88,15,3,8,2,0,0,1,3,5,2,0,3,1,8,-31
2025-10-30,CHO,ORL,0,-16,15.73,9,4,4,1,0,0,1,2,0,0,0,2,2,9,-11
2025-11-01,CHO,MIN,0,-17,22.6,15,6,7,2,2,2,0,1,5,1,0,1,3,16,-4
2025-11-02,CHO,UTA,0,23,22.1,11,4,7,3,2,2,1,4,0,0,0,0,4,13,-2
2025-11-04,CHO,NOP,1,-4,24.4,13,8,6,2,0,0,1,2,2,2,0,4,2,18,-9
2025-11-07,CHO,MIA,1,-18,35.38,24,7,8,2,4,4,1,9,7,1,0,4,4,20,0
2025-11-10,CHO,LAL,0,-10,18.07,6,2,5,2,0,0,1,2,5,0,0,2,1,6,3
2025-11-12,CHO,MIL,0,11,25.42,10,5,7,3,0,0,0,1,3,0,1,3,3,13,-6
2025-11-14,CHO,MIL,1,,29.23,10,4,3,1,0,0,1,7,7,0,0,3,2,9,-23
2025-11-15,CHO,OKC,0,-13,20.82,14,4,6,2,0,0,1,2,1,0,1,0,1,10,-15
2025-11-17,CHO,TOR,1,-2,12.32,3,2,1,0,0,0,0,1,0,3,0,0,2,4,-3
2025-11-23,CHO,ATL,1,-3,16.83,6,1,4,1,0,0,0,1,1,0,0,3,1,3,-14
2025-11-26,CHO,NYK,0,-28,20.83,13,6,7,3,0,0,1,3,3,0,0,2,2,15,-18
2025-11-28,CHO,CHI,0,7,14.38,5,2,4,1,0,0,0,1,0,0,0,2,2,5,-6
2025-11-29,CHO,TOR,0,,10.55,2,0,2,0,0,0,1,1,1,0,0,0,1,0,-5
2025-12-20,CHO,DET,1,-26,17.83,6,1,2,0,1,2,2,4,3,2,0,2,3,3,5
2025-12-22,CHO,CLE,1,-7,17.33,13,5,5,3,0,0,4,5,3,0,1,1,1,13,12
2025-12-23,CHO,WAS,0,17,11.63,5,1,5,1,0,0,0,2,1,0,0,0,2,3,-7
2025-12-26,CHO,ORL,1,15,08.45,2,0,2,0,0,0,0,2,3,0,0,0,0,0,5
2025-12-29,CHO,MIL,0,-10,04.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-01-05,CHO,OKC,1,27,02.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2026-01-10,CHO,UTA,1,55,12.0,10,7,6,4,2,2,0,1,1,1,0,0,2,20,4
2026-01-12,CHO,LAC,1,-8,12.53,6,4,2,1,0,0,0,1,1,0,0,0,3,9,-1
2026-01-17,CHO,GSW,1,-20,04.25,3,1,2,1,0,0,0,1,2,0,0,0,0,3,-3
2026-01-18,CHO,DEN,1,23,12.0,3,1,1,0,0,0,1,2,1,0,0,1,2,2,-7
2026-01-26,CHO,PHI,0,37,12.0,2,1,2,1,1,2,0,0,3,0,0,2,1,4,-13
2026-01-28,CHO,MEM,1,15,02.97,2,1,2,1,0,0,0,0,0,0,0,0,0,3,-4
2026-02-05,CHO,HOU,1,10,16.8,10,1,5,1,2,2,1,5,3,0,0,2,1,5,8
2026-02-07,CHO,ATL,1,7,10.27,2,1,1,1,0,0,0,1,2,0,1,2,1,3,3
2026-02-09,CHO,DET,0,-6,13.5,6,2,3,1,0,0,0,4,2,1,0,1,3,5,10
2026-02-11,CHO,ATL,0,3,15.6,4,2,2,1,0,0,0,0,0,2,0,0,0,5,-1
2026-02-19,CHO,HOU,0,-4,18.15,6,2,4,1,0,0,0,3,0,1,0,0,0,5,-6
2026-02-20,CHO,CLE,0,-5,12.62,4,1,1,1,0,0,0,1,2,0,0,3,3,3,-9
2026-02-22,CHO,WAS,1,17,20.52,8,2,3,0,2,2,0,0,3,2,0,0,2,6,-3
2026-02-24,CHO,CHI,1,32,07.83,5,3,2,1,0,0,0,4,1,1,1,0,0,7,-2
2026-02-26,CHO,IND,1,24,09.92,3,1,3,1,1,2,0,3,2,0,0,0,1,4,-4
2026-02-28,CHO,POR,0,16,01.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
2026-03-03,CHO,DAL,0,27,03.72,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-8
2026-03-04,CHO,BOS,1,29,04.28,3,0,2,0,0,0,0,0,0,1,0,1,1,0,2
2026-03-08,CHO,PHO,1,-12,01.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-03-17,CHO,MIA,0,30,03.55,1,0,1,0,2,2,0,0,1,1,0,0,1,2,2
2026-03-19,CHO,ORL,0,19,06.83,3,1,1,1,0,0,0,0,1,1,0,2,1,3,-8
2026-03-21,CHO,MEM,0,23,02.88,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-3
2026-03-24,CHO,SAC,0,44,07.48,4,2,3,2,0,0,0,0,0,0,0,1,0,6,-2
2026-03-29,CHO,BOS,0,-15,03.87,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2
