Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-03-12,MEM,DAL,0,-8,29.43,9,1,7,1,0,0,0,1,0,0,1,1,3,3,-1
2026-03-13,MEM,DET,1,-16,27.02,9,1,5,1,1,2,2,5,1,1,0,2,2,4,-24
2026-03-16,MEM,CHI,1,-25,21.42,6,2,3,1,3,4,2,8,1,2,0,2,2,8,-4
2026-03-18,MEM,DEN,0,7,13.33,4,1,3,0,3,3,0,3,0,2,1,0,2,5,-2
2026-03-20,MEM,BOS,0,-5,32.45,13,7,9,5,4,4,0,5,2,0,0,2,4,23,-8
2026-03-21,MEM,CHO,1,-23,28.7,8,3,5,2,2,2,1,4,1,0,0,0,3,10,-8
2026-03-23,MEM,ATL,1,-39,28.48,11,6,4,1,7,7,2,8,1,1,0,1,0,20,-17
2026-03-25,MEM,SAS,0,-25,23.8,7,2,5,2,0,0,0,2,1,2,1,1,6,6,-13
2026-03-27,MEM,HOU,0,-10,25.15,10,2,7,1,0,0,1,2,1,1,0,0,3,5,-14
2026-03-28,MEM,CHI,0,1,26.57,15,7,7,3,1,3,0,5,3,1,1,0,3,18,-16
2026-03-30,MEM,PHO,0,-26,31.88,13,7,7,3,0,0,0,4,1,1,0,2,2,17,-21
