Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,SAS,DAL,1,33,29.68,21,15,2,1,9,11,1,15,1,1,3,0,4,40,31
2025-10-24,SAS,NOP,1,,32.3,23,13,3,0,3,4,3,11,2,1,9,0,6,29,-12
2025-10-26,SAS,BRK,0,11,36.47,21,9,6,3,10,15,1,14,4,3,6,2,3,31,13
2025-10-27,SAS,TOR,0,18,30.65,8,7,0,0,10,10,2,15,4,1,1,4,1,24,35
2025-10-30,SAS,MIA,0,6,39.7,23,10,5,1,6,8,2,18,6,1,5,3,3,27,3
2025-11-02,SAS,PHO,1,-12,34.45,14,4,5,1,0,0,2,9,2,1,4,6,4,9,-3
2025-11-05,SAS,LAL,1,-2,32.68,14,5,2,0,9,11,2,8,3,1,1,5,6,19,-2
2025-11-07,SAS,HOU,0,11,37.2,16,8,2,0,6,6,1,8,4,1,2,4,5,22,5
2025-11-08,SAS,NOP,0,7,32.45,19,8,9,2,0,0,0,18,3,1,3,5,2,18,5
2025-11-10,SAS,CHI,1,4,35.92,19,11,9,6,10,10,1,12,5,1,5,3,4,38,13
2025-11-12,SAS,GSW,0,-5,36.35,22,11,7,3,6,6,6,15,10,0,1,8,5,31,-9
2025-11-14,SAS,GSW,0,-1,38.23,21,10,8,3,3,3,3,12,4,1,3,3,1,26,6
2025-12-13,SAS,OKC,1,2,20.65,11,6,1,1,9,12,2,9,2,1,2,5,2,22,21
2025-12-18,SAS,WAS,0,25,17.3,11,6,3,1,2,2,2,8,4,0,4,2,1,15,14
2025-12-19,SAS,ATL,1,28,21.47,15,10,4,2,4,7,3,12,3,1,2,2,1,26,29
2025-12-21,SAS,WAS,1,11,21.5,13,6,3,0,2,3,2,12,2,0,2,2,1,14,5
2025-12-23,SAS,OKC,0,20,23.13,9,5,1,1,1,2,3,5,3,0,0,3,3,12,13
2025-12-25,SAS,OKC,1,15,25.8,12,6,3,2,5,5,1,11,2,1,1,3,2,19,13
2025-12-27,SAS,UTA,0,-13,27.7,21,12,4,0,8,8,2,7,3,0,5,3,3,32,-6
2025-12-29,SAS,CLE,0,-12,27.32,16,7,6,2,10,12,2,14,3,1,1,2,1,26,-17
2025-12-31,SAS,NYK,0,2,23.72,12,10,2,2,9,10,2,13,1,0,1,3,3,31,17
2026-01-06,SAS,MEM,1,-1,21.02,20,10,6,3,7,8,0,5,3,1,1,2,2,30,2
2026-01-07,SAS,LAL,0,16,25.97,15,7,3,0,2,4,1,14,2,2,4,4,3,16,9
2026-01-10,SAS,BOS,1,5,26.42,17,8,4,1,4,4,0,6,1,0,3,0,0,21,15
2026-01-11,SAS,MIN,1,-1,26.98,18,8,9,3,10,10,1,7,1,3,0,1,5,29,17
2026-01-13,SAS,OKC,1,-21,27.73,15,7,1,0,3,6,4,7,1,0,1,1,2,17,-14
2026-01-15,SAS,MIL,0,18,21.72,12,7,6,5,3,3,1,10,1,0,2,1,2,22,27
2026-01-17,SAS,MIN,0,3,30.52,23,12,9,4,11,14,4,9,3,0,2,2,2,39,5
2026-01-19,SAS,UTA,0,13,26.38,18,10,12,7,6,6,1,10,1,2,2,1,3,33,8
2026-01-20,SAS,HOU,1,-5,29.7,21,5,7,0,4,4,5,10,2,0,0,1,4,14,-14
2026-01-22,SAS,UTA,1,17,32.62,14,9,7,4,4,4,1,14,3,1,5,3,2,26,19
2026-01-25,SAS,NOP,0,-9,31.35,16,6,10,2,2,6,1,16,0,0,4,3,3,16,-12
2026-01-28,SAS,HOU,1,12,28.6,15,8,3,0,12,15,3,16,3,2,5,4,4,28,6
2026-01-31,SAS,CHO,1,-5,30.6,15,6,3,0,4,4,3,8,1,1,0,2,2,16,-14
2026-02-01,SAS,ORL,0,9,27.95,13,7,4,0,11,15,0,8,2,4,5,2,3,25,14
2026-02-04,SAS,OKC,0,10,28.35,16,9,2,1,3,8,3,14,2,0,2,2,1,22,17
2026-02-05,SAS,DAL,1,12,34.45,14,9,9,5,6,8,3,11,6,2,3,3,4,29,14
2026-02-07,SAS,DAL,0,13,26.72,14,6,6,1,3,4,3,11,1,0,3,0,1,16,3
2026-02-10,SAS,LAL,1,28,26.1,20,13,6,4,10,12,1,12,2,2,1,4,2,40,22
2026-02-11,SAS,GSW,1,13,33.48,17,8,9,2,8,10,0,9,4,1,2,1,2,26,7
2026-02-19,SAS,PHO,0,27,24.75,15,7,4,1,2,2,1,11,4,1,5,1,1,17,23
2026-02-21,SAS,SAC,0,17,29.75,20,11,5,1,5,7,1,15,6,1,4,1,3,28,32
2026-02-23,SAS,DET,1,11,35.6,16,6,5,2,7,8,8,17,4,1,6,3,4,21,13
2026-02-25,SAS,TOR,1,3,29.65,12,3,6,1,5,6,0,8,3,1,5,3,2,12,19
2026-02-26,SAS,BRK,1,16,25.95,9,3,4,0,6,6,2,8,5,2,2,1,5,12,15
2026-03-01,SAS,NYK,1,-25,34.2,17,8,7,1,8,9,1,13,2,0,4,7,2,25,-15
2026-03-03,SAS,PHI,1,40,24.12,5,3,1,1,3,5,0,8,4,3,6,3,0,10,41
2026-03-05,SAS,DET,0,15,38.85,24,12,10,4,10,11,2,16,3,0,5,0,5,38,20
2026-03-06,SAS,LAC,0,4,21.55,21,11,9,4,1,2,3,10,1,1,4,1,2,27,10
2026-03-08,SAS,HOU,0,25,30.33,13,9,5,2,9,10,1,8,1,2,4,0,1,29,27
2026-03-10,SAS,BOS,0,9,36.57,20,11,15,8,9,12,2,11,3,1,2,6,2,39,5
2026-03-14,SAS,CHO,0,13,31.35,24,13,10,5,1,2,2,12,8,2,4,2,3,32,6
2026-03-16,SAS,LAC,1,4,33.85,20,9,9,2,1,3,1,13,2,1,4,3,0,21,7
2026-03-17,SAS,SAC,1,28,22.0,14,7,7,2,2,2,0,8,3,0,1,0,2,18,23
2026-03-19,SAS,PHO,0,1,34.85,20,10,7,2,12,12,2,12,1,3,1,3,2,34,18
2026-03-21,SAS,IND,0,15,26.13,18,8,4,1,3,3,2,8,6,1,5,2,2,20,14
2026-03-23,SAS,MIA,1,25,26.32,22,11,7,1,3,3,3,15,4,0,5,2,3,26,19
2026-03-25,SAS,MEM,1,25,26.93,15,8,3,1,2,3,6,15,3,3,7,2,1,19,34
2026-03-28,SAS,MIL,1,32,30.68,21,7,3,0,9,10,4,15,6,2,1,3,1,23,14
2026-03-30,SAS,CHI,0,15,30.5,27,17,6,3,4,4,6,16,4,1,3,2,2,41,15
2026-04-01,SAS,GSW,1,14,28.93,22,16,6,2,7,8,0,18,3,0,3,0,0,41,16
2026-04-04,SAS,DEN,1,,39.6,17,8,6,2,16,17,2,18,7,1,5,1,3,34,4
2026-04-06,SAS,PHI,0,13,15.67,11,7,3,1,2,4,0,5,1,0,3,2,2,17,7
2026-04-10,SAS,DAL,0,19,26.22,23,14,7,2,10,11,3,13,5,1,2,2,0,40,10
