Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-21,GSW,LAL,1,10,13.58,2,2,1,1,0,0,1,1,1,1,0,0,2,5,-11
2025-10-23,GSW,DEN,0,,16.7,5,2,4,1,1,2,1,5,3,1,0,0,1,6,-3
2025-10-24,GSW,POR,1,-20,24.62,4,2,3,1,2,2,0,2,2,2,0,2,4,7,-13
2025-10-27,GSW,MEM,0,13,09.43,3,2,1,0,0,0,1,2,1,1,0,1,2,4,1
2025-10-28,GSW,LAC,0,19,06.33,3,2,2,1,0,0,0,0,0,1,0,1,1,5,-9
2025-10-30,GSW,MIL,1,-10,11.75,2,2,1,1,2,2,0,0,1,2,0,0,0,7,-10
2025-11-05,GSW,SAC,1,-5,34.5,15,10,8,5,5,7,5,7,3,1,0,1,3,30,1
2025-11-07,GSW,DEN,1,-25,18.88,10,5,5,1,1,1,2,3,2,0,0,0,2,12,-10
2025-11-09,GSW,IND,0,31,19.48,8,4,2,0,7,8,1,3,1,1,0,0,1,15,19
2025-11-11,GSW,OKC,1,-24,22.02,6,3,5,3,0,1,0,0,1,1,0,0,4,9,-4
2025-11-12,GSW,SAS,1,5,21.68,2,1,2,1,0,0,0,1,1,1,0,3,3,3,1
2025-11-14,GSW,SAS,1,1,15.92,7,4,5,2,0,0,0,1,0,2,1,0,4,10,0
2025-11-16,GSW,NOP,1,18,22.22,9,4,5,1,0,0,5,7,1,0,0,2,1,9,11
2025-11-18,GSW,ORL,1,-8,15.3,2,2,1,1,1,2,0,0,2,1,0,1,3,6,-4
2025-11-19,GSW,MIA,1,-14,18.08,3,0,2,0,0,0,1,3,0,0,0,1,1,0,-25
2025-11-21,GSW,POR,0,-4,09.32,2,1,1,0,0,0,0,2,1,0,0,0,2,2,-4
2025-11-24,GSW,UTA,0,17,21.7,7,3,4,2,1,2,2,6,1,2,0,0,2,9,29
2025-11-26,GSW,HOU,0,-4,28.02,12,7,7,2,2,2,3,6,0,2,0,0,4,18,1
2025-11-29,GSW,NOP,0,8,19.53,4,1,3,1,0,0,0,2,0,0,0,0,1,3,-2
2025-12-02,GSW,OKC,0,-12,25.4,5,2,3,1,0,0,0,4,2,0,0,0,1,5,-4
2025-12-04,GSW,PHI,1,-1,20.37,2,2,1,1,0,0,0,0,2,2,0,2,2,5,10
2025-12-06,GSW,CLE,1,5,20.6,4,1,2,0,2,2,1,3,0,1,0,1,1,4,-1
2025-12-07,GSW,CHI,1,32,24.18,5,3,5,3,0,0,1,4,0,1,0,0,2,9,36
2025-12-20,GSW,PHO,0,3,19.25,7,6,4,4,4,4,2,5,0,0,0,2,3,20,1
2025-12-22,GSW,ORL,0,23,12.97,2,0,2,0,0,0,0,1,1,0,0,0,2,0,-1
2025-12-25,GSW,DAL,0,10,12.73,6,2,5,1,0,0,1,2,1,0,0,0,0,5,1
2025-12-28,GSW,TOR,1,,35.12,7,3,5,1,3,4,2,7,1,5,1,2,4,10,-15
2025-12-29,GSW,BRK,1,13,22.85,7,4,4,1,1,1,0,1,3,2,0,1,1,10,22
2025-12-31,GSW,CHO,1,7,16.98,3,2,2,1,0,0,2,2,3,1,0,2,3,5,1
2026-01-02,GSW,OKC,0,-37,27.2,15,5,6,2,1,1,3,5,1,1,0,1,0,13,-19
2026-01-03,GSW,UTA,0,9,17.85,5,3,4,2,0,0,0,2,0,0,0,2,2,8,-1
2026-01-05,GSW,LAC,1,-1,10.58,2,0,1,0,0,0,0,1,2,0,0,0,0,0,-5
2026-01-07,GSW,MIL,0,7,13.23,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2026-01-09,GSW,SAC,0,34,16.38,2,1,1,0,0,0,1,2,1,1,0,0,1,2,18
2026-01-11,GSW,ATL,0,-13,12.33,2,0,1,0,0,0,0,1,2,0,0,3,3,0,-5
2026-01-13,GSW,POR,0,22,18.5,5,2,5,2,2,2,0,0,0,2,1,1,0,8,1
2026-01-15,GSW,NYK,0,13,15.35,1,1,1,1,0,0,0,0,0,0,0,0,0,3,-2
2026-01-17,GSW,CHO,0,20,30.68,12,5,5,1,0,0,3,6,5,3,1,1,3,11,24
2026-01-19,GSW,MIA,0,23,26.0,5,2,3,1,0,0,1,3,7,2,1,0,3,5,19
2026-01-20,GSW,TOR,0,-18,23.32,4,0,3,0,0,0,0,0,1,1,0,1,2,0,7
2026-01-22,GSW,DAL,1,-8,13.48,1,0,1,0,0,0,0,0,2,3,0,0,2,0,-5
2026-01-25,GSW,MIN,1,26,23.55,9,4,5,2,0,0,1,2,1,3,0,1,1,10,7
2026-01-26,GSW,MIN,1,-25,28.17,9,2,6,0,0,0,0,2,3,6,0,1,1,4,-11
2026-01-28,GSW,UTA,1,16,20.37,8,5,6,3,0,0,2,5,3,3,0,2,2,13,-3
2026-01-30,GSW,DET,0,-7,15.15,1,0,1,0,0,0,1,2,1,0,0,1,1,0,-8
2026-02-03,GSW,PHI,0,-19,13.1,3,1,3,1,0,0,1,2,1,0,0,2,0,3,-7
2026-02-05,GSW,PHO,1,4,27.28,6,2,4,1,2,2,3,3,2,1,0,0,2,7,16
2026-02-07,GSW,LAL,1,-6,10.37,2,0,2,0,0,0,0,0,1,0,0,1,1,0,-13
2026-02-09,GSW,MEM,0,1,14.92,1,1,1,1,0,0,1,4,0,0,0,2,5,3,-6
2026-02-19,GSW,BOS,0,-11,24.4,11,6,7,3,2,2,2,5,2,1,1,0,3,17,-13
2026-02-22,GSW,DEN,0,11,29.57,9,4,4,1,2,2,0,2,3,1,0,0,3,11,10
2026-02-24,GSW,NOP,1,-4,17.47,1,0,1,0,0,0,1,2,0,2,0,0,1,0,-19
2026-02-25,GSW,MEM,1,21,29.58,15,9,6,2,1,1,3,5,6,3,0,1,2,21,6
2026-02-28,GSW,LAL,0,-28,04.53,3,2,0,0,0,0,1,1,0,0,1,1,1,4,-9
2026-03-10,GSW,CHI,0,,31.73,9,3,5,1,1,1,2,4,1,3,0,1,3,8,-4
2026-03-13,GSW,MIN,0,-10,29.27,3,0,3,0,0,0,1,5,0,1,0,1,3,0,1
2026-03-15,GSW,NYK,1,-3,29.02,3,2,2,1,0,0,1,2,1,3,0,2,4,5,7
2026-03-16,GSW,WAS,1,8,32.22,6,0,4,0,0,0,1,3,2,1,0,0,3,0,-2
