Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,BOS,PHI,0,-1,15.65,8,2,3,0,0,0,3,7,1,2,1,0,4,4,0
2025-10-24,BOS,NYK,1,-10,13.75,3,3,1,1,0,0,2,3,0,0,0,1,2,7,-9
2025-10-27,BOS,NOP,1,32,06.5,2,2,0,0,0,0,0,0,1,0,0,0,0,4,8
2025-10-29,BOS,CLE,0,20,03.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
2025-10-31,BOS,PHI,1,1,12.9,4,2,3,1,0,0,1,4,1,0,0,0,1,5,-1
2025-11-01,BOS,HOU,0,-27,01.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2025-11-03,BOS,UTA,0,-2,06.4,1,0,1,0,0,0,1,2,1,1,0,0,0,0,-10
2025-11-18,BOS,BRK,1,14,04.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-5
2025-11-30,BOS,CLE,1,2,29.83,9,4,5,1,0,0,3,6,0,3,1,2,0,9,0
2025-12-04,BOS,WAS,1,45,04.72,0,0,0,0,0,0,0,1,0,0,0,1,2,0,9
2025-12-05,BOS,LAL,0,21,03.3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-4
2026-01-17,BOS,ATL,1,26,04.92,1,0,1,0,0,0,0,1,0,0,0,1,0,0,-12
2026-01-19,BOS,DET,1,-1,01.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-02-04,BOS,HOU,1,21,01.68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
2026-02-11,CHO,ATL,0,3,01.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-02-19,CHO,HOU,0,-4,00.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-20,CHO,CLE,0,-5,00.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-02-22,CHO,WAS,1,17,03.65,1,0,0,0,0,0,1,1,0,0,0,1,1,0,-4
2026-02-24,CHO,CHI,1,32,07.12,3,1,2,0,0,0,2,3,0,0,0,0,0,2,-6
2026-02-28,CHO,POR,0,16,01.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-03-04,CHO,BOS,1,29,04.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
2026-03-11,CHO,SAC,1,8,14.02,3,1,0,0,0,0,3,6,3,0,0,0,2,2,-7
2026-03-17,CHO,MIA,0,30,02.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2026-03-19,CHO,ORL,0,19,01.93,1,0,0,0,0,2,0,0,0,1,0,0,0,0,-4
2026-03-24,CHO,SAC,0,44,07.48,1,0,0,0,1,2,2,3,3,1,0,1,1,1,-2
