Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,LAC,UTA,1,-21,03.85,1,1,0,0,2,4,1,1,0,0,0,0,0,4,6
2025-10-24,LAC,PHO,0,27,04.77,3,3,0,0,0,0,1,1,0,0,0,0,1,6,1
2025-10-28,LAC,GSW,1,-19,04.62,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4
2025-11-04,LAC,OKC,0,-19,06.58,2,1,0,0,3,4,1,2,0,0,0,1,1,5,3
2025-11-06,LAC,PHO,1,-13,02.62,2,2,0,0,0,0,0,1,0,0,1,0,0,4,1
2025-11-20,LAC,ORL,1,-28,10.62,3,3,0,0,0,0,1,1,1,0,1,1,1,6,-13
2025-11-22,LAC,CHO,1,15,03.27,2,0,0,0,0,0,2,2,0,0,0,0,1,0,-9
2025-11-23,LAC,CLE,1,-15,03.53,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
2025-11-25,LAC,LAL,1,-17,01.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2025-12-01,LAC,MIA,1,-17,12.42,4,3,0,0,0,2,0,1,0,0,1,1,0,6,-5
2025-12-03,LAC,ATL,1,23,02.6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2025-12-15,LAC,MEM,0,-18,03.67,0,0,0,0,2,2,0,1,0,0,0,1,0,2,5
2025-12-23,LAC,HOU,0,20,15.32,1,1,0,0,1,2,1,2,0,1,0,0,5,3,-4
2025-12-26,LAC,POR,1,16,12.42,1,0,0,0,0,1,0,2,0,0,2,1,4,0,4
2025-12-28,LAC,DET,0,13,12.28,1,1,0,0,0,0,1,2,0,1,0,1,4,2,0
2025-12-30,LAC,SAC,0,41,25.08,8,6,1,0,4,6,2,6,2,0,1,1,1,16,27
2026-01-01,LAC,UTA,0,17,27.02,7,3,0,0,0,0,6,10,1,0,2,1,4,6,18
2026-01-03,LAC,BOS,0,-31,05.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-7
2026-01-07,LAC,NYK,1,-12,01.53,2,0,0,0,1,2,1,2,0,0,0,0,0,1,1
2026-01-09,LAC,BRK,1,16,02.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2026-01-12,LAC,CHO,0,8,00.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-01-14,LAC,WAS,0,14,22.87,7,7,0,0,2,2,1,5,2,0,2,2,4,16,14
2026-01-16,LAC,TOR,1,,13.6,1,0,0,0,5,6,0,2,0,0,0,1,1,5,-14
2026-01-20,LAC,CHI,1,-28,12.0,4,2,1,0,0,0,1,4,0,0,1,1,1,4,-9
2026-01-25,LAC,BRK,0,37,06.93,2,2,0,0,0,0,1,2,0,0,0,0,1,4,2
2026-01-27,LAC,UTA,1,12,05.72,1,0,1,0,0,0,0,0,0,0,0,0,2,0,-8
2026-01-30,LAC,DEN,1,-13,02.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-02-01,LAC,PHO,1,24,02.95,1,1,0,0,1,1,0,1,0,0,1,0,0,3,7
2026-02-02,LAC,PHI,0,-15,05.77,1,1,0,0,0,0,1,3,0,0,0,1,3,2,2
2026-02-04,LAC,CLE,0,-33,24.92,4,4,0,0,2,2,0,8,0,0,2,3,4,10,-16
2026-02-06,LAC,SAC,1,3,05.78,1,1,0,0,0,0,0,0,0,0,0,1,0,2,-1
2026-02-08,LAC,MIN,1,19,17.38,5,5,0,0,5,7,3,6,2,0,1,1,6,15,7
2026-02-10,LAC,HOU,1,-7,13.45,3,1,0,0,1,2,2,4,0,0,2,1,1,3,-7
2026-02-11,LAC,HOU,1,3,10.2,1,0,0,0,0,0,2,3,0,0,2,0,1,0,-1
2026-02-19,LAC,DEN,0,1,13.23,3,2,0,0,0,0,0,4,1,0,0,0,4,4,7
2026-02-20,LAC,LAL,1,-3,13.13,3,2,0,0,2,2,1,3,1,1,0,2,3,6,-3
2026-02-22,LAC,ORL,0,-2,26.0,7,3,2,1,0,0,3,8,0,0,4,1,1,7,2
2026-02-26,LAC,MIN,0,-6,15.67,5,2,0,0,6,6,1,4,0,0,0,1,4,10,-6
2026-03-01,LAC,NOP,0,20,19.9,3,2,0,0,3,3,0,6,0,0,1,0,5,7,10
2026-03-02,LAC,GSW,1,13,21.22,6,3,0,0,5,6,2,9,0,2,4,0,3,11,10
2026-03-04,LAC,IND,0,23,08.25,2,2,0,0,2,2,1,4,0,0,2,0,0,6,14
