Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,ATL,TOR,0,-20,20.6,13,7,6,2,0,0,2,2,0,0,1,0,1,16,-14
2025-10-27,ATL,CHI,1,-5,20.32,5,1,2,0,0,0,0,0,0,0,0,1,1,2,13
2025-10-29,ATL,BRK,1,5,27.8,7,2,2,1,3,4,0,3,0,1,1,0,2,8,-3
2025-10-31,ATL,IND,1,20,22.58,12,5,7,3,0,0,1,1,1,1,1,1,4,13,6
2025-11-02,ATL,CLE,1,-8,24.0,8,4,2,0,0,0,0,2,5,3,0,2,1,8,-8
2025-11-04,ATL,ORL,0,15,25.5,14,7,8,3,4,4,1,4,1,1,0,0,2,21,14
2025-11-07,ATL,TOR,0,-12,30.43,16,6,5,1,3,3,2,5,0,2,1,0,4,16,4
2025-11-08,ATL,LAL,0,20,27.1,14,7,7,3,2,2,0,1,4,2,0,1,1,19,18
2025-11-10,ATL,LAC,1,3,31.0,11,4,6,2,1,4,0,5,0,1,2,2,0,11,0
2025-11-12,ATL,SAC,1,33,22.22,8,7,2,1,0,1,0,3,1,1,1,2,2,15,41
2025-11-13,ATL,UTA,1,10,19.18,7,5,3,1,0,1,1,3,2,0,0,0,2,11,8
2025-11-16,ATL,PHO,1,2,26.1,13,6,8,3,0,0,0,3,4,2,0,1,1,15,3
2025-11-20,ATL,SAS,1,-9,20.65,10,1,5,0,0,0,1,2,1,0,0,1,3,2,2
2025-11-22,ATL,NOP,1,17,22.53,11,4,6,0,0,2,0,3,4,1,1,0,3,8,6
2025-11-23,ATL,CHO,0,3,21.6,5,2,3,1,0,0,2,2,3,0,1,0,0,5,4
2025-11-25,ATL,WAS,1,-19,29.85,12,6,9,4,1,2,2,5,0,2,3,1,2,17,-11
2025-11-28,ATL,CLE,0,7,26.83,6,5,3,2,2,2,0,3,1,0,0,2,1,14,16
2025-11-30,ATL,PHI,1,,29.83,11,5,4,1,1,2,0,2,0,0,1,0,6,12,-3
2025-12-01,ATL,DET,1,-1,21.78,7,2,3,0,0,0,0,1,1,3,0,2,3,4,8
2025-12-03,ATL,LAC,0,-23,33.22,11,4,4,1,2,2,0,3,3,2,0,1,0,11,-21
2025-12-05,ATL,DEN,0,-1,20.82,7,4,2,0,1,1,1,3,0,0,0,0,3,9,-7
2025-12-06,ATL,WAS,1,15,18.75,6,3,1,0,1,1,2,5,3,1,0,0,2,7,3
2025-12-12,ATL,DET,1,-27,27.4,8,5,2,0,0,0,1,3,2,2,0,2,3,10,-23
2025-12-14,ATL,PHI,0,3,21.37,9,5,5,3,2,2,1,1,1,2,0,0,2,15,-5
2025-12-18,ATL,CHO,1,-7,20.47,7,2,2,0,1,1,2,3,1,0,0,1,1,5,-9
2025-12-19,ATL,SAS,0,-28,30.42,11,4,5,3,0,0,2,6,3,2,1,2,2,11,-13
2025-12-21,ATL,CHI,0,-2,24.27,11,6,7,4,1,2,2,2,2,0,0,2,3,17,-6
2025-12-23,ATL,CHI,0,-3,20.82,6,3,3,2,2,4,4,7,3,1,1,0,5,10,12
2025-12-26,ATL,MIA,0,-15,20.35,4,2,2,1,0,0,0,0,0,0,2,2,1,5,-18
2025-12-27,ATL,NYK,0,-3,19.27,7,2,2,0,0,0,1,4,0,0,0,0,1,4,1
2025-12-29,ATL,OKC,1,-11,22.73,9,4,8,4,0,0,1,4,0,1,1,2,3,12,-27
2025-12-31,ATL,MIN,0,24,28.33,10,4,5,1,0,2,1,4,1,0,0,0,1,9,8
2026-01-02,ATL,NYK,1,12,22.32,7,4,3,1,3,5,2,5,1,0,0,0,3,12,3
2026-01-03,ATL,TOR,1,-17,30.17,11,3,3,0,2,2,1,7,0,0,0,1,3,8,-9
2026-01-05,ATL,TOR,1,-18,22.32,11,7,5,2,0,0,0,4,4,1,0,1,6,16,-10
2026-01-07,ATL,NOP,0,17,33.62,13,8,9,7,2,4,1,8,0,0,1,3,2,25,6
2026-01-31,ATL,IND,1,-5,21.65,5,3,2,1,0,0,0,3,0,1,0,2,2,7,9
2026-02-03,ATL,MIA,1,12,22.92,7,3,4,1,0,2,0,7,2,1,0,1,1,7,-8
2026-02-05,ATL,UTA,0,2,19.25,8,0,4,0,0,0,1,6,0,1,0,2,3,0,-8
2026-02-07,ATL,CHO,0,-7,23.48,10,7,4,4,0,0,0,3,0,0,3,0,0,18,2
2026-02-09,ATL,MIN,1,-22,20.77,9,1,6,0,1,1,0,4,1,2,0,2,2,3,-19
2026-02-11,ATL,CHO,1,-3,23.28,6,2,3,1,0,2,1,3,1,1,0,0,4,5,-10
2026-02-19,ATL,PHI,1,10,27.22,8,4,4,2,0,0,2,7,2,1,1,0,2,10,0
2026-02-20,ATL,MIA,0,-31,23.32,8,1,3,1,1,2,2,4,0,0,1,0,2,4,-12
2026-02-22,ATL,BRK,0,11,19.5,7,3,3,1,0,0,1,1,0,1,0,2,2,7,-9
2026-02-24,ATL,WAS,0,21,28.27,11,4,5,0,1,2,1,9,3,1,0,2,4,9,18
2026-02-26,ATL,WAS,0,30,24.83,8,3,3,1,1,3,2,6,1,0,0,0,1,8,10
