Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-12-05,CHI,IND,0,-15,20.57,5,3,2,1,1,2,3,6,1,0,0,0,4,8,-5
2025-12-07,CHI,GSW,0,-32,18.83,7,1,2,0,1,1,2,4,1,0,1,0,0,3,0
2025-12-12,CHI,CHO,1,3,19.92,7,6,3,2,2,2,2,8,2,0,1,1,1,16,17
2025-12-14,CHI,NOP,0,-10,11.63,1,0,1,0,2,2,0,2,0,0,0,1,2,2,2
2025-12-17,CHI,CLE,0,16,16.33,8,4,4,1,1,3,1,4,2,2,0,2,1,10,4
2025-12-19,CHI,CLE,1,11,18.97,5,4,3,3,2,2,0,3,2,0,0,3,2,13,1
2025-12-21,CHI,ATL,1,2,15.98,5,4,0,0,2,4,3,7,2,0,0,2,3,10,-5
2025-12-23,CHI,ATL,1,3,17.67,9,5,2,0,0,0,1,7,2,0,1,1,2,10,-2
2025-12-26,CHI,PHI,0,7,19.43,8,5,3,2,3,3,0,5,1,0,1,0,2,15,6
2025-12-27,CHI,MIL,0,-9,24.4,9,5,1,0,0,1,4,10,2,0,0,0,1,10,0
