Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,OKC,CHI,1,20,1.9,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
2023-10-29,OKC,DEN,0,-33,14.28,1,0,1,0,1,2,0,1,0,0,1,2,1,1,-11
2023-10-30,OKC,DET,0,12,1.82,2,0,2,0,0,0,0,0,0,0,0,1,2,0,-8
2023-11-14,OKC,SAS,0,36,4.67,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2
2023-11-19,OKC,POR,1,43,8.72,3,2,1,1,0,0,2,3,4,0,0,0,1,5,9
2023-11-30,OKC,LAL,0,23,3.02,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2023-12-11,OKC,UTA,0,14,8.57,2,0,2,0,0,0,0,1,0,0,0,0,0,0,-17
2024-01-24,OKC,SAS,1,26,4.75,2,1,1,0,0,0,0,1,0,0,0,0,0,2,-4
2024-02-02,OKC,CHO,0,20,7.0,2,1,1,1,1,2,0,1,0,1,0,0,0,4,-8
2024-02-10,OKC,DAL,1,-35,5.73,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-09,CHO,BRK,0,11,7.75,2,2,1,1,2,2,0,2,0,1,1,1,0,7,7
2024-03-11,CHO,DET,1,-17,10.57,4,1,0,0,0,0,1,1,2,0,1,0,0,2,12
2024-03-13,CHO,MEM,1,12,26.53,5,4,2,1,0,0,1,5,3,1,2,3,2,9,10
2024-03-15,CHO,PHO,0,-11,16.28,9,2,4,0,0,0,2,5,3,1,1,0,1,4,-19
2024-03-16,CHO,PHI,1,-11,20.72,7,2,3,1,0,0,1,3,2,2,0,0,2,5,-6
2024-03-19,CHO,ORL,1,-20,27.57,5,1,1,0,1,1,0,5,1,1,0,3,1,3,-12
2024-03-23,CHO,ATL,1,-41,24.15,4,2,3,1,4,4,2,5,4,2,0,0,1,9,-29
2024-03-25,CHO,CLE,1,-23,19.35,7,4,2,1,2,3,2,5,3,2,1,1,2,11,-12
2024-03-27,CHO,CLE,0,7,22.73,4,4,0,0,2,4,0,7,1,0,0,0,0,10,-2
2024-03-29,CHO,GSW,0,-18,18.6,8,2,6,1,1,2,2,3,0,1,0,1,0,6,-5
2024-04-01,CHO,BOS,0,-14,15.62,7,1,3,1,0,0,1,4,2,1,0,0,0,3,-3
2024-04-03,CHO,POR,0,-3,20.57,6,2,3,1,6,8,1,3,1,0,2,0,2,11,-6
2024-04-05,CHO,ORL,0,9,18.35,3,2,2,1,5,5,0,2,2,0,0,2,0,10,6
2024-04-07,CHO,OKC,0,-3,20.55,9,6,4,2,0,0,1,9,0,0,1,1,0,14,27
2024-04-09,CHO,DAL,0,-26,12.93,2,1,0,0,2,4,0,4,1,0,1,0,0,4,-4
2024-04-10,CHO,ATL,1,1,25.52,6,3,2,2,2,2,0,6,1,1,1,1,2,10,5
2024-04-12,CHO,BOS,1,-33,17.8,10,3,5,2,0,0,1,5,1,0,1,0,2,8,-13
2024-04-14,CHO,CLE,1,10,19.35,7,3,3,1,1,2,0,5,3,1,0,3,2,8,4
