Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-30,GSW,NOP,1,28,22.8,5,2,1,0,1,2,1,8,2,0,0,2,4,5,15
2023-11-05,GSW,CLE,1,-11,8.28,2,0,1,0,0,0,1,2,2,0,0,2,0,0,4
2023-11-06,GSW,DET,1,11,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-11-08,GSW,DEN,1,-3,11.23,3,2,0,0,1,1,1,3,2,0,0,0,2,5,8
2023-11-11,GSW,CLE,0,-8,8.35,2,1,0,0,0,0,1,2,2,1,0,1,1,2,5
2023-11-12,GSW,MIN,0,-6,1.27,5,3,2,2,0,0,1,1,0,1,0,0,0,8,6
2023-11-14,GSW,MIN,0,-3,38.95,18,9,8,3,2,2,1,7,5,1,0,3,4,23,11
2023-11-16,GSW,OKC,0,-19,25.0,7,4,4,3,2,2,2,8,3,0,0,1,5,13,-26
2023-11-18,GSW,OKC,0,-7,25.03,6,2,4,1,3,4,0,3,3,0,0,3,0,8,-15
2023-11-20,GSW,HOU,0,5,17.95,2,1,2,1,0,0,0,5,3,0,0,0,2,3,3
2023-11-22,GSW,PHO,1,-8,23.43,9,4,3,1,1,2,2,4,2,3,0,0,1,10,20
2023-11-24,GSW,SAS,0,6,11.77,5,0,2,0,0,0,1,3,2,0,0,1,0,0,0
2023-11-30,GSW,LAC,0,6,31.25,10,5,4,2,1,2,2,8,2,0,0,0,2,13,12
2023-12-02,GSW,LAC,1,-1,36.52,9,5,3,2,0,0,0,6,3,1,2,1,2,12,1
2023-12-06,GSW,POR,0,4,21.2,3,1,1,1,0,2,1,5,1,0,0,1,2,3,5
2023-12-08,GSW,OKC,1,-2,23.0,11,5,4,1,1,1,5,6,4,1,0,1,2,12,-1
2023-12-12,GSW,PHO,1,-3,28.6,14,9,4,2,0,1,5,11,5,1,0,3,2,20,18
2023-12-14,GSW,LAC,1,-8,34.55,11,2,3,0,0,0,4,7,2,3,1,3,2,4,-8
2023-12-16,GSW,BRK,0,4,32.13,15,7,9,4,1,2,1,5,5,3,1,5,4,19,0
2023-12-17,GSW,POR,1,4,33.4,8,4,2,0,2,2,0,5,5,1,0,1,3,10,1
2023-12-19,GSW,BOS,0,6,16.27,4,2,3,1,0,0,1,5,1,1,0,1,2,5,2
2023-12-22,GSW,WAS,0,11,28.95,9,3,5,2,2,2,3,7,5,1,0,1,2,10,16
2023-12-23,GSW,POR,0,20,31.53,12,7,5,1,0,0,1,10,7,1,1,2,1,15,25
2023-12-25,GSW,DEN,1,-6,34.4,7,4,4,3,2,2,4,9,6,5,0,2,1,13,1
2023-12-28,GSW,MIA,0,-12,27.78,9,4,5,2,0,0,1,3,6,0,0,1,2,10,1
2023-12-30,GSW,DAL,0,-10,28.87,8,5,5,3,0,0,1,9,4,1,0,2,1,13,-4
2024-01-02,GSW,ORL,0,6,28.43,7,4,3,1,1,4,1,4,2,2,0,0,2,10,4
2024-01-04,GSW,DEN,0,-3,28.25,10,5,4,3,0,0,0,2,5,1,0,0,2,13,-2
2024-01-05,GSW,DET,0,4,24.63,7,4,2,2,1,3,2,5,5,1,0,1,2,11,-3
2024-01-07,GSW,TOR,0,-15,28.55,11,2,8,1,0,0,2,8,4,0,0,0,1,5,-9
2024-01-10,GSW,NOP,0,-36,25.45,6,1,2,0,0,0,3,9,2,0,0,2,1,2,-31
2024-01-12,GSW,CHI,1,9,27.22,8,2,4,0,1,1,1,3,4,0,0,0,3,5,12
2024-01-13,GSW,MIL,1,-11,35.73,14,10,5,3,0,1,1,10,3,2,0,0,3,23,-1
2024-01-15,GSW,MEM,1,-9,26.88,12,4,3,0,0,0,2,4,4,0,0,2,4,8,-3
2024-01-24,GSW,ATL,0,22,26.7,9,5,1,0,0,0,0,3,2,0,0,2,1,10,19
2024-01-25,GSW,SAC,0,-1,26.9,5,3,2,1,0,0,1,3,2,0,0,1,2,7,5
2024-01-27,GSW,LAL,0,-1,27.97,9,4,3,1,1,1,4,7,5,1,0,1,1,10,-7
2024-01-30,GSW,PHI,0,12,36.55,11,5,5,1,0,1,1,6,3,0,0,3,2,11,15
2024-02-02,GSW,MEM,1,20,34.07,8,5,2,0,2,2,1,7,14,2,1,0,2,12,18
2024-02-03,GSW,ATL,1,-7,38.87,12,6,2,0,3,5,2,11,5,0,1,0,4,15,-13
2024-02-05,GSW,BRK,1,11,37.93,14,6,4,0,3,4,3,11,3,0,0,0,3,15,11
2024-02-07,GSW,PHI,1,23,25.35,8,3,2,0,0,0,1,5,5,2,0,0,2,6,5
2024-02-08,GSW,IND,1,22,33.87,9,3,1,0,3,4,1,7,7,2,1,2,3,9,23
2024-02-10,GSW,PHO,0,1,35.18,12,4,4,2,0,0,1,8,7,0,0,2,1,10,5
2024-02-12,GSW,UTA,1,22,24.92,9,4,3,2,0,0,0,4,3,1,0,4,1,10,9
2024-02-14,GSW,LAC,0,-5,32.4,12,9,5,5,2,6,1,7,8,1,0,1,1,25,5
2024-02-15,GSW,UTA,1,3,33.77,12,5,7,3,0,0,3,6,8,0,0,2,1,13,5
2024-02-22,GSW,LAL,0,18,27.83,12,3,6,2,2,2,3,9,1,0,0,2,1,10,6
2024-02-23,GSW,CHO,0,13,31.23,12,6,6,1,0,0,1,6,6,0,0,0,0,13,12
2024-02-25,GSW,DEN,0,-16,30.1,6,2,1,0,0,0,2,6,4,1,0,2,0,4,-13
2024-02-27,GSW,WAS,1,11,28.07,8,3,2,1,0,0,2,4,4,2,1,2,2,7,14
2024-02-29,GSW,NYK,1,11,32.22,6,1,4,0,0,1,1,3,4,1,0,0,1,2,17
2024-03-06,GSW,MIL,0,35,26.27,7,3,5,2,0,0,1,7,3,0,1,1,1,8,11
