Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,ORL,HOU,0,30,4.8,2,1,2,1,0,0,0,1,0,0,0,0,0,3,9
2023-10-31,ORL,LAC,1,-16,3.93,5,2,4,1,1,1,0,0,0,0,0,0,0,6,-1
2023-11-04,ORL,LAL,0,19,3.08,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
2023-11-06,ORL,DAL,0,-15,13.53,2,1,2,1,0,0,0,1,0,0,0,0,1,3,-2
2023-11-14,ORL,BRK,1,-20,4.52,1,1,1,1,0,0,0,0,0,0,0,0,1,3,-8
2023-11-17,ORL,CHI,1,6,6.25,1,1,1,1,0,0,0,2,0,0,0,0,0,3,0
2023-11-19,ORL,IND,1,12,8.43,1,0,1,0,0,0,0,0,2,0,0,2,1,0,-18
2023-11-21,ORL,TOR,0,19,3.83,1,0,1,0,0,0,0,1,1,1,0,0,0,0,-4
2023-11-24,ORL,BOS,0,17,8.77,0,0,0,0,0,0,1,2,0,1,0,0,0,0,15
2023-11-26,ORL,CHO,0,13,12.08,2,1,2,1,3,3,1,2,0,0,0,0,2,6,17
2023-11-29,ORL,WAS,0,19,10.0,3,3,3,3,0,0,0,3,1,0,0,1,3,9,-4
2023-12-02,ORL,BRK,1,-28,16.12,3,1,3,1,0,0,0,0,0,0,0,0,1,3,-13
2023-12-06,ORL,CLE,1,-10,10.98,2,0,1,0,0,0,1,3,0,0,0,0,1,0,-13
2023-12-08,ORL,DET,0,32,25.42,6,2,6,2,0,0,0,4,1,0,0,0,1,6,9
2023-12-15,ORL,BOS,1,-17,10.82,5,2,4,1,0,0,1,2,1,0,0,0,0,5,-6
2023-12-17,ORL,BOS,1,-17,15.8,4,2,3,1,3,3,2,3,0,0,0,0,2,8,-11
2023-12-20,ORL,MIA,0,-9,14.8,10,3,10,3,0,0,0,0,0,0,0,0,0,9,4
2023-12-21,ORL,MIL,1,-4,18.28,3,0,3,0,0,0,0,1,0,0,1,0,2,0,10
2023-12-23,ORL,IND,1,7,20.53,4,2,4,2,0,0,1,3,0,1,0,1,3,6,17
2023-12-26,ORL,WAS,1,8,11.72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023-12-27,ORL,PHI,0,-20,25.93,4,2,4,2,1,1,2,6,2,0,0,2,2,7,-10
2023-12-29,ORL,NYK,0,9,20.78,5,0,5,0,0,0,2,2,0,0,0,1,1,0,-3
2023-12-31,ORL,PHO,1,-5,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2024-01-02,ORL,GSW,1,-6,8.12,3,2,3,2,0,0,0,1,0,0,0,0,1,6,-6
2024-01-03,ORL,SAC,1,-3,30.92,6,4,6,4,3,3,0,2,1,4,0,1,2,15,6
2024-01-05,ORL,DEN,1,2,24.08,6,3,5,2,0,2,0,0,1,0,0,0,3,8,2
2024-01-07,ORL,ATL,0,7,36.42,15,8,14,7,2,3,1,2,4,1,0,0,2,25,13
2024-01-09,ORL,MIN,0,-21,34.13,12,3,10,2,0,0,3,7,2,0,0,0,2,8,-18
2024-01-12,ORL,MIA,1,-3,31.95,9,3,9,3,0,0,1,2,3,0,0,0,4,9,2
2024-01-13,ORL,OKC,1,-12,34.65,13,5,12,4,0,0,1,3,2,1,0,3,0,14,-13
2024-01-15,ORL,NYK,1,4,21.38,7,1,7,1,4,5,1,1,0,0,0,0,4,7,-11
2024-01-17,ORL,ATL,1,-2,13.9,7,1,7,1,0,1,1,1,0,1,0,0,3,3,6
2024-01-19,ORL,PHI,0,-15,15.28,3,0,2,0,0,0,2,2,0,0,0,1,0,0,3
2024-01-21,ORL,MIA,0,18,8.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4
2024-01-22,ORL,CLE,0,-27,23.55,3,2,3,2,0,0,0,2,0,0,0,1,2,6,0
2024-01-28,ORL,PHO,0,15,1.93,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1
2024-02-06,ORL,MIA,1,-26,3.12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2024-02-08,ORL,SAS,0,16,2.88,1,1,1,1,0,0,0,0,0,0,0,0,0,3,-3
2024-02-13,ORL,OKC,0,-14,2.38,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
2024-02-14,ORL,NYK,0,18,25.4,3,2,2,2,0,0,1,1,0,0,0,1,1,6,9
2024-02-25,ORL,ATL,1,-17,20.5,9,4,9,4,0,0,0,2,0,0,0,0,1,12,-18
2024-02-27,ORL,BRK,0,27,30.97,4,3,4,3,0,0,1,6,1,2,0,1,3,9,21
2024-02-29,ORL,UTA,0,8,13.68,4,1,4,1,0,0,0,2,1,0,2,0,3,3,-1
2024-03-03,ORL,DET,0,22,3.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2024-03-05,ORL,CHO,1,12,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-06,ORL,WAS,1,10,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2024-03-08,ORL,NYK,1,-24,4.8,1,0,1,0,2,2,0,0,0,0,0,0,0,2,-4
2024-03-10,ORL,IND,0,-14,22.08,2,0,1,0,0,0,1,2,1,0,0,0,3,0,-5
2024-03-13,ORL,BRK,0,8,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-03-15,ORL,TOR,1,10,2.98,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-5
2024-03-17,ORL,TOR,0,15,15.15,4,1,4,1,0,0,0,0,0,0,0,0,1,3,2
2024-03-19,ORL,CHO,0,20,14.78,5,1,5,1,0,0,0,1,0,0,0,0,1,3,-7
2024-03-21,ORL,NOP,0,15,13.47,3,1,3,1,0,0,1,1,0,0,0,1,1,3,-1
2024-03-23,ORL,SAC,0,-2,11.28,5,2,5,2,0,0,2,2,0,1,0,0,0,6,-7
2024-03-29,ORL,LAC,0,-3,14.13,4,3,3,2,0,0,1,1,1,0,0,0,1,8,-2
