Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-24,LAL,DEN,1,-12,15.47,4,3,1,0,1,2,1,4,0,0,0,1,1,7,2
2023-10-26,LAL,PHO,0,5,21.4,7,2,2,0,3,4,2,10,1,0,0,1,2,7,23
2023-10-29,LAL,SAC,1,-5,13.83,3,3,2,2,3,3,0,5,1,0,0,0,0,11,12
2023-10-30,LAL,ORL,0,3,26.48,6,3,4,1,2,4,1,9,3,0,3,3,3,9,12
2023-11-01,LAL,LAC,0,5,29.1,6,4,4,2,0,0,2,11,0,1,1,2,3,10,14
2023-11-04,LAL,ORL,1,-19,29.42,6,2,5,2,0,0,0,2,2,1,2,3,3,6,-12
2023-11-06,LAL,MIA,1,-1,30.4,10,4,6,3,1,2,0,6,1,1,0,1,2,12,-1
2023-11-08,LAL,HOU,1,-34,21.77,1,0,0,0,0,2,0,4,1,0,0,0,4,0,-19
2023-11-10,LAL,PHO,1,3,17.6,5,2,1,1,0,0,3,9,0,0,1,1,0,5,8
2023-11-12,LAL,POR,0,6,15.03,4,1,2,0,5,7,1,1,0,0,0,1,2,7,-11
2023-11-14,LAL,MEM,0,27,21.97,8,1,3,0,0,0,3,10,2,0,1,3,2,2,9
2023-11-15,LAL,SAC,0,-15,8.5,2,2,0,0,1,2,0,2,0,0,0,1,1,5,-6
2023-11-17,LAL,POR,1,12,19.9,9,5,3,0,0,0,2,10,0,0,0,0,1,10,5
2023-11-19,LAL,HOU,0,1,17.83,4,0,3,0,0,0,0,2,0,0,0,1,3,0,8
2023-11-21,LAL,UTA,0,32,26.65,7,6,2,1,3,3,1,8,2,0,1,2,5,16,13
2023-11-22,LAL,DAL,0,-3,14.7,1,0,0,0,1,2,0,5,1,0,0,0,1,1,-15
2023-11-25,LAL,CLE,1,6,16.62,7,5,3,2,1,1,1,3,0,0,0,1,1,13,-8
2023-11-27,LAL,PHI,1,-44,21.6,9,3,5,0,0,0,0,7,1,0,1,3,1,6,-15
2023-11-29,LAL,DET,1,26,25.08,9,4,4,0,4,4,0,9,0,1,2,1,1,12,2
2023-11-30,LAL,OKC,1,-23,20.48,6,1,2,0,5,7,1,4,1,0,0,1,1,7,-11
2023-12-02,LAL,HOU,0,10,11.05,1,0,0,0,1,2,0,2,1,0,0,1,0,1,-6
2023-12-07,LAL,NOP,0,44,8.25,4,2,1,0,0,0,3,6,2,0,0,2,0,4,6
2023-12-13,LAL,SAS,1,3,21.45,7,4,3,1,0,2,1,6,1,0,0,0,2,9,-13
2023-12-15,LAL,SAS,1,-14,30.35,10,6,5,2,3,8,2,8,3,1,2,0,1,17,13
2023-12-20,LAL,CHI,1,-16,1.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2023-12-21,LAL,MIN,1,-7,3.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-12
2023-12-28,LAL,CHO,0,21,23.33,4,3,3,3,0,0,0,5,4,0,1,2,2,9,19
2023-12-30,LAL,MIN,1,-2,13.32,4,2,2,2,1,2,0,5,0,0,1,2,1,7,3
2023-12-31,LAL,NOP,1,-20,25.25,4,1,4,1,0,0,0,5,1,0,1,0,1,3,-12
2024-01-03,LAL,MIA,0,-14,24.22,10,5,2,0,3,3,4,8,3,0,1,2,1,13,1
2024-01-05,LAL,MEM,0,-14,16.32,5,3,2,1,4,4,0,5,0,1,0,1,0,11,6
2024-01-07,LAL,LAC,0,3,15.95,6,4,2,1,0,0,1,10,0,0,2,1,2,9,7
2024-01-09,LAL,TOR,0,1,23.78,10,5,4,2,2,2,0,4,1,1,1,2,5,14,3
2024-01-13,LAL,UTA,1,-7,22.43,10,5,6,2,3,3,1,9,1,0,1,0,1,15,-4
2024-01-15,LAL,OKC,0,7,13.95,7,4,2,1,2,2,2,7,1,0,3,1,2,11,-2
2024-01-17,LAL,DAL,0,17,16.57,5,1,3,0,0,0,0,2,1,1,0,1,0,2,-6
2024-01-19,LAL,BRK,0,-18,11.08,6,1,3,1,2,2,0,4,3,1,1,1,0,5,-7
2024-01-21,LAL,POR,0,24,17.53,3,2,1,0,0,0,1,6,2,2,3,0,2,4,20
2024-01-23,LAL,LAC,1,-11,13.55,2,2,0,0,2,5,0,7,3,0,0,1,0,6,-5
2024-01-25,LAL,CHI,0,9,11.9,1,0,0,0,2,2,0,0,0,0,1,0,3,2,-4
2024-01-27,LAL,GSW,1,1,10.78,4,3,1,0,2,2,0,1,1,0,0,1,1,8,-14
2024-01-29,LAL,HOU,1,-16,10.02,6,1,2,0,0,0,0,2,0,2,0,2,2,2,-9
2024-01-30,LAL,ATL,1,-16,22.12,7,4,1,0,1,2,1,8,2,0,0,0,2,9,-4
2024-02-01,LAL,BOS,1,9,18.88,9,1,4,1,1,2,2,4,1,1,0,0,0,4,2
2024-02-03,LAL,NYK,1,8,6.78,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-2
2024-02-05,LAL,CHO,1,6,9.95,5,3,2,1,4,4,1,6,0,0,0,0,1,11,3
2024-02-08,LAL,DEN,0,-8,19.0,1,1,0,0,1,2,0,4,1,1,1,0,2,3,7
2024-02-09,LAL,NOP,0,17,5.92,5,4,1,1,0,0,1,1,0,0,0,1,0,9,2
2024-02-13,LAL,DET,0,14,13.35,7,4,2,1,2,2,0,4,0,1,1,0,1,11,-1
2024-02-14,LAL,UTA,1,16,16.23,5,1,4,0,0,0,1,4,1,0,0,1,3,2,2
