Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-28,MIA,MIN,1,-16,2.03,3,2,2,1,0,0,0,1,0,0,0,0,0,5,7
2023-11-24,MIA,NYK,1,-2,6.35,3,0,2,0,0,0,0,0,2,0,0,0,0,0,-3
2023-11-25,MIA,BRK,1,-15,20.2,8,4,7,3,0,0,0,0,1,1,1,1,1,11,-2
2023-12-28,MIA,GSW,1,12,1.1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,-3
2024-01-01,MIA,LAC,1,-17,2.92,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
2024-01-03,MIA,LAL,1,14,0.65,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,MIA,PHO,1,-16,1.92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
2024-01-17,MIA,TOR,1,-24,2.35,2,1,1,0,0,0,0,0,0,0,0,1,0,2,3
2024-01-25,MIA,BOS,0,-33,6.62,2,0,1,0,0,0,0,0,0,0,0,0,1,0,-1
2024-02-13,MIA,MIL,1,26,5.57,2,0,2,0,2,2,0,1,1,0,0,3,0,2,-3
2024-02-26,MIA,SAC,1,11,4.82,2,0,2,0,0,0,0,1,0,0,0,0,0,0,-5
2024-03-22,MIA,NOP,0,-23,18.67,7,5,6,4,0,0,0,2,0,0,0,0,0,14,-11
2024-03-24,MIA,CLE,0,37,7.42,3,1,2,1,0,0,0,1,0,0,0,1,0,3,2
2024-03-26,MIA,GSW,0,-21,1.57,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-5
2024-03-31,MIA,WAS,1,12,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-04-10,MIA,DAL,0,-19,1.13,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2024-04-12,MIA,TOR,0,22,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-04-14,MIA,TOR,0,15,1.88,1,0,1,0,0,0,0,0,0,0,0,0,2,0,-8
