Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,WAS,IND,1,-23,17.17,7,4,2,2,6,6,2,3,0,0,0,0,1,16,5
2023-10-28,WAS,MEM,0,7,7.6,3,2,1,0,1,1,0,0,1,1,0,0,0,5,2
2023-10-30,WAS,BOS,0,-19,16.18,5,1,2,0,1,2,0,2,2,1,0,1,0,3,-14
2023-11-01,WAS,ATL,1,-9,18.87,5,4,0,0,0,0,1,5,0,0,0,0,1,8,-4
2023-11-03,WAS,MIA,1,-7,9.38,5,3,1,0,0,2,1,3,3,0,0,1,0,6,-4
2023-11-06,WAS,PHI,1,-18,3.72,2,0,2,0,1,1,0,1,0,0,0,0,0,1,-9
2023-11-08,WAS,CHO,1,16,19.65,11,7,7,4,0,2,0,4,2,0,1,1,3,18,18
2023-11-10,WAS,CHO,0,-7,17.92,6,3,4,1,2,2,1,1,4,0,0,1,1,9,9
2023-11-12,WAS,BRK,1,-8,19.57,7,3,3,1,5,5,0,3,3,1,0,0,1,12,14
2023-11-15,WAS,DAL,0,-13,18.12,6,3,2,0,4,4,2,6,1,0,0,2,0,10,-8
2023-11-17,WAS,NYK,0,-21,17.4,7,3,3,1,0,0,1,6,1,0,2,0,3,7,-3
2023-11-20,WAS,MIL,0,-13,18.12,6,2,3,0,0,0,1,2,3,0,0,0,1,4,-14
2023-11-22,WAS,CHO,1,-3,13.58,5,0,2,0,1,2,0,5,1,0,0,0,0,1,-18
2023-11-24,WAS,MIL,1,-3,17.9,5,2,2,1,2,2,0,4,1,0,0,0,2,7,1
2023-11-27,WAS,DET,1,19,19.28,8,5,6,3,3,3,0,2,2,0,0,1,2,16,9
2023-11-29,WAS,ORL,1,-19,11.62,4,1,1,0,4,5,0,1,0,0,0,0,1,6,-12
2023-12-01,WAS,ORL,1,-5,20.67,4,3,1,1,0,0,1,6,1,1,0,1,2,7,-3
2023-12-06,WAS,PHI,0,-5,17.42,6,2,5,2,1,1,0,6,2,1,0,0,1,7,-1
2023-12-08,WAS,BRK,1,-27,18.68,9,2,5,0,0,0,0,2,1,0,0,0,3,4,1
2023-12-11,WAS,PHI,1,-45,10.73,0,0,0,0,2,2,0,1,0,0,0,2,2,2,-8
2023-12-13,WAS,NOP,0,-20,15.55,6,2,3,1,4,4,0,1,1,0,0,1,0,9,-20
2023-12-15,WAS,IND,0,14,10.08,2,1,1,0,2,2,1,5,1,0,0,0,0,4,14
2023-12-17,WAS,PHO,1,-4,12.28,2,1,2,1,3,3,0,1,0,1,0,0,0,6,-10
2023-12-21,WAS,POR,1,1,12.7,3,1,2,1,1,2,0,2,0,0,0,0,0,4,-6
2023-12-26,WAS,ORL,0,-8,16.2,5,2,3,1,4,5,1,3,1,0,0,1,2,9,-7
2023-12-27,WAS,TOR,0,-30,4.67,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-8
2024-01-20,DET,MIL,0,-6,16.08,1,1,1,1,5,5,0,1,3,0,0,0,0,8,20
2024-01-22,DET,MIL,0,-9,9.73,4,3,1,1,2,3,0,3,2,0,0,0,2,9,8
2024-01-31,DET,CLE,1,-7,22.6,8,6,4,4,4,5,0,3,2,1,0,0,1,20,13
2024-02-02,DET,LAC,0,-11,14.6,3,1,2,1,8,9,1,1,2,0,1,0,3,11,-10
2024-02-04,DET,ORL,0,-12,15.73,5,0,4,0,2,2,0,2,1,1,0,1,2,2,-7
2024-02-07,DET,SAC,1,13,10.78,1,1,0,0,0,0,1,4,2,0,1,0,1,2,2
2024-02-23,MIL,MIN,1,5,4.83,1,0,0,0,0,0,1,1,0,1,0,1,2,0,1
2024-02-25,MIL,PHI,1,21,8.7,2,0,1,0,0,0,0,0,3,0,0,0,0,0,-3
2024-02-27,MIL,CHO,0,38,15.17,4,2,1,0,4,4,1,2,0,0,0,1,1,8,0
2024-02-29,MIL,CHO,1,12,12.4,3,1,1,0,0,0,1,1,1,0,0,0,1,2,-13
2024-03-01,MIL,CHI,1,16,6.35,2,0,1,0,0,0,0,1,0,0,0,0,2,0,-1
2024-03-04,MIL,LAC,0,7,16.57,2,1,1,0,2,2,1,2,3,0,0,1,1,4,4
2024-03-06,MIL,GSW,1,-35,9.08,2,0,2,0,0,0,0,1,0,1,0,1,0,0,-15
2024-03-08,MIL,LAL,1,-1,3.2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-6
2024-03-10,MIL,LAC,1,7,6.45,1,1,1,1,0,0,0,0,0,0,0,0,0,3,5
2024-03-12,MIL,SAC,1,-35,6.63,4,2,2,0,3,4,0,0,0,0,0,0,0,7,-7
2024-03-14,MIL,PHI,0,9,4.95,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-5
2024-03-20,MIL,BOS,1,-3,18.6,3,2,1,0,0,0,0,1,1,1,1,0,1,4,-8
2024-03-24,MIL,OKC,0,25,4.15,2,1,2,1,0,0,0,0,0,1,0,1,0,3,4
2024-04-02,MIL,WAS,1,-4,5.6,1,1,1,1,0,1,1,2,0,1,0,2,2,3,0
2024-04-03,MIL,MEM,0,-10,6.68,0,0,0,0,2,2,0,1,2,0,0,0,0,2,6
2024-04-05,MIL,TOR,0,-6,6.13,1,0,0,0,0,0,0,1,1,0,0,0,2,0,2
2024-04-12,MIL,OKC,1,-18,19.23,8,3,2,0,5,5,1,4,0,1,0,3,1,11,-12
