Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2023-10-25,CLE,BRK,1,1,32.33,12,6,5,1,2,2,1,2,5,2,0,6,2,15,6
2023-11-03,CLE,IND,1,-5,31.98,11,5,2,0,4,4,0,0,6,2,1,4,1,14,-10
2023-11-05,CLE,GSW,0,11,30.08,17,6,5,0,12,13,0,3,7,0,0,6,3,24,15
2023-11-08,CLE,OKC,1,-8,36.07,11,7,3,1,0,1,1,3,9,2,1,8,4,15,-1
2023-11-11,CLE,GSW,1,8,35.83,13,6,5,3,4,6,2,6,4,5,0,4,2,19,5
2023-11-13,CLE,SAC,1,-12,33.7,14,5,8,3,3,4,0,3,6,0,0,1,1,16,-14
2023-11-17,CLE,DET,0,8,33.63,19,10,5,2,6,8,1,3,3,0,0,5,1,28,-6
2023-11-19,CLE,DEN,0,12,32.9,16,10,4,2,4,5,0,3,6,1,1,4,0,26,18
2023-11-21,CLE,PHI,1,3,43.38,25,10,6,2,10,11,1,5,8,3,0,4,1,32,4
2023-11-22,CLE,MIA,0,-33,27.1,11,6,2,1,1,2,0,1,3,1,0,3,3,14,-24
2023-11-25,CLE,LAL,0,-6,13.55,6,2,1,0,2,2,0,1,3,1,0,2,1,6,-3
2023-11-26,CLE,TOR,0,3,41.38,16,10,6,3,1,1,0,2,8,0,0,5,2,24,12
2023-11-28,CLE,ATL,0,23,37.58,15,7,5,2,3,4,1,2,8,2,0,2,1,19,22
2023-11-30,CLE,POR,0,-8,36.97,18,6,8,2,1,1,1,4,7,1,0,8,0,15,2
2023-12-02,CLE,DET,1,9,34.25,23,9,7,2,2,3,0,2,5,3,1,2,1,22,13
2023-12-06,CLE,ORL,0,10,39.88,18,10,4,1,5,5,2,3,9,0,0,0,1,26,8
2023-12-08,CLE,MIA,1,12,26.02,11,6,4,1,5,7,0,2,6,4,0,2,4,18,20
2023-12-11,CLE,ORL,1,-10,39.38,23,11,9,3,11,12,1,6,5,2,0,3,0,36,6
2023-12-12,CLE,BOS,1,-7,37.75,23,11,8,4,0,0,0,2,7,1,0,2,1,26,-3
2023-12-14,CLE,BOS,1,-9,36.07,19,8,7,3,0,0,1,2,3,2,0,5,2,19,-11
2024-01-31,CLE,DET,0,7,20.48,12,7,6,2,3,3,0,0,3,2,0,1,1,19,-16
2024-02-01,CLE,MEM,1,7,24.1,10,4,3,1,0,0,0,2,7,1,0,3,0,9,2
2024-02-03,CLE,SAS,1,16,23.2,3,1,2,0,2,2,0,3,4,1,0,3,2,4,-1
2024-02-05,CLE,SAC,0,26,27.6,7,4,4,2,1,1,1,2,5,0,0,2,1,11,4
2024-02-07,CLE,WAS,1,8,28.42,12,4,5,1,4,4,0,0,4,0,0,3,0,13,9
2024-02-08,CLE,BRK,1,23,28.62,10,6,3,0,2,2,0,0,7,1,0,2,2,14,23
2024-02-10,CLE,TOR,1,24,28.92,11,4,5,1,2,2,1,3,8,1,0,2,0,11,14
2024-02-12,CLE,PHI,0,-2,30.65,16,9,8,3,0,0,0,0,9,1,0,0,0,21,-8
2024-02-14,CLE,CHI,0,3,30.55,10,4,5,2,2,2,0,1,7,1,0,2,1,12,0
2024-02-22,CLE,ORL,0,-7,37.0,12,6,5,3,3,5,0,2,10,2,0,4,2,18,2
2024-02-23,CLE,PHI,1,-7,38.37,13,6,6,2,6,6,0,5,9,2,0,3,1,20,-1
